90Deg Damping 	 _20180413_132428_ 	 Freq=0.5Hz Amp=0m ang=0rad 
Time (Sec), East Wave Probe (m), West Wave Probe (m),WaveProbe_A(m),WaveProbe_B(m),WaveProbe_C(m),StringPot_1(m),StringPot_2(m),LoadCell (N)
0.000000, 1.469770E-4, -8.220286E-4, 1.655019E-3, 8.778813E-4, 3.309575E-3, 5.274321E-4, -4.949493E-4, 3.762705E-2
1.000000, 1.469770E-4, -8.220286E-4, 1.568375E-3, 9.961804E-4, 3.301156E-3, 2.846371E-4, -3.413443E-4, 3.600265E-2
4.000000, 2.129877E-4, -8.659433E-4, 1.448246E-3, 1.201714E-3, 2.826315E-3, 2.620644E-4, -3.842877E-4, 4.004963E-2
9.000000, 2.569948E-4, -8.659433E-4, 1.326443E-3, 1.177033E-3, 2.908822E-3, 4.536576E-4, -4.189727E-4, 3.993760E-2
16.000000, 2.569948E-4, -8.659433E-4, 1.250682E-3, 9.238392E-4, 3.023744E-3, 5.191737E-4, -3.842877E-4, 3.660480E-2
25.000000, 3.670127E-4, -8.439859E-4, 1.194175E-3, 1.081713E-3, 2.527013E-3, 3.507038E-4, -4.696237E-4, 3.677284E-2
36.000000, 3.450091E-4, -8.220286E-4, 1.028841E-3, 8.000082E-4, 2.489127E-3, 4.079615E-4, -4.641182E-4, 3.976956E-2
49.000000, 3.450091E-4, -8.220286E-4, 1.048095E-3, 7.685185E-4, 2.658352E-3, 2.917944E-4, -2.015033E-4, 3.201170E-2
64.000000, 3.890163E-4, -8.659433E-4, 9.032701E-4, 1.058309E-3, 2.732020E-3, 2.984010E-4, -3.110638E-4, 3.797713E-2
81.000000, 3.890163E-4, -8.659433E-4, 9.748453E-4, 1.493632E-3, 3.004380E-3, 4.822865E-4, -5.136682E-4, 3.797713E-2
100.000000, 3.890163E-4, -8.659433E-4, 1.046002E-3, 1.600016E-3, 2.384729E-3, 5.659709E-4, -5.450498E-4, 3.813117E-2
121.000000, 4.330234E-4, -8.439859E-4, 1.166550E-3, 1.739167E-3, 2.352315E-3, 4.514554E-4, -5.417465E-4, 3.936346E-2
144.000000, 4.330234E-4, -8.439859E-4, 1.198779E-3, 1.662996E-3, 2.297591E-3, 3.363893E-4, -2.995021E-4, 3.792112E-2
169.000000, 3.010020E-4, -8.439859E-4, 1.306351E-3, 1.703847E-3, 2.623413E-3, 5.307354E-4, -3.600632E-4, 3.262784E-2
196.000000, 1.909841E-4, -9.098580E-4, 1.413086E-3, 2.002999E-3, 2.268124E-3, 4.371410E-4, -5.720271E-4, 4.004963E-2
225.000000, 1.909841E-4, -9.098580E-4, 1.584699E-3, 1.556186E-3, 2.192351E-3, 3.754788E-4, -4.630171E-4, 3.569458E-2
256.000000, 5.896270E-5, -8.879006E-4, 1.653344E-3, 1.805550E-3, 2.060170E-3, 3.765799E-4, -2.807832E-4, 4.010564E-2
289.000000, -2.905159E-5, -8.659433E-4, 1.759242E-3, 2.185554E-3, 2.503019E-3, 3.413443E-4, -4.118154E-4, 4.199610E-2
324.000000, -2.905159E-5, -8.659433E-4, 1.778915E-3, 2.568537E-3, 1.956194E-3, 2.978505E-4, -3.193221E-4, 3.573659E-2
361.000000, -1.170659E-4, -8.439859E-4, 1.883975E-3, 2.553643E-3, 2.172987E-3, 4.668710E-4, -5.604654E-4, 3.695488E-2
400.000000, -2.490873E-4, -8.879006E-4, 1.973549E-3, 2.427684E-3, 1.995764E-3, 3.820854E-4, -4.839382E-4, 3.859328E-2
441.000000, -2.490873E-4, -8.879006E-4, 2.070657E-3, 2.274917E-3, 2.864622E-3, 3.000527E-4, -4.233771E-4, 2.999521E-2
484.000000, -2.710909E-4, -8.659433E-4, 2.128838E-3, 2.334917E-3, 2.788849E-3, 3.567599E-4, -3.314343E-4, 3.712292E-2
529.000000, -2.710909E-4, -8.659433E-4, 2.212133E-3, 2.320449E-3, 2.788849E-3, 5.109154E-4, -3.980515E-4, 3.794912E-2
