90Deg 	 _20180413_105125_ 	 Reg 1 
Time (Sec), East Wave Probe (m), West Wave Probe (m),WaveProbe_A(m),WaveProbe_B(m),WaveProbe_C(m),StringPot_1(m),StringPot_2(m),LoadCell (N)
0.000000, -5.105516E-5, -9.743577E-5, 2.971834E-5, 7.029859E-4, -2.866727E-4, 9.909997E-6, -1.596611E-4, -6.161481E-4
1.000000, -7.305874E-5, -1.852652E-4, 5.859954E-6, 2.370237E-4, -1.616480E-4, 5.780832E-5, -4.074110E-5, -8.023929E-3
4.000000, -7.305874E-5, -1.852652E-4, -2.092841E-5, 3.451099E-4, -1.624899E-4, -6.881942E-5, 2.752777E-5, 6.693609E-3
9.000000, -2.905159E-5, -2.072226E-4, -6.445950E-5, 2.668112E-4, -4.310614E-4, 9.634719E-5, -5.340387E-5, 4.901178E-4
16.000000, 5.896270E-5, 1.235101E-5, -7.157516E-5, 3.600037E-4, -4.129602E-4, 1.816833E-5, -7.927998E-5, 1.862448E-3
25.000000, 5.896270E-5, 1.235101E-5, -4.562393E-5, 6.025593E-4, -5.935513E-5, 1.002011E-4, -1.530544E-4, -1.200088E-2
36.000000, -2.905159E-5, -2.072226E-4, 1.674273E-6, 3.191522E-4, -9.513660E-5, -4.679721E-5, 1.431444E-5, -1.032048E-2
49.000000, -7.048019E-6, -1.852652E-4, -7.199373E-5, 4.731963E-4, -7.408868E-5, -9.909997E-5, 4.459499E-5, 2.758663E-3
64.000000, -7.048019E-6, -1.852652E-4, -7.241229E-5, 7.042625E-4, 9.892522E-5, -3.303332E-5, -6.166220E-5, 6.651599E-3
81.000000, -7.305874E-5, -2.072226E-4, -1.967270E-5, 5.276650E-4, -6.061801E-5, -3.633666E-5, -1.541555E-5, 7.141717E-4
100.000000, -7.305874E-5, -2.072226E-4, -2.553266E-5, 2.557473E-4, -2.302642E-4, 1.123133E-4, -9.304386E-5, 9.242222E-4
121.000000, 3.695913E-5, 1.235101E-5, -1.054792E-4, 1.965978E-4, 3.115092E-5, 1.243762E-13, -3.193221E-5, -2.310555E-3
144.000000, 1.495555E-5, -2.072226E-4, -2.636980E-5, 3.880891E-4, -2.567846E-4, 4.569610E-5, -4.349388E-5, -1.848444E-3
169.000000, 1.495555E-5, -2.072226E-4, -1.967270E-5, 1.651081E-4, -2.311062E-4, -2.532555E-5, -9.359442E-6, -1.708411E-3
196.000000, 1.495555E-5, -1.633078E-4, -9.710782E-5, 3.285140E-4, -3.211912E-4, 2.862888E-5, -1.926944E-5, -7.771868E-3
