/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration
* Project Lead:	JN
* Labview Operator:	JN
* Date and Time:	Thu 06 May 2021 04:47:22 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	0.00001	-1.96785	-1.96011	-0.00069	-0.37171
0.00200	0.00000	-1.96785	-1.96011	-0.00069	-0.37171
0.00400	0.00000	-1.96785	-1.96011	-0.00069	-0.37171
0.00600	0.00300	0.00145	0.00720	-0.00023	0.00350
0.00800	0.00300	0.00150	0.00722	-0.00023	0.00325
0.01000	0.00300	0.00472	0.00701	-0.00023	0.00308
0.01200	0.00300	0.00427	0.00663	-0.00023	0.00311
0.01400	0.00300	0.00306	0.00635	-0.00018	0.00312
0.01600	0.00300	0.00072	0.00700	-0.00023	0.00401
0.01800	0.00303	0.00144	0.00924	-0.00023	0.00335
0.02000	0.00303	0.00235	0.00844	-0.00005	0.00335
0.02200	0.00303	0.00268	0.00692	-0.00013	0.00385
0.02400	0.00303	0.00194	0.00549	-0.00011	0.00377
0.02600	0.00318	0.00168	0.00605	-0.00023	0.00353
0.02800	0.00318	0.00040	0.00319	-0.00023	0.00394
0.03000	0.00318	0.00221	0.00562	-0.00001	0.00430
0.03200	0.00318	0.00268	0.00642	-0.00020	0.00340
0.03400	0.00318	0.00216	0.00824	-0.00005	0.00259
0.03600	0.00329	0.00185	0.00680	-0.00010	0.00217
0.03800	0.00329	0.00329	0.00600	-0.00022	0.00263
0.04000	0.00329	0.00608	0.00575	0.00002	0.00233
0.04200	0.00329	0.00428	0.00460	-0.00018	0.00255
0.04400	0.00329	0.00210	0.00514	-0.00023	0.00286
0.04600	0.00342	0.00316	0.00558	-0.00023	0.00275
0.04800	0.00342	0.00218	0.00809	-0.00018	0.00293
0.05000	0.00342	0.00189	0.00892	-0.00023	0.00273
0.05200	0.00342	0.00227	0.00828	-0.00023	0.00313
0.05400	0.00342	0.00258	0.00601	-0.00018	0.00377
0.05600	0.00356	0.00347	0.00510	0.00054	0.00325
0.05800	0.00356	0.00306	0.00822	-0.00021	0.00390
0.06000	0.00356	0.00260	0.00635	-0.00018	0.00381
0.06200	0.00356	0.00148	0.00578	-0.00018	0.00434
0.06400	0.00356	0.00146	0.00582	-0.00014	0.00398
0.06600	0.00367	0.00137	0.00817	-0.00023	0.00417
0.06800	0.00367	0.00260	0.00734	-0.00017	0.00363
0.07000	0.00367	0.00400	0.00701	-0.00018	0.00407
0.07200	0.00367	0.00611	0.00607	-0.00023	0.00397
0.07400	0.00367	0.00507	0.00583	-0.00023	0.00320
0.07600	0.00377	0.00129	0.00532	0.00015	0.00279
0.07800	0.00377	0.00289	0.00555	-0.00003	0.00298
0.08000	0.00377	0.00350	0.00547	0.00000	0.00351
0.08200	0.00377	0.00185	0.00723	-0.00023	0.00270
0.08400	0.00377	0.00168	0.00695	-0.00023	0.00234
0.08600	0.00388	0.00167	0.00671	-0.00023	0.00258
0.08800	0.00388	0.00194	0.00666	-0.00023	0.00341
0.09000	0.00388	0.00200	0.00711	0.00011	0.00365
0.09200	0.00388	0.00129	0.00617	-0.00018	0.00341
0.09400	0.00388	0.00082	0.00552	-0.00023	0.00319
0.09600	0.00399	0.00117	0.00768	0.00059	0.00273
0.09800	0.00399	0.00224	0.00778	-0.00012	0.00357
0.10000	0.00399	0.00077	0.00639	-0.00023	0.00287
0.10200	0.00399	0.00341	0.00588	-0.00023	0.00254
0.10400	0.00399	0.00377	0.00672	-0.00018	0.00408
0.10600	0.00410	0.00389	0.00605	-0.00023	0.00456
0.10800	0.00410	0.00329	0.00664	0.00000	0.00448
0.11000	0.00410	0.00258	0.00697	-0.00018	0.00494
0.11200	0.00410	0.00208	0.00809	-0.00012	0.00452
0.11400	0.00410	0.00112	0.00781	-0.00023	0.00131
0.11600	0.00419	0.00167	0.00695	0.00033	0.00065
0.11800	0.00419	0.00191	0.00673	-0.00004	0.00167
0.12000	0.00419	0.00143	0.00578	-0.00023	0.00133
0.12200	0.00419	0.00106	0.00607	-0.00023	0.00178
0.12400	0.00419	0.00110	0.00580	-0.00023	0.00316
0.12600	0.00427	0.00145	0.00618	-0.00023	0.00316
0.12800	0.00427	0.00232	0.00838	-0.00023	0.00356
0.13000	0.00427	0.00238	0.00755	-0.00020	0.00324
0.13200	0.00427	0.00269	0.00639	0.00002	0.00373
0.13400	0.00427	0.00467	0.00639	-0.00018	0.00299
0.13600	0.00434	0.00318	0.00579	-0.00018	0.00277
0.13800	0.00434	0.00434	0.00511	0.00076	0.00270
0.14000	0.00434	0.00346	0.00516	0.00002	0.00257
0.14200	0.00434	0.00228	0.00578	-0.00013	0.00273
0.14400	0.00434	0.00148	0.00758	-0.00023	0.00244
0.14600	0.00440	0.00138	0.00681	-0.00023	0.00265
0.14800	0.00440	0.00116	0.00679	-0.00023	0.00265
0.15000	0.00440	0.00255	0.00656	-0.00023	0.00298
0.15200	0.00440	0.00211	0.00551	-0.00018	0.00356
0.15400	0.00440	0.00211	0.00541	-0.00012	0.00242
0.15600	0.00447	0.00267	0.00564	0.00069	0.00234
0.15800	0.00447	0.00322	0.00573	-0.00022	0.00270
0.16000	0.00447	0.00243	0.00749	-0.00023	0.00252
0.16200	0.00447	0.00126	0.00622	-0.00023	0.00233
0.16400	0.00447	0.00306	0.00561	-0.00023	0.00396
0.16600	0.00451	0.00613	0.00594	0.00019	0.00395
0.16800	0.00451	0.00511	0.00703	-0.00014	0.00416
0.17000	0.00451	0.00283	0.00624	-0.00006	0.00447
0.17200	0.00451	0.00258	0.00514	-0.00006	0.00394
0.17400	0.00451	0.00171	0.00650	-0.00023	0.00225
0.17600	0.00456	0.00221	0.00786	-0.00023	0.00176
0.17800	0.00456	0.00171	0.00740	-0.00007	0.00235
0.18000	0.00456	0.00216	0.00578	-0.00023	0.00300
0.18200	0.00456	0.00183	0.00539	-0.00023	0.00141
0.18400	0.00456	0.00166	0.00557	-0.00023	0.00255
0.18600	0.00460	0.00177	0.00623	-0.00023	0.00336
0.18800	0.00460	0.00284	0.00685	-0.00023	0.00301
0.19000	0.00460	0.00133	0.00774	-0.00008	0.00294
0.19200	0.00460	0.00134	0.00710	-0.00017	0.00266
0.19400	0.00460	0.00141	0.00639	-0.00023	0.00273
0.19600	0.00462	0.00397	0.00622	-0.00023	0.00285
0.19800	0.00462	0.00468	0.00508	0.00008	0.00346
0.20000	0.00462	0.00366	0.00495	-0.00001	0.00305
0.20200	0.00462	0.00193	0.00510	-0.00001	0.00331
0.20400	0.00462	0.00215	0.00569	-0.00023	0.00285
0.20600	0.00463	0.00199	0.00867	-0.00023	0.00284
0.20800	0.00463	0.00191	0.00809	-0.00006	0.00212
0.21000	0.00463	0.00318	0.00692	0.00008	0.00298
0.21200	0.00463	0.00260	0.00600	-0.00002	0.00345
0.21400	0.00463	0.00168	0.00540	-0.00016	0.00316
0.21600	0.00463	0.00119	0.00592	-0.00023	0.00345
0.21800	0.00463	0.00310	0.00590	-0.00023	0.00349
0.22000	0.00463	0.00325	0.00580	-0.00012	0.00317
0.22200	0.00463	0.00212	0.00706	-0.00007	0.00273
0.22400	0.00463	0.00205	0.00740	-0.00023	0.00264
0.22600	0.00463	0.00241	0.00729	-0.00023	0.00270
0.22800	0.00463	0.00792	0.00740	-0.00006	0.00258
0.23000	0.00463	0.00503	0.00592	-0.00012	0.00267
0.23200	0.00463	0.00295	0.00575	-0.00003	0.00340
0.23400	0.00463	0.00160	0.00541	-0.00017	0.00278
0.23600	0.00463	0.00134	0.00485	-0.00023	0.00330
0.23800	0.00463	0.00119	0.00846	-0.00012	0.00350
0.24000	0.00463	0.00202	0.00700	0.00004	0.00329
0.24200	0.00463	0.00157	0.00524	0.00009	0.00312
0.24400	0.00463	0.00165	0.00597	-0.00023	0.00336
0.24600	0.00462	0.00206	0.00610	-0.00023	0.00297
0.24800	0.00462	0.00385	0.00692	-0.00018	0.00335
0.25000	0.00462	0.00256	0.00512	0.00000	0.00318
0.25200	0.00462	0.00268	0.00624	0.00029	0.00340
0.25400	0.00462	0.00196	0.00756	-0.00012	0.00350
0.25600	0.00461	0.00194	0.00635	-0.00023	0.00349
0.25800	0.00461	0.00295	0.00775	-0.00011	0.00454
0.26000	0.00461	0.00510	0.00644	-0.00004	0.00462
0.26200	0.00461	0.00367	0.00600	-0.00018	0.00401
0.26400	0.00461	0.00187	0.00563	-0.00023	0.00336
0.26600	0.00456	0.00197	0.00546	-0.00023	0.00264
0.26800	0.00456	0.00194	0.00666	-0.00023	0.00310
0.27000	0.00456	0.00183	0.00747	-0.00018	0.00290
0.27200	0.00456	0.00132	0.00607	-0.00023	0.00255
0.27400	0.00456	0.00212	0.00683	-0.00023	0.00305
0.27600	0.00449	0.00247	0.00666	-0.00023	0.00232
0.27800	0.00449	0.00238	0.00446	-0.00023	0.00187
0.28000	0.00449	0.00379	0.00673	-0.00023	0.00238
0.28200	0.00449	0.00299	0.00612	-0.00002	0.00247
0.28400	0.00449	0.00250	0.00825	-0.00023	0.00274
0.28600	0.00439	0.00166	0.00683	-0.00019	0.00281
0.28800	0.00439	0.00130	0.00610	-0.00023	0.00289
0.29000	0.00439	0.00578	0.00711	-0.00023	0.00282
0.29200	0.00439	0.00455	0.00658	-0.00023	0.00288
0.29400	0.00439	0.00351	0.00557	-0.00010	0.00321
0.29600	0.00428	0.00165	0.00512	-0.00023	0.00327
0.29800	0.00428	0.00516	0.00419	-0.00023	0.00337
0.30000	0.00428	0.00285	0.00789	0.00000	0.00343
