/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_2
* Project Lead:	JN
* Labview Operator:	JD
* Comments:	probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Fri 07 May 2021 11:44:53 AM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	0.00002	-1.98167	-1.97842	-0.00066	-0.38868
0.00200	0.00000	-1.98167	-1.97842	-0.00066	-0.38868
0.00400	0.00000	0.00491	0.00152	0.00029	-0.00194
0.00600	0.00000	0.00491	0.00152	0.00029	-0.00194
0.00800	0.00038	0.00204	-0.00027	-0.00021	-0.00101
0.01000	0.00038	0.00117	-0.00060	-0.00021	-0.00128
0.01200	0.00038	0.00212	-0.00124	-0.00015	-0.00184
0.01400	0.00038	0.00307	0.00038	0.00084	-0.00111
0.01600	0.00038	0.00272	0.00050	-0.00015	-0.00134
0.01800	0.00038	0.00100	0.00024	-0.00021	-0.00195
0.02000	0.00038	0.00216	0.00005	-0.00021	-0.00307
0.02200	0.00038	0.00196	-0.00020	0.00032	-0.00305
0.02400	0.00038	0.00221	-0.00129	0.00004	-0.00297
0.02600	0.00038	0.00023	-0.00067	-0.00021	-0.00326
0.02800	0.00038	0.00395	0.00063	-0.00021	-0.00340
0.03000	0.00038	0.00421	-0.00076	-0.00021	-0.00304
0.03200	0.00038	0.00421	0.00244	-0.00021	-0.00221
0.03400	0.00038	0.00300	0.00171	-0.00021	-0.00257
0.03600	0.00038	0.00033	0.00022	-0.00021	-0.00254
0.03800	0.00038	0.00290	0.00010	-0.00021	-0.00217
0.04000	0.00038	0.00238	0.00024	-0.00021	-0.00180
0.04200	0.00038	0.00197	-0.00110	-0.00021	-0.00180
0.04400	0.00038	0.00146	-0.00032	-0.00003	-0.00182
0.04600	0.00038	0.00351	-0.00090	-0.00015	-0.00186
0.04800	0.00037	0.00161	0.00285	-0.00021	-0.00147
0.05000	0.00037	0.00161	0.00171	-0.00021	-0.00129
0.05200	0.00037	0.00261	0.00026	-0.00008	-0.00058
0.05400	0.00037	0.00115	-0.00124	0.00014	-0.00084
0.05600	0.00037	0.00171	-0.00129	-0.00021	-0.00084
0.05800	0.00037	0.00315	0.00006	-0.00017	-0.00082
0.06000	0.00037	0.00438	-0.00085	-0.00021	-0.00147
0.06200	0.00037	0.00461	-0.00012	-0.00021	-0.00235
0.06400	0.00037	0.00291	0.00293	-0.00011	-0.00172
0.06600	0.00037	0.00228	0.00071	-0.00009	-0.00189
0.06800	0.00034	0.00238	-0.00052	-0.00021	-0.00256
0.07000	0.00034	0.00226	-0.00046	-0.00020	-0.00274
0.07200	0.00034	0.00204	-0.00006	-0.00021	-0.00358
0.07400	0.00034	0.00228	0.00033	-0.00005	-0.00349
0.07600	0.00034	0.00351	-0.00072	-0.00021	-0.00380
0.07800	0.00034	0.00272	0.00129	-0.00009	-0.00355
0.08000	0.00031	0.00219	0.00235	-0.00021	-0.00321
0.08200	0.00031	0.00213	0.00098	-0.00021	-0.00178
0.08400	0.00031	0.00084	-0.00098	-0.00009	-0.00206
0.08600	0.00031	0.00290	-0.00102	-0.00015	-0.00172
0.08800	0.00031	0.00180	-0.00101	-0.00021	-0.00188
0.09000	0.00024	0.00289	-0.00085	-0.00008	-0.00171
0.09200	0.00024	0.00521	-0.00021	-0.00015	-0.00089
0.09400	0.00024	0.00378	0.00046	-0.00021	-0.00131
0.09600	0.00024	0.00347	0.00141	-0.00021	-0.00092
0.09800	0.00019	0.00266	0.00116	-0.00021	-0.00054
0.10000	0.00019	0.00237	0.00006	-0.00009	-0.00071
0.10200	0.00019	0.00168	-0.00022	-0.00021	-0.00026
0.10400	0.00019	0.00323	-0.00068	0.00002	-0.00023
0.10600	0.00019	0.00180	0.00182	-0.00021	0.00021
0.10800	0.00019	0.00261	-0.00068	-0.00007	-0.00038
0.11000	0.00017	0.00217	0.00104	-0.00008	-0.00078
0.11200	0.00017	0.00188	0.00160	-0.00021	-0.00329
0.11400	0.00017	0.00240	0.00043	0.00044	-0.00266
0.11600	0.00017	0.00113	-0.00012	-0.00021	-0.00279
0.11800	0.00017	0.00219	0.00026	-0.00021	-0.00303
0.12000	0.00012	0.00269	0.00021	-0.00021	-0.00272
0.12200	0.00012	0.00411	0.00009	-0.00015	-0.00332
0.12400	0.00012	0.00471	-0.00105	-0.00015	-0.00334
0.12600	0.00012	0.00312	0.00189	-0.00021	-0.00399
0.12800	0.00012	0.00324	0.00130	-0.00021	-0.00366
0.13000	0.00008	0.00294	0.00016	0.00011	-0.00356
0.13200	0.00008	0.00243	-0.00007	-0.00021	-0.00138
0.13400	0.00008	0.00302	-0.00044	-0.00015	-0.00108
0.13600	0.00008	0.00322	-0.00102	-0.00003	-0.00104
0.13800	0.00008	0.00165	0.00020	-0.00002	-0.00153
0.14000	0.00004	0.00224	0.00006	-0.00015	-0.00096
0.14200	0.00004	0.00185	0.00162	-0.00021	-0.00112
0.14400	0.00004	0.00210	0.00206	-0.00021	-0.00140
0.14600	0.00004	0.00149	-0.00083	-0.00021	-0.00026
0.14800	0.00004	0.00187	0.00056	-0.00001	-0.00069
0.15000	-0.00002	0.00167	0.00063	-0.00014	-0.00079
0.15200	-0.00002	0.00228	-0.00006	-0.00021	-0.00059
0.15400	-0.00002	0.00462	-0.00018	-0.00015	-0.00061
0.15600	-0.00002	0.00466	-0.00177	-0.00015	-0.00056
0.15800	-0.00002	0.00269	0.00234	-0.00021	-0.00088
0.16000	-0.00005	0.00210	0.00113	-0.00015	-0.00120
0.16200	-0.00005	0.00273	-0.00002	-0.00020	-0.00339
0.16400	-0.00005	0.00151	0.00030	0.00006	-0.00305
0.16600	-0.00005	0.00152	-0.00024	-0.00021	-0.00326
0.16800	-0.00005	0.00223	0.00034	-0.00015	-0.00327
0.17000	-0.00009	0.00252	-0.00061	-0.00015	-0.00338
0.17200	-0.00009	0.00169	-0.00000	-0.00007	-0.00321
0.17400	-0.00009	0.00217	0.00223	-0.00021	-0.00347
0.17600	-0.00009	0.00243	0.00002	-0.00015	-0.00234
0.17800	-0.00009	0.00037	-0.00110	-0.00021	-0.00264
0.18000	-0.00014	0.00074	-0.00067	-0.00021	-0.00192
0.18200	-0.00014	0.00230	-0.00051	-0.00019	-0.00112
0.18400	-0.00014	0.00366	0.00051	-0.00021	-0.00118
0.18600	-0.00014	0.00483	0.00032	-0.00008	-0.00042
0.18800	-0.00014	0.00321	0.00162	-0.00021	-0.00107
0.19000	-0.00019	0.00258	0.00288	-0.00021	-0.00127
0.19200	-0.00019	0.00313	-0.00018	-0.00021	-0.00065
0.19400	-0.00019	0.00183	-0.00060	-0.00021	-0.00009
0.19600	-0.00019	0.00317	0.00122	-0.00009	-0.00094
0.19800	-0.00019	0.00260	0.00091	-0.00021	-0.00040
0.20000	-0.00025	0.00216	0.00051	-0.00021	0.00003
0.20200	-0.00025	0.00144	-0.00066	-0.00008	-0.00201
0.20400	-0.00025	0.00207	0.00205	-0.00021	-0.00268
0.20600	-0.00025	0.00188	0.00009	-0.00021	-0.00216
0.20800	-0.00025	0.00163	0.00027	-0.00015	-0.00209
0.21000	-0.00028	0.00210	0.00034	-0.00016	-0.00227
0.21200	-0.00028	0.00145	-0.00037	-0.00020	-0.00361
0.21400	-0.00028	0.00247	0.00040	0.00025	-0.00377
0.21600	-0.00028	0.00302	-0.00001	-0.00002	-0.00368
0.21800	-0.00028	0.00399	-0.00054	-0.00015	-0.00346
0.22000	-0.00033	0.00286	0.00143	-0.00021	-0.00340
0.22200	-0.00033	0.00261	0.00134	-0.00021	-0.00255
0.22400	-0.00033	0.00191	-0.00020	0.00021	-0.00254
0.22600	-0.00033	0.00148	-0.00057	-0.00020	-0.00222
0.22800	-0.00033	0.00251	0.00039	-0.00021	-0.00230
