/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_2
* Project Lead:	JN
* Labview Operator:	JD
* Comments:	probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Fri 07 May 2021 12:47:11 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	0.00000	-1.98167	-1.97842	-0.00066	-0.38868
0.00200	0.00000	-1.98167	-1.97842	-0.00066	-0.38868
0.00400	0.00000	-1.98167	-1.97842	-0.00066	-0.38868
0.00600	0.00000	0.00240	0.00261	-0.00021	-0.00082
0.00800	0.00000	0.00235	0.00013	-0.00015	-0.00349
0.01000	0.00000	0.00299	0.00028	-0.00015	-0.00406
0.01200	0.00140	0.00623	0.00132	-0.00021	-0.00399
0.01400	0.00140	0.00341	0.00206	-0.00021	-0.00390
0.01600	0.00140	0.00399	-0.00013	-0.00021	-0.00337
0.01800	0.00140	0.00316	0.00056	-0.00021	-0.00147
0.02000	0.00140	0.00196	0.00262	-0.00009	-0.00191
0.02200	0.00148	0.00104	0.00140	-0.00021	-0.00178
0.02400	0.00148	0.00141	-0.00157	-0.00021	-0.00163
0.02600	0.00148	0.00211	0.00088	-0.00021	-0.00126
0.02800	0.00148	0.00304	0.00113	-0.00021	-0.00020
0.03000	0.00148	0.00343	0.00111	-0.00008	-0.00000
0.03200	0.00155	0.00386	-0.00139	-0.00021	-0.00047
0.03400	0.00155	-0.00061	0.00099	-0.00021	-0.00014
0.03600	0.00155	0.00238	0.00323	0.00008	-0.00040
0.03800	0.00155	0.00294	0.00212	-0.00021	0.00035
0.04000	0.00155	0.00388	0.00032	-0.00002	0.00005
0.04200	0.00161	0.00538	0.00017	-0.00021	0.00037
0.04400	0.00161	0.00770	-0.00048	-0.00021	0.00025
0.04600	0.00161	0.00279	-0.00072	-0.00021	0.00042
0.04800	0.00161	0.00265	-0.00023	-0.00021	-0.00152
0.05000	0.00161	0.00268	0.00240	-0.00021	-0.00071
0.05200	0.00166	0.00179	0.00340	-0.00021	-0.00068
