/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_2
* Project Lead:	JN
* Labview Operator:	JD
* Comments:	probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Fri 07 May 2021 12:42:14 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	0.00001	-1.98167	-1.97842	-0.00066	-0.38868
0.00200	0.00000	-1.98167	-1.97842	-0.00066	-0.38868
0.00400	0.00000	-1.98167	-1.97842	-0.00066	-0.38868
0.00600	0.00000	0.00189	0.00020	-0.00021	-0.00324
0.00800	0.00000	0.00182	0.00333	-0.00021	-0.00293
0.01000	0.00000	0.00517	0.00336	-0.00021	-0.00328
0.01200	0.00000	0.00418	0.00156	-0.00021	-0.00293
0.01400	0.00247	0.00408	0.00156	-0.00021	-0.00288
0.01600	0.00247	0.00263	0.00024	-0.00015	-0.00273
0.01800	0.00247	0.00274	0.00002	-0.00015	-0.00328
0.02000	0.00247	0.00256	-0.00067	-0.00003	-0.00338
0.02200	0.00251	0.00322	-0.00073	-0.00021	-0.00269
0.02400	0.00251	0.00200	0.00446	-0.00021	-0.00122
0.02600	0.00251	0.00191	0.00257	-0.00021	-0.00122
0.02800	0.00251	0.00371	0.00122	0.00020	-0.00074
0.03000	0.00251	0.00308	0.00060	0.00004	-0.00113
0.03200	0.00254	0.00366	0.00146	-0.00003	-0.00068
0.03400	0.00254	0.00278	0.00010	-0.00021	0.00078
0.03600	0.00254	0.00233	0.00020	-0.00011	0.00088
0.03800	0.00254	0.00135	0.00005	-0.00015	0.00074
0.04000	0.00254	0.00199	0.00250	-0.00021	0.00046
0.04200	0.00256	0.00467	0.00308	-0.00021	0.00046
0.04400	0.00256	0.00429	-0.00034	-0.00021	0.00010
0.04600	0.00256	0.00302	0.00045	-0.00021	-0.00014
0.04800	0.00256	0.00352	0.00038	-0.00021	0.00035
0.05000	0.00256	0.00360	0.00102	-0.00021	0.00060
0.05200	0.00258	0.00367	-0.00051	-0.00015	0.00019
0.05400	0.00258	0.00193	-0.00018	-0.00021	-0.00266
0.05600	0.00258	0.00157	0.00349	-0.00021	-0.00331
0.05800	0.00258	0.00240	0.00291	-0.00009	-0.00317
0.06000	0.00258	0.00332	0.00263	-0.00019	-0.00300
0.06200	0.00260	0.00562	0.00171	-0.00008	-0.00312
0.06400	0.00260	0.00311	0.00012	-0.00021	-0.00147
0.06600	0.00260	0.00272	0.00049	-0.00017	-0.00100
0.06800	0.00260	0.00241	0.00007	-0.00021	-0.00130
0.07000	0.00260	0.00145	0.00139	-0.00021	-0.00153
0.07200	0.00262	0.00301	0.00424	-0.00021	-0.00137
0.07400	0.00262	0.00493	0.00245	-0.00021	-0.00016
0.07600	0.00262	0.00418	0.00188	-0.00021	0.00036
0.07800	0.00262	0.00397	0.00080	-0.00021	0.00022
0.08000	0.00262	0.00406	0.00057	0.00005	0.00020
0.08200	0.00263	0.00243	0.00049	0.00010	0.00049
0.08400	0.00263	0.00219	-0.00017	-0.00021	0.00083
0.08600	0.00263	0.00285	0.00406	-0.00021	0.00088
0.08800	0.00263	0.00372	0.00278	-0.00015	0.00149
0.09000	0.00263	0.00336	0.00265	-0.00013	0.00152
0.09200	0.00263	0.00286	0.00010	-0.00002	0.00109
0.09400	0.00263	0.00305	0.00098	-0.00021	-0.00011
0.09600	0.00263	0.00234	0.00032	-0.00021	-0.00095
0.09800	0.00263	0.00201	-0.00001	-0.00009	-0.00170
0.10000	0.00263	0.00204	0.00041	-0.00007	-0.00141
0.10200	0.00263	0.00233	0.00207	0.00009	-0.00114
0.10400	0.00263	0.00540	0.00252	-0.00021	-0.00222
0.10600	0.00263	0.00469	0.00051	-0.00021	-0.00328
0.10800	0.00263	0.00373	-0.00010	-0.00021	-0.00361
0.11000	0.00263	0.00301	-0.00011	-0.00015	-0.00360
0.11200	0.00263	0.00215	0.00132	-0.00009	-0.00260
0.11400	0.00263	0.00271	0.00178	-0.00021	-0.00193
0.11600	0.00263	0.00300	0.00124	-0.00021	-0.00078
0.11800	0.00263	0.00273	0.00291	-0.00021	-0.00051
0.12000	0.00263	0.00261	0.00148	-0.00007	-0.00113
0.12200	0.00263	0.00082	0.00033	0.00004	-0.00111
0.12400	0.00263	0.00158	0.00205	-0.00021	-0.00055
0.12600	0.00263	0.00294	0.00100	-0.00015	0.00069
0.12800	0.00263	0.00255	0.00061	0.00020	0.00111
0.13000	0.00263	0.00295	-0.00099	0.00002	0.00048
0.13200	0.00262	0.00228	-0.00078	-0.00021	0.00010
0.13400	0.00262	0.00226	0.00163	-0.00021	0.00028
0.13600	0.00262	0.00494	0.00205	-0.00021	0.00060
0.13800	0.00262	0.00429	0.00043	-0.00021	0.00079
0.14000	0.00262	0.00302	0.00132	-0.00021	0.00058
0.14200	0.00261	0.00201	-0.00005	-0.00015	0.00159
0.14400	0.00261	0.00221	-0.00078	-0.00021	-0.00010
0.14600	0.00261	0.00204	0.00078	-0.00021	-0.00178
0.14800	0.00261	0.00190	0.00222	-0.00021	-0.00128
0.15000	0.00261	0.00283	0.00358	-0.00019	-0.00141
0.15200	0.00258	0.00341	0.00139	-0.00008	-0.00112
0.15400	0.00258	0.00318	-0.00080	-0.00021	-0.00249
0.15600	0.00258	0.00233	0.00137	-0.00017	-0.00278
0.15800	0.00258	0.00343	0.00078	-0.00009	-0.00236
0.16000	0.00258	0.00328	0.00054	-0.00015	-0.00258
0.16200	0.00252	0.00315	0.00051	-0.00015	-0.00256
0.16400	0.00252	0.00215	0.00271	-0.00017	-0.00294
0.16600	0.00252	0.00368	0.00254	-0.00021	-0.00078
0.16800	0.00252	0.00549	0.00207	-0.00021	-0.00044
0.17000	0.00252	0.00425	0.00206	-0.00008	0.00023
0.17200	0.00244	0.00174	0.00009	-0.00021	-0.00040
0.17400	0.00244	0.00293	-0.00139	-0.00015	-0.00021
0.17600	0.00244	0.00272	0.00093	-0.00021	0.00014
0.17800	0.00244	0.00336	0.00123	-0.00015	0.00030
0.18000	0.00244	0.00230	0.00377	-0.00019	0.00059
0.18200	0.00236	0.00290	0.00351	-0.00008	0.00061
0.18400	0.00236	0.00265	0.00189	-0.00003	0.00030
0.18600	0.00236	0.00254	0.00027	-0.00021	-0.00110
0.18800	0.00236	0.00085	0.00045	-0.00015	-0.00121
0.19000	0.00236	0.00157	0.00130	-0.00021	-0.00149
0.19200	0.00229	0.00216	0.00060	-0.00009	-0.00138
0.19400	0.00229	0.00223	-0.00015	-0.00021	-0.00115
0.19600	0.00229	0.00226	0.00251	-0.00021	-0.00351
0.19800	0.00229	0.00562	0.00187	-0.00021	-0.00372
0.20000	0.00229	0.00441	0.00160	-0.00021	-0.00301
0.20200	0.00221	0.00447	0.00132	-0.00021	-0.00341
0.20400	0.00221	0.00365	0.00078	-0.00009	-0.00333
