/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_CV
* Project Lead:	JN
* Labview Operator:	JD
* Comments:	probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Fri 07 May 2021 04:18:05 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	0.00000	-1.98684	-1.98014	-0.00045	-0.38915
0.00200	0.00000	-1.98684	-1.98014	-0.00045	-0.38915
0.00400	0.00000	-1.98684	-1.98014	-0.00045	-0.38915
0.00600	0.00000	-0.00006	0.00069	0.00001	0.00569
0.00800	0.00000	-0.00011	0.00113	0.00000	0.00605
0.01000	0.00178	-0.00161	0.00265	0.00000	0.00399
0.01200	0.00178	-0.00043	0.00567	0.00000	0.00260
0.01400	0.00178	0.00280	0.00230	0.00000	0.00261
0.01600	0.00178	0.00239	0.00104	0.00002	0.00272
0.01800	0.00178	0.00107	0.00117	0.00000	0.00279
0.02000	0.00181	0.00080	-0.00004	0.00000	-0.00280
0.02200	0.00181	-0.00024	-0.00043	0.00012	-0.00390
0.02400	0.00181	-0.00004	0.00004	0.00000	-0.00390
0.02600	0.00181	0.00024	0.00223	0.00000	-0.00362
0.02800	0.00181	0.00004	0.00347	0.00000	-0.00347
0.03000	0.00185	-0.00394	0.00406	0.00000	0.00079
0.03200	0.00185	0.00038	0.00165	0.00000	0.00341
0.03400	0.00185	0.00000	0.00204	0.00000	0.00243
0.03600	0.00185	-0.00035	0.00112	0.00035	0.00311
0.03800	0.00185	-0.00038	0.00005	0.00000	0.00296
0.04000	0.00190	-0.00166	0.00140	0.00000	0.00420
0.04200	0.00190	-0.00038	0.00113	0.00000	0.00471
0.04400	0.00190	0.00166	0.00329	0.00000	0.00503
0.04600	0.00190	0.00308	0.00189	0.00000	0.00436
0.04800	0.00190	0.00071	0.00168	0.00000	0.00485
0.05000	0.00197	0.00038	0.00061	0.00000	0.00623
0.05200	0.00197	-0.00017	0.00289	0.00006	0.00689
0.05400	0.00197	-0.00018	0.00152	0.00000	0.00655
0.05600	0.00197	0.00002	0.00099	0.00005	0.00639
0.05800	0.00197	-0.00010	0.00307	0.00001	0.00557
0.06000	0.00201	-0.00171	0.00371	0.00000	0.00308
0.06200	0.00201	-0.00026	0.00191	0.00000	0.00098
0.06400	0.00201	-0.00029	0.00187	0.00018	0.00082
0.06600	0.00201	0.00041	0.00233	0.00004	0.00099
0.06800	0.00201	-0.00045	0.00094	0.00000	0.00008
0.07000	0.00205	0.00149	0.00043	0.00000	-0.00291
0.07200	0.00205	-0.00011	0.00155	0.00000	-0.00374
0.07400	0.00205	-0.00038	0.00336	0.00000	-0.00350
0.07600	0.00205	0.00273	0.00296	0.00000	-0.00412
0.07800	0.00205	0.00163	0.00140	0.00000	-0.00350
0.08000	0.00207	0.00016	0.00169	0.00000	0.00185
0.08200	0.00207	0.00032	-0.00040	0.00000	0.00440
0.08400	0.00207	-0.00006	0.00041	0.00006	0.00427
0.08600	0.00207	-0.00068	0.00065	0.00000	0.00453
0.08800	0.00207	-0.00028	0.00134	0.00000	0.00464
0.09000	0.00208	0.00166	0.00277	0.00000	0.00437
0.09200	0.00208	-0.00073	0.00289	0.00000	0.00473
0.09400	0.00208	0.00002	0.00091	0.00000	0.00542
0.09600	0.00208	-0.00110	0.00113	0.00000	0.00569
0.09800	0.00208	0.00005	0.00229	0.00006	0.00545
0.10000	0.00208	-0.00094	0.00218	0.00008	0.00637
0.10200	0.00208	-0.00074	0.00009	0.00000	0.00606
0.10400	0.00208	0.00096	0.00216	0.00028	0.00603
