/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_postexperiment
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	Wave calibration for interpolated OSWEC RAO runs. probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.  Naming convention: T(period)_A(actuator amp)_B(beach distance)
* Date and Time:	Tue 06 Jul 2021 03:49:48 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	0.00004	-2.04274	-1.96892	-0.47483	-0.45920
0.00200	0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00400	0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00600	0.00000	-0.00430	0.00096	0.00098	-0.00743
0.00800	0.00000	-0.00013	0.00035	0.00002	-0.00984
0.01000	0.00000	-0.00074	-0.00091	-0.00024	-0.00961
0.01200	0.00000	0.00358	0.00197	-0.00023	-0.01082
0.01400	0.00156	0.00223	0.00096	-0.00107	-0.01069
0.01600	0.00156	-0.00000	0.00010	0.00026	-0.01156
0.01800	0.00156	-0.00015	-0.00016	0.00039	-0.01072
0.02000	0.00156	-0.00020	-0.00002	0.00059	-0.01128
0.02200	0.00156	0.00083	-0.00004	-0.00091	-0.00575
0.02400	0.00165	-0.00205	-0.00005	0.00009	-0.00129
0.02600	0.00165	0.00012	0.00007	0.00039	-0.00264
0.02800	0.00165	-0.00029	0.00071	-0.00009	-0.00305
0.03000	0.00165	-0.00004	0.00104	0.00005	-0.00272
0.03200	0.00165	0.00063	0.00054	-0.00030	-0.00225
0.03400	0.00175	0.00156	-0.00111	-0.00055	-0.00209
0.03600	0.00175	-0.00022	0.00032	0.00000	-0.00164
0.03800	0.00175	0.00039	-0.00006	0.00310	-0.00168
0.04000	0.00175	-0.00038	-0.00049	0.00336	-0.00181
0.04200	0.00175	0.00113	0.00022	0.00372	-0.00164
0.04400	0.00183	0.00555	0.00167	0.00394	-0.00269
0.04600	0.00183	0.00102	-0.00028	0.00341	-0.00133
0.04800	0.00183	0.00054	0.00037	0.00333	-0.00090
0.05000	0.00183	0.00052	-0.00045	0.00070	-0.00125
0.05200	0.00183	0.00023	-0.00004	0.00118	-0.00534
0.05400	0.00192	0.00512	-0.00184	0.00018	-0.01150
0.05600	0.00192	-0.00024	-0.00313	0.00037	-0.01153
0.05800	0.00192	0.00030	-0.00087	0.00056	-0.01126
0.06000	0.00192	0.00026	0.00182	-0.00022	-0.01126
0.06200	0.00192	-0.00033	0.00071	0.00030	-0.01012
0.06400	0.00202	-0.00045	0.00185	0.00040	-0.00791
0.06600	0.00202	-0.00016	-0.00062	-0.00001	-0.00799
0.06800	0.00202	0.00074	-0.00026	-0.00012	-0.00813
0.07000	0.00202	-0.00006	-0.00106	0.00100	-0.00798
0.07200	0.00202	-0.00040	-0.00023	0.00197	-0.00642
0.07400	0.00211	0.00402	0.00074	0.00077	-0.00301
0.07600	0.00211	0.00250	0.00139	0.00049	-0.00214
0.07800	0.00211	0.00100	0.00199	0.00044	-0.00181
0.08000	0.00211	0.00132	0.00046	0.00436	-0.00220
0.08200	0.00211	-0.00089	-0.00057	0.00350	-0.00195
0.08400	0.00222	-0.00252	-0.00005	0.00455	-0.00228
0.08600	0.00222	0.00007	-0.00001	0.00452	-0.00244
0.08800	0.00222	-0.00110	-0.00035	0.00412	-0.00287
0.09000	0.00222	0.00022	0.00094	0.00323	-0.00237
0.09200	0.00222	0.00106	0.00138	0.00237	-0.00337
0.09400	0.00230	-0.00168	0.00043	0.00329	-0.00481
0.09600	0.00230	0.00034	0.00026	0.00361	-0.00493
0.09800	0.00230	0.00046	0.00037	0.00303	-0.00482
0.10000	0.00230	0.00007	-0.00032	0.00004	-0.00479
0.10200	0.00230	-0.00099	0.00005	-0.00067	-0.00525
0.10400	0.00238	-0.00316	0.00332	0.00066	-0.01144
0.10600	0.00238	0.00310	0.00150	0.00046	-0.01143
0.10800	0.00238	0.00266	0.00074	0.00032	-0.01203
0.11000	0.00238	0.00085	0.00027	0.00131	-0.01157
0.11200	0.00238	-0.00012	-0.00066	0.00016	-0.01083
0.11400	0.00247	-0.00057	-0.00218	0.00153	-0.00405
0.11600	0.00247	0.00052	-0.00006	0.00165	-0.00373
0.11800	0.00247	-0.00013	0.00045	0.00125	-0.00443
0.12000	0.00247	0.00039	-0.00057	-0.00178	-0.00356
0.12200	0.00247	-0.00377	0.00218	-0.00097	-0.00301
0.12400	0.00256	0.00028	0.00208	-0.00043	-0.00268
0.12600	0.00256	0.00033	0.00017	-0.00045	-0.00271
0.12800	0.00256	0.00099	-0.00084	-0.00036	-0.00264
0.13000	0.00256	0.00132	-0.00063	0.00438	-0.00295
0.13200	0.00256	0.00056	-0.00187	0.00369	-0.00254
0.13400	0.00265	-0.00063	-0.00116	0.00340	-0.00245
0.13600	0.00265	0.00271	0.00007	0.00280	-0.00265
0.13800	0.00265	0.00286	0.00219	0.00361	-0.00214
0.14000	0.00265	0.00054	0.00126	0.00096	-0.00190
0.14200	0.00265	-0.00035	0.00032	0.00098	-0.00269
0.14400	0.00273	0.00054	0.00013	0.00112	-0.00856
0.14600	0.00273	0.00106	-0.00001	0.00109	-0.00867
0.14800	0.00273	0.00039	-0.00033	0.00022	-0.00899
0.15000	0.00273	0.00139	-0.00106	0.00006	-0.00855
0.15200	0.00273	-0.00026	0.00095	0.00038	-0.00839
0.15400	0.00282	0.00022	0.00177	0.00029	-0.01073
0.15600	0.00282	0.00057	0.00093	0.00013	-0.01072
0.15800	0.00282	0.00032	0.00045	0.00032	-0.01042
0.16000	0.00282	-0.00043	0.00044	0.00004	-0.00939
0.16200	0.00282	-0.00071	0.00301	0.00110	-0.01066
0.16400	0.00290	-0.00015	-0.00048	0.00042	-0.00423
0.16600	0.00290	-0.00009	-0.00009	0.00114	-0.00344
0.16800	0.00290	0.00222	-0.00118	0.00126	-0.00405
0.17000	0.00290	0.00139	0.00166	0.00161	-0.00252
0.17200	0.00290	0.00074	0.00317	0.00261	-0.00366
0.17400	0.00297	0.00084	0.00043	0.00256	-0.00193
0.17600	0.00297	-0.00029	-0.00016	0.00274	-0.00220
0.17800	0.00297	0.00139	-0.00112	0.00255	-0.00153
0.18000	0.00297	0.00054	0.00016	0.00376	-0.00077
0.18200	0.00297	0.00123	0.00119	0.00316	-0.00193
0.18400	0.00305	0.00001	0.00255	0.00289	-0.00241
0.18600	0.00305	-0.00037	0.00152	0.00316	-0.00300
0.18800	0.00305	-0.00054	0.00106	0.00265	-0.00241
0.19000	0.00305	-0.00098	-0.00029	0.00029	-0.00253
0.19200	0.00305	-0.00137	0.00089	0.00076	-0.00308
0.19400	0.00311	-0.00005	-0.00033	0.00067	-0.00710
0.19600	0.00311	0.00067	-0.00030	0.00059	-0.00923
0.19800	0.00311	-0.00105	-0.00087	0.00043	-0.00917
0.20000	0.00311	0.00316	0.00174	0.00115	-0.00963
0.20200	0.00311	0.00296	-0.00007	0.00025	-0.00955
0.20400	0.00318	0.00105	0.00046	0.00057	-0.00811
0.20600	0.00318	0.00085	0.00030	0.00050	-0.00762
