/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_2
* Project Lead:	JN
* Labview Operator:	JD
* Comments:	probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Fri 07 May 2021 01:21:58 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	-0.00003	-1.98167	-1.97842	-0.00066	-0.38868
0.00200	0.00000	-1.98167	-1.97842	-0.00066	-0.38868
0.00400	0.00000	-1.98167	-1.97842	-0.00066	-0.38868
0.00600	0.00000	0.00419	0.00071	0.00109	-0.00222
0.00800	0.00000	0.00030	0.00122	-0.00004	-0.00035
0.01000	0.00170	0.00100	0.00397	-0.00021	0.00353
0.01200	0.00170	0.00394	0.00205	-0.00003	0.00138
0.01400	0.00170	0.00306	0.00102	-0.00002	0.00141
0.01600	0.00170	0.00553	-0.00034	0.00014	0.00107
0.01800	0.00170	0.00677	0.00083	0.00081	-0.00013
0.02000	0.00176	0.00574	0.00013	-0.00021	-0.00001
0.02200	0.00176	0.00421	0.00139	-0.00021	0.00026
0.02400	0.00176	0.00457	0.00176	0.00014	0.00065
0.02600	0.00176	0.00413	0.00301	-0.00015	0.00041
0.02800	0.00176	0.00187	0.00126	0.00023	0.00103
0.03000	0.00184	0.00143	0.00154	-0.00015	0.00065
0.03200	0.00184	0.00456	0.00072	0.00028	0.00135
0.03400	0.00184	0.00394	-0.00005	0.00024	0.00079
0.03600	0.00184	0.00285	-0.00078	-0.00021	0.00093
0.03800	0.00184	0.00256	0.00062	-0.00003	-0.00011
0.04000	0.00191	0.00434	0.00137	-0.00021	-0.00340
0.04200	0.00191	0.00239	0.00385	0.00008	-0.00247
0.04400	0.00191	0.00315	0.00161	0.00004	-0.00256
0.04600	0.00191	0.00265	0.00095	-0.00021	-0.00299
0.04800	0.00191	0.00428	0.00100	0.00002	-0.00166
0.05000	0.00199	0.00458	0.00197	-0.00017	0.00068
0.05200	0.00199	0.00443	0.00132	-0.00003	-0.00156
0.05400	0.00199	0.00317	0.00078	-0.00015	-0.00231
0.05600	0.00199	0.00235	0.00227	-0.00021	-0.00234
0.05800	0.00199	0.00449	0.00252	0.00056	-0.00359
0.06000	0.00209	0.00357	0.00050	-0.00006	-0.00320
0.06200	0.00209	0.00194	0.00048	-0.00013	-0.00164
0.06400	0.00209	0.00335	0.00151	-0.00015	-0.00122
0.06600	0.00209	0.00228	0.00115	-0.00009	-0.00079
0.06800	0.00209	0.00279	0.00059	0.00026	-0.00195
0.07000	0.00218	0.00340	0.00005	0.00070	0.00112
0.07200	0.00218	0.00343	0.00345	-0.00021	0.00156
0.07400	0.00218	0.00204	0.00196	-0.00021	0.00117
0.07600	0.00218	0.00194	0.00160	-0.00021	0.00117
0.07800	0.00218	0.00499	0.00168	0.00002	0.00080
0.08000	0.00226	0.00672	0.00137	0.00009	0.00054
0.08200	0.00226	0.00582	0.00102	-0.00021	0.00072
0.08400	0.00226	0.00338	0.00061	-0.00021	0.00100
0.08600	0.00226	0.00260	0.00030	-0.00015	0.00103
0.08800	0.00226	0.00256	0.00301	-0.00003	-0.00059
0.09000	0.00234	0.00372	0.00254	-0.00021	-0.00124
