/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_column_w_springs
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.
* Date and Time:	Thu 10 Jun 2021 12:15:12 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00200	0.00000	0.00000	0.00000	0.00000	0.00000
0.00400	0.00000	0.00000	0.00000	0.00000	0.00000
0.00600	0.00000	1.96820	1.96645	0.47283	0.37229
0.00800	0.00000	1.97083	1.96358	0.47254	0.37199
0.01000	0.00000	1.97231	1.96459	0.47349	0.37230
0.01200	0.00055	1.97113	1.96379	0.47386	0.37178
0.01400	0.00055	1.97025	1.96415	0.47458	0.37221
0.01600	0.00055	1.96986	1.96570	0.47441	0.37150
0.01800	0.00055	1.96976	1.96614	0.47417	0.37135
0.02000	0.00055	1.96977	1.96604	0.47419	0.37147
0.02200	0.00030	1.96898	1.96536	0.47456	0.37116
0.02400	0.00030	1.96893	1.96436	0.47504	0.37005
0.02600	0.00030	1.97182	1.96593	0.47438	0.37039
0.02800	0.00030	1.96998	1.96364	0.47393	0.37073
0.03000	0.00030	1.96927	1.96378	0.47403	0.37071
0.03200	0.00000	1.96901	1.96470	0.47395	0.37149
0.03400	0.00000	1.96735	1.96640	0.47477	0.37199
0.03600	0.00000	1.97247	1.96687	0.47386	0.37188
0.03800	0.00000	1.96904	1.96409	0.47440	0.37171
0.04000	0.00000	1.97366	1.96461	0.47385	0.37104
0.04200	-0.00035	1.97140	1.96501	0.47349	0.37109
0.04400	-0.00035	1.96962	1.96301	0.47497	0.37116
0.04600	-0.00035	1.96994	1.96478	0.47376	0.37116
0.04800	-0.00035	1.97037	1.96352	0.47363	0.37117
0.05000	-0.00035	1.96876	1.96660	0.47439	0.37060
0.05200	-0.00064	1.96927	1.96682	0.47411	0.37127
0.05400	-0.00064	1.96952	1.96453	0.47432	0.37107
0.05600	-0.00064	1.97008	1.96469	0.47424	0.37119
0.05800	-0.00064	1.96898	1.96437	0.47355	0.37154
0.06000	-0.00064	1.97054	1.96452	0.47457	0.37060
0.06200	-0.00099	1.96908	1.96340	0.47433	0.37127
0.06400	-0.00099	1.96998	1.96490	0.47453	0.37116
0.06600	-0.00099	1.97008	1.96540	0.47431	0.37141
0.06800	-0.00099	1.96941	1.96550	0.47445	0.37150
0.07000	-0.00099	1.96982	1.96404	0.47441	0.37180
0.07200	-0.00135	1.97205	1.96350	0.47395	0.37140
0.07400	-0.00135	1.97073	1.96461	0.47397	0.37097
0.07600	-0.00135	1.97019	1.96476	0.47445	0.37117
0.07800	-0.00135	1.96925	1.96386	0.47424	0.37067
0.08000	-0.00135	1.96907	1.96479	0.47431	0.37065
0.08200	-0.00171	1.96940	1.96559	0.47425	0.36960
0.08400	-0.00171	1.97020	1.96584	0.47439	0.37092
0.08600	-0.00171	1.97070	1.96380	0.47428	0.37152
0.08800	-0.00171	1.96877	1.96385	0.47421	0.37158
0.09000	-0.00171	1.96896	1.96389	0.47399	0.37147
0.09200	-0.00211	1.97018	1.96342	0.47295	0.37107
0.09400	-0.00211	1.97070	1.96370	0.47316	0.37092
0.09600	-0.00211	1.96851	1.96504	0.47278	0.37129
0.09800	-0.00211	1.96854	1.96626	0.47267	0.37114
0.10000	-0.00211	1.96943	1.96491	0.47325	0.37111
0.10200	-0.00243	1.97135	1.96424	0.47411	0.37054
0.10400	-0.00243	1.97148	1.96450	0.47441	0.37139
0.10600	-0.00243	1.97070	1.96461	0.47422	0.37159
0.10800	-0.00243	1.96879	1.96414	0.47425	0.37106
0.11000	-0.00243	1.96884	1.96447	0.47442	0.37129
0.11200	-0.00279	1.96820	1.96557	0.47468	0.37089
0.11400	-0.00279	1.96897	1.96615	0.47403	0.37096
0.11600	-0.00279	1.96924	1.96479	0.47442	0.37139
0.11800	-0.00279	1.96897	1.96407	0.47417	0.37170
0.12000	-0.00279	1.96970	1.96346	0.47449	0.37182
0.12200	-0.00316	1.96864	1.96339	0.47425	0.37150
0.12400	-0.00316	1.96843	1.96432	0.47365	0.37016
0.12600	-0.00316	1.97024	1.96411	0.47406	0.36985
0.12800	-0.00316	1.96870	1.96699	0.47398	0.36981
0.13000	-0.00316	1.96919	1.96569	0.47410	0.37026
0.13200	-0.00353	1.97083	1.96363	0.47469	0.36999
0.13400	-0.00353	1.97035	1.96434	0.47319	0.37193
0.13600	-0.00353	1.97221	1.96464	0.47407	0.37070
0.13800	-0.00353	1.97030	1.96408	0.47367	0.37126
0.14000	-0.00353	1.97062	1.96359	0.47401	0.37076
0.14200	-0.00395	1.96964	1.96567	0.47533	0.37088
0.14400	-0.00395	1.96767	1.96630	0.47527	0.37154
0.14600	-0.00395	1.96904	1.96462	0.47470	0.37096
0.14800	-0.00395	1.96886	1.96462	0.47482	0.37083
0.15000	-0.00395	1.96942	1.96403	0.47444	0.37139
0.15200	-0.00426	1.96915	1.96375	0.47540	0.37055
0.15400	-0.00426	1.97057	1.96431	0.47534	0.37127
0.15600	-0.00426	1.96893	1.96391	0.47540	0.37146
0.15800	-0.00426	1.96937	1.96528	0.47549	0.37170
0.16000	-0.00426	1.96943	1.96590	0.47551	0.37134
0.16200	-0.00460	1.96925	1.96490	0.47373	0.37188
0.16400	-0.00460	1.96802	1.96569	0.47408	0.37089
0.16600	-0.00460	1.97214	1.96491	0.47380	0.37027
0.16800	-0.00460	1.97074	1.96431	0.47353	0.37083
0.17000	-0.00460	1.96981	1.96387	0.47416	0.37096
0.17200	-0.00493	1.96947	1.96369	0.47425	0.37076
0.17400	-0.00493	1.97032	1.96479	0.47344	0.37009
0.17600	-0.00493	1.96881	1.96568	0.47337	0.37063
0.17800	-0.00493	1.96931	1.96506	0.47473	0.37078
0.18000	-0.00493	1.96951	1.96373	0.47419	0.37081
0.18200	-0.00526	1.96957	1.96413	0.47384	0.37118
0.18400	-0.00526	1.97155	1.96325	0.47366	0.37075
0.18600	-0.00526	1.96915	1.96276	0.47315	0.37195
0.18800	-0.00526	1.96970	1.96392	0.47374	0.37205
0.19000	-0.00526	1.96884	1.96557	0.47362	0.37184
0.19200	-0.00562	1.96879	1.96693	0.47564	0.37147
0.19400	-0.00562	1.97325	1.96485	0.47538	0.37096
0.19600	-0.00562	1.97216	1.96422	0.47562	0.37152
0.19800	-0.00562	1.97159	1.96404	0.47570	0.37111
0.20000	-0.00562	1.96935	1.96386	0.47553	0.37187
0.20200	-0.00588	1.97066	1.96350	0.47452	0.37163
0.20400	-0.00588	1.97105	1.96475	0.47408	0.37073
0.20600	-0.00588	1.96942	1.96657	0.47382	0.37155
0.20800	-0.00588	1.97001	1.96592	0.47407	0.37155
0.21000	-0.00588	1.96862	1.96480	0.47406	0.37202
0.21200	-0.00616	1.96923	1.96311	0.47351	0.37195
0.21400	-0.00616	1.96891	1.96279	0.47264	0.37124
0.21600	-0.00616	1.96932	1.96401	0.47256	0.37091
0.21800	-0.00616	1.96902	1.96376	0.47233	0.37103
0.22000	-0.00616	1.96952	1.96424	0.47293	0.37067
0.22200	-0.00642	1.96971	1.96636	0.47373	0.37082
0.22400	-0.00642	1.97138	1.96217	0.47463	0.37067
0.22600	-0.00642	1.97001	1.96406	0.47481	0.37157
0.22800	-0.00642	1.97251	1.96458	0.47425	0.37160
0.23000	-0.00642	1.97218	1.96359	0.47458	0.37139
0.23200	-0.00666	1.96876	1.96404	0.47311	0.37128
0.23400	-0.00666	1.96478	1.96685	0.47246	0.37284
0.23600	-0.00666	1.97001	1.96419	0.47307	0.37252
0.23800	-0.00666	1.96936	1.96684	0.47251	0.37280
0.24000	-0.00666	1.96937	1.96557	0.47264	0.37242
0.24200	-0.00691	1.96918	1.96329	0.47334	0.37323
0.24400	-0.00691	1.97158	1.96014	0.47353	0.37233
0.24600	-0.00691	1.96977	1.96367	0.47380	0.37163
0.24800	-0.00691	1.96999	1.96392	0.47363	0.37184
0.25000	-0.00691	1.96955	1.96402	0.47384	0.37174
0.25200	-0.00707	1.96921	1.96603	0.47380	0.37145
0.25400	-0.00707	1.96847	1.96753	0.47371	0.37118
0.25600	-0.00707	1.96920	1.96556	0.47362	0.37124
0.25800	-0.00707	1.97046	1.96436	0.47383	0.37136
0.26000	-0.00707	1.97259	1.96461	0.47375	0.37092
0.26200	-0.00724	1.97069	1.96451	0.47304	0.37087
0.26400	-0.00724	1.96829	1.96406	0.47415	0.37124
0.26600	-0.00724	1.96918	1.96453	0.47393	0.37041
0.26800	-0.00724	1.97003	1.96582	0.47426	0.37016
0.27000	-0.00724	1.96949	1.96659	0.47404	0.37023
0.27200	-0.00738	1.97057	1.96614	0.47413	0.37036
0.27400	-0.00738	1.96849	1.96582	0.47415	0.37069
0.27600	-0.00738	1.96948	1.96545	0.47478	0.37005
0.27800	-0.00738	1.96974	1.96406	0.47488	0.37056
0.28000	-0.00738	1.96921	1.96342	0.47466	0.37066
0.28200	-0.00750	1.97002	1.96328	0.47518	0.37014
0.28400	-0.00750	1.97122	1.96686	0.47271	0.36936
0.28600	-0.00750	1.96895	1.96569	0.47346	0.37153
0.28800	-0.00750	1.97040	1.96417	0.47312	0.37148
0.29000	-0.00750	1.97299	1.96396	0.47330	0.37125
0.29200	-0.00760	1.97210	1.96489	0.47309	0.37232
0.29400	-0.00760	1.97071	1.96420	0.47446	0.37169
0.29600	-0.00760	1.96985	1.96439	0.47442	0.37199
0.29800	-0.00760	1.96974	1.96414	0.47441	0.37144
0.30000	-0.00760	1.96923	1.96648	0.47479	0.37211
0.30200	-0.00764	1.96864	1.96608	0.47458	0.37195
0.30400	-0.00764	1.96952	1.96440	0.47412	0.37058
0.30600	-0.00764	1.96987	1.96319	0.47371	0.37131
0.30800	-0.00764	1.96871	1.96361	0.47369	0.37149
0.31000	-0.00764	1.97025	1.96326	0.47452	0.37148
0.31200	-0.00766	1.96920	1.96411	0.47377	0.37159
0.31400	-0.00766	1.96862	1.96457	0.47420	0.37127
0.31600	-0.00766	1.96980	1.96402	0.47393	0.37069
0.31800	-0.00766	1.96954	1.96567	0.47340	0.37134
