/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_column_w_springs
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.
* Date and Time:	Thu 10 Jun 2021 12:18:14 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00200	0.00000	0.00000	0.00000	0.00000	-0.99220	-90.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00400	0.00000	0.00000	0.00000	0.00000	-1.08240	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00600	1.96988	1.96294	0.47430	0.37242	-1.08240	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00800	1.96787	1.96468	0.47407	0.37229	-1.26280	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.01000	1.96825	1.96486	0.47404	0.37214	-1.17260	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.01200	1.96825	1.96486	0.47404	0.37214	-0.99220	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.01400	1.96781	1.96429	0.47446	0.37201	-1.08240	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.01600	1.96830	1.96317	0.47453	0.37322	-1.08240	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.01800	1.96769	1.96319	0.47433	0.37293	-1.08240	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.02000	1.96837	1.96296	0.47440	0.37278	-1.08240	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.02200	1.96773	1.96223	0.47451	0.37257	-1.08240	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.02400	1.96829	1.96473	0.47433	0.37202	-0.99220	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.02600	1.96852	1.96462	0.47399	0.37159	-0.99220	-90.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.02800	1.96786	1.96425	0.47419	0.37163	-1.08240	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.03000	1.96814	1.96335	0.47418	0.37167	-0.99220	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.03200	1.96814	1.96335	0.47418	0.37167	-1.08240	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.03400	1.97077	1.96269	0.47451	0.37101	-1.08240	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.03600	1.96999	1.96294	0.47419	0.37119	-1.08240	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.03800	1.96862	1.96257	0.47455	0.37136	-0.99220	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.04000	1.96770	1.96547	0.47405	0.37106	-1.08240	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.04200	1.96810	1.96554	0.47425	0.37101	-1.08240	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.04400	1.96825	1.96376	0.47563	0.37192	-0.99220	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.04600	1.96857	1.96281	0.47423	0.37214	-0.99220	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.04800	1.96832	1.96275	0.47444	0.37232	-0.99220	-90.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.05000	1.96832	1.96275	0.47444	0.37232	-0.99220	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.05200	1.96925	1.96320	0.47473	0.37222	-1.08240	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.05400	1.96793	1.96352	0.47403	0.37220	-1.08240	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.05600	1.96787	1.96501	0.47342	0.37216	-1.17260	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.05800	1.96770	1.96493	0.47420	0.37199	-1.26280	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.06000	1.96854	1.96403	0.47403	0.37229	-1.17260	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.06200	1.96854	1.96403	0.47403	0.37229	-0.99220	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.06400	1.96955	1.96314	0.47420	0.37267	-0.99220	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.06600	1.97068	1.96212	0.47409	0.37312	-0.99220	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.06800	1.96893	1.96247	0.47462	0.37305	-0.99220	-89.73000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.07000	1.96893	1.96247	0.47462	0.37305	-1.17260	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.07200	1.96840	1.96462	0.47424	0.37300	-1.17260	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.07400	1.96806	1.96469	0.47418	0.37227	-1.17260	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.07600	1.96842	1.96251	0.47442	0.37141	-1.26280	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.07800	1.96807	1.96313	0.47481	0.37116	-1.08240	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.08000	1.96795	1.96247	0.47452	0.37113	-1.08240	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.08200	1.96795	1.96247	0.47452	0.37113	-0.99220	-90.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.08400	1.96824	1.96324	0.47426	0.37146	-1.08240	-90.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.08600	1.96824	1.96324	0.47426	0.37146	-1.08240	-90.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.08800	1.96806	1.96415	0.47420	0.37162	-1.17260	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.09000	1.96806	1.96415	0.47420	0.37162	-1.17260	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.09200	1.96780	1.96365	0.47425	0.37186	-1.17260	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.09400	1.96741	1.96265	0.47444	0.37224	-1.08240	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.09600	1.97080	1.96326	0.47405	0.37276	-0.99220	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.09800	1.96962	1.96324	0.47450	0.37298	-0.81180	-90.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.10000	1.96962	1.96324	0.47450	0.37298	-0.90200	-90.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.10200	1.96660	1.96501	0.47447	0.37252	-0.99220	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.10400	1.96660	1.96501	0.47447	0.37252	-1.08240	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.10600	1.96810	1.96380	0.47445	0.37268	-1.08240	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.10800	1.96780	1.96346	0.47433	0.37269	-1.17260	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.11000	1.96909	1.96351	0.47589	0.37245	-1.17260	-90.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.11200	1.96832	1.96369	0.47408	0.37294	-1.17260	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.11400	1.96826	1.96235	0.47456	0.37275	-1.08240	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.11600	1.96788	1.96281	0.47428	0.37277	-1.08240	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.11800	1.96801	1.96502	0.47430	0.37266	-0.90200	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.12000	1.96835	1.96422	0.47406	0.37246	-1.08240	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.12200	1.96843	1.96325	0.47444	0.37288	-1.17260	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.12400	1.96806	1.96307	0.47450	0.37265	-1.17260	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.12600	1.96932	1.96275	0.47435	0.37153	-1.17260	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.12800	1.97034	1.96345	0.47426	0.37154	-1.17260	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.13000	1.97034	1.96345	0.47426	0.37154	-1.17260	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.13200	1.96938	1.96267	0.47427	0.37140	-1.08240	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.13400	1.96787	1.96495	0.47448	0.37142	-1.08240	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.13600	1.96771	1.96481	0.47435	0.37182	-1.08240	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.13800	1.96824	1.96329	0.47438	0.37208	-0.99220	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.14000	1.96719	1.96284	0.47446	0.37237	-0.99220	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.14200	1.96724	1.96300	0.47413	0.37216	-1.08240	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.14400	1.96840	1.96306	0.47439	0.37236	-0.99220	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.14600	1.96799	1.96304	0.47418	0.37250	-1.08240	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.14800	1.96780	1.96304	0.47444	0.37285	-1.08240	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.15000	1.96793	1.96465	0.47392	0.37289	-0.99220	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.15200	1.96818	1.96481	0.47414	0.37299	-1.08240	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.15400	1.96856	1.96289	0.47478	0.37291	-1.08240	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.15600	1.96821	1.96272	0.47443	0.37316	-1.08240	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.15800	1.97013	1.96329	0.47423	0.37330	-1.17260	-89.73000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.16000	1.97062	1.96356	0.47437	0.37309	-0.99220	-89.64000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.16200	1.96904	1.96400	0.47418	0.37326	-0.99220	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.16400	1.96788	1.96291	0.47464	0.37294	-0.99220	-89.73000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.16600	1.96842	1.96478	0.47434	0.37169	-0.99220	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.16800	1.96873	1.96442	0.47415	0.37180	-1.08240	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.17000	1.96830	1.96400	0.47409	0.37206	-1.08240	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.17200	1.96829	1.96247	0.47545	0.37177	-1.17260	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.17400	1.96786	1.96224	0.47408	0.37207	-1.17260	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.17600	1.96835	1.96246	0.47455	0.37125	-1.17260	-90.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.17800	1.96866	1.96246	0.47435	0.37168	-1.17260	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.18000	1.96818	1.96358	0.47416	0.37117	-0.99220	-90.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.18200	1.96802	1.96490	0.47389	0.37086	-0.99220	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.18400	1.96759	1.96442	0.47414	0.37110	-0.99220	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.18600	1.96781	1.96346	0.47413	0.37203	-0.99220	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.18800	1.96870	1.96274	0.47420	0.37209	-0.90200	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.19000	1.97149	1.96325	0.47404	0.37223	-1.08240	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.19200	1.97049	1.96318	0.47427	0.37185	-1.26280	-90.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.19400	1.96803	1.96353	0.47434	0.37187	-1.17260	-90.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.19600	1.96863	1.96453	0.47416	0.37221	-1.08240	-90.18000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.19800	1.96813	1.96485	0.47432	0.37219	-1.08240	-90.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.20000	1.96827	1.96337	0.47450	0.37213	-0.99220	-90.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.20200	1.96864	1.96284	0.47434	0.37231	-0.99220	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.20400	1.96831	1.96298	0.47455	0.37190	-0.99220	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.20600	1.96823	1.96263	0.47437	0.37306	-1.08240	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.20800	1.96870	1.96234	0.47449	0.37316	-1.17260	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.21000	1.96691	1.96250	0.47437	0.37319	-1.08240	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.21200	1.96724	1.96412	0.47447	0.37311	-1.08240	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.21400	1.96835	1.96458	0.47439	0.37292	-1.08240	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.21600	1.96809	1.96337	0.47424	0.37180	-1.17260	-90.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.21800	1.96829	1.96234	0.47423	0.37116	-1.08240	-90.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.22000	1.96929	1.96362	0.47485	0.37147	-1.08240	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.22200	1.97040	1.96250	0.47452	0.37110	-1.08240	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.22400	1.96960	1.96265	0.47440	0.37136	-1.17260	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.22600	1.96865	1.96301	0.47408	0.37160	-1.08240	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.22800	1.96798	1.96498	0.47429	0.37147	-1.08240	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
