/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_freedecay
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	model centered in window 2; probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Tue 11 May 2021 01:46:50 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-1.96786	-1.96239	-0.38355	-0.37011	1.98440	-89.82000	0.00167	0.06899	-0.04387	-0.02759	0.00336	-0.02157
0.00200	-1.96786	-1.96239	-0.38355	-0.37011	1.98440	-89.82000	0.00167	0.06899	-0.04387	-0.02759	0.00336	-0.02157
0.00400	-1.96786	-1.96239	-0.38355	-0.37011	1.89420	-89.91000	0.00167	0.06899	-0.04387	-0.02759	0.00336	-0.02157
0.00600	-1.96786	-1.96239	-0.38355	-0.37011	1.89420	-89.91000	0.00167	0.06899	-0.04387	-0.02759	0.00336	-0.02157
0.00800	-1.96786	-1.96239	-0.38355	-0.37011	1.89420	-90.00000	0.00167	0.06899	-0.04387	-0.02759	0.00336	-0.02157
0.01000	0.00130	-0.00024	-0.00026	0.00167	1.89420	-90.00000	0.00167	0.06899	-0.04387	-0.02759	0.00336	-0.02157
0.01200	0.00130	-0.00024	-0.00026	0.00167	1.89420	-90.00000	-1.07693	0.11728	1.14434	-0.26702	0.31278	-0.04351
0.01400	0.00130	-0.00024	-0.00026	0.00167	1.89420	-90.00000	-1.07693	0.11728	1.14434	-0.26702	0.31278	-0.04351
0.01600	0.00130	-0.00024	-0.00026	0.00167	1.89420	-90.00000	-1.07693	0.11728	1.14434	-0.26702	0.31278	-0.04351
0.01800	0.00130	-0.00024	-0.00026	0.00167	1.89420	-90.00000	-1.07693	0.11728	1.14434	-0.26702	0.31278	-0.04351
0.02000	0.00130	-0.00024	-0.00026	0.00167	1.80400	-90.00000	-1.07693	0.11728	1.14434	-0.26702	0.31278	-0.04351
0.02200	0.00130	-0.00024	-0.00026	0.00167	1.71380	-90.00000	-1.07693	0.11728	1.14434	-0.26702	0.31278	-0.04351
0.02400	0.00130	-0.00024	-0.00026	0.00167	1.71380	-89.91000	-1.07693	0.11728	1.14434	-0.26702	0.31278	-0.04351
0.02600	0.00130	-0.00024	-0.00026	0.00167	1.71380	-89.91000	-1.07693	0.11728	1.14434	-0.26702	0.31278	-0.04351
0.02800	0.00130	-0.00024	-0.00026	0.00167	1.71380	-89.82000	-1.07693	0.11728	1.14434	-0.26702	0.31278	-0.04351
0.03000	0.00130	-0.00024	-0.00026	0.00167	1.80400	-89.91000	-1.07693	0.11728	1.14434	-0.26702	0.31278	-0.04351
0.03200	0.00130	-0.00024	-0.00026	0.00167	1.80400	-89.91000	-1.07693	0.11728	1.14434	-0.26702	0.31278	-0.04351
0.03400	0.00130	-0.00024	-0.00026	0.00167	1.89420	-89.91000	-1.07693	0.11728	1.14434	-0.26702	0.31278	-0.04351
0.03600	0.00130	-0.00024	-0.00026	0.00167	1.80400	-89.82000	-1.07693	0.11728	1.14434	-0.26702	0.31278	-0.04351
