/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_freedecay
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	model centered in window 2; probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Tue 11 May 2021 02:23:12 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-1.96821	-1.96216	-0.38335	-0.37157	9.74160	-89.46000	-0.03947	0.06384	-0.14154	-0.08312	0.00891	-0.02296
0.00200	-1.96821	-1.96216	-0.38335	-0.37157	9.74160	-89.46000	-0.03947	0.06384	-0.14154	-0.08312	0.00891	-0.02296
0.00400	-1.96821	-1.96216	-0.38335	-0.37157	9.74160	-89.46000	-0.03947	0.06384	-0.14154	-0.08312	0.00891	-0.02296
0.00600	-1.96821	-1.96216	-0.38335	-0.37157	0.00000	0.00000	-0.03947	0.06384	-0.14154	-0.08312	0.00891	-0.02296
0.00800	-1.96821	-1.96216	-0.38335	-0.37157	9.56120	-89.55000	-0.03947	0.06384	-0.14154	-0.08312	0.00891	-0.02296
0.01000	-0.00065	-0.00070	-0.00047	-0.00018	9.65140	-89.46000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.01200	-0.00065	-0.00070	-0.00047	-0.00018	9.65140	-89.37000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.01400	-0.00065	-0.00070	-0.00047	-0.00018	0.00000	0.00000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.01600	-0.00065	-0.00070	-0.00047	-0.00018	9.56120	-89.37000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.01800	-0.00065	-0.00070	-0.00047	-0.00018	0.00000	0.00000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.02000	-0.00065	-0.00070	-0.00047	-0.00018	0.00000	0.00000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.02200	-0.00065	-0.00070	-0.00047	-0.00018	9.65140	-89.46000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
