/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves2
* Project Lead:	JD
* Labview Operator:	JD+PH
* Comments:	naming convention: T(period in s)_A(actuator amp in mm)_B(beach pos in inches); refer to test matrix for target wave amplitude corresponding to the  set actuator amplitude; model centered in window 2; probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Wed 19 May 2021 05:56:54 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00001	-1.96557	-1.95929	-0.39086	-0.36747	-1.08240	-89.64000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.00200	0.00000	-1.96557	-1.95929	-0.39086	-0.36747	-1.08240	-89.64000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.00400	0.00000	-1.96557	-1.95929	-0.39086	-0.36747	0.00000	0.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.00600	0.01303	-0.00012	0.00245	0.00033	0.00312	-1.17260	-89.73000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.00800	0.01303	0.00112	0.00105	-0.00043	0.00208	-1.17260	-89.82000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.01000	0.01303	0.00230	0.00018	0.00107	0.00296	-1.08240	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.01200	0.01303	0.00156	0.00026	0.00311	0.00273	0.00000	0.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.01400	0.01303	0.00202	0.00028	0.00263	0.00342	-1.08240	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.01600	0.01312	0.00202	0.00028	0.00263	0.00342	0.00000	0.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.01800	0.01312	-0.00027	0.00127	0.00309	0.00289	-1.08240	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.02000	0.01312	0.00134	0.00194	0.00310	0.00354	-0.90200	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.02200	0.01312	0.00023	0.00138	0.00326	0.00370	-0.99220	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.02400	0.01312	0.00124	0.00054	0.00364	0.00362	-0.99220	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.02600	0.01349	-0.00009	0.00067	0.00345	0.00390	-1.08240	-89.82000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.02800	0.01349	0.00073	-0.00007	0.00349	0.00284	0.00000	0.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.03000	0.01349	0.00034	0.00032	0.00365	0.00308	-0.99220	-89.73000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.03200	0.01349	0.00052	0.00020	0.00385	0.00313	-0.90200	-89.82000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.03400	0.01349	0.00044	0.00252	0.00397	0.00320	-1.08240	-89.82000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.03600	0.01349	-0.00068	0.00334	0.00400	0.00262	-0.99220	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.03800	0.01386	0.00071	0.00116	0.00375	0.00229	-0.90200	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.04000	0.01386	-0.00017	0.00106	0.00329	0.00309	-1.08240	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.04200	0.01386	-0.00022	-0.00011	0.00284	0.00254	0.00000	0.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.04400	0.01386	0.00196	0.00040	0.00304	0.00281	-1.17260	-89.82000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.04600	0.01430	0.00316	-0.00044	0.00249	0.00268	-1.08240	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.04800	0.01430	0.00051	0.00010	0.00343	0.00439	-1.08240	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.05000	0.01430	0.00104	0.00397	0.00305	0.00308	0.00000	0.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.05200	0.01430	-0.00004	0.00216	0.00312	0.00314	-0.99220	-90.09000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.05400	0.01430	0.00044	0.00193	0.00324	0.00312	-0.99220	-90.09000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.05600	0.01456	0.00001	0.00163	0.00304	0.00270	-1.08240	-90.18000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.05800	0.01456	0.00161	-0.00015	0.00292	0.00253	0.00000	0.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.06000	0.01456	0.00056	0.00048	0.00358	0.00347	-1.08240	-90.09000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.06200	0.01456	0.00066	-0.00027	0.00329	0.00286	-1.08240	-90.09000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.06400	0.01456	0.00052	0.00056	0.00286	0.00306	-0.99220	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.06600	0.01456	-0.00095	0.00282	0.00263	0.00366	0.00000	0.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.06800	0.01491	0.00038	0.00290	0.00297	0.00529	-0.99220	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.07000	0.01491	-0.00005	0.00278	0.00220	0.00460	-0.99220	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.07200	0.01491	-0.00078	0.00010	0.00260	0.00450	-0.99220	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.07400	0.01491	-0.00028	0.00107	0.00255	0.00397	0.00000	0.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.07600	0.01533	0.00273	0.00023	0.00249	0.00379	-1.08240	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.07800	0.01533	0.00552	0.00048	0.00281	0.00211	-0.99220	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.08000	0.01533	0.00067	0.00148	0.00206	0.00288	-0.99220	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.08200	0.01533	0.00035	0.00294	0.00291	0.00273	0.00000	0.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.08400	0.01533	0.00011	0.00169	0.00265	0.00319	-1.08240	-90.00000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.08600	0.01561	-0.00002	0.00060	0.00294	0.00219	-1.08240	-89.91000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.08800	0.01561	0.00018	-0.00028	0.00265	0.00389	-1.08240	-89.82000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.09000	0.01561	-0.00004	-0.00018	0.00238	0.00374	-1.08240	-89.73000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.09200	0.01561	-0.00054	0.00001	0.00002	0.00349	-1.17260	-89.64000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.09400	0.01561	-0.00032	0.00079	0.00045	0.00334	-1.17260	-89.55000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.09600	0.01597	0.00051	-0.00006	0.00005	0.00315	-1.08240	-89.55000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
0.09800	0.01597	0.00080	0.00184	-0.00038	0.00195	-0.99220	-89.64000	-0.02600	0.03156	0.13011	-0.00583	-0.00405	-0.00206
