/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	naming convention: T(period in s)_A(actuator amp in mm)_B(beach pos in inches); refer to test matrix for target wave amplitude corresponding to the  set actuator amplitude; model centered in window 2; probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Tue 11 May 2021 02:39:18 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-0.00000	-1.96851	-1.96267	-0.38406	-0.37398	0.00000	0.00000	-0.03433	0.01343	0.14429	-0.05350	-0.01700	-0.00351
0.00200	-0.00000	-1.96851	-1.96267	-0.38406	-0.37398	-0.36080	-90.09000	-0.03433	0.01343	0.14429	-0.05350	-0.01700	-0.00351
0.00400	0.00000	-1.96851	-1.96267	-0.38406	-0.37398	-0.45100	-90.09000	-0.03433	0.01343	0.14429	-0.05350	-0.01700	-0.00351
0.00600	0.00000	-1.96851	-1.96267	-0.38406	-0.37398	0.00000	0.00000	-0.03433	0.01343	0.14429	-0.05350	-0.01700	-0.00351
0.00800	-0.00014	-1.96851	-1.96267	-0.38406	-0.37398	-0.36080	-90.00000	-0.03433	0.01343	0.14429	-0.05350	-0.01700	-0.00351
0.01000	-0.00014	-0.00079	0.00066	-0.00200	0.00125	-0.36080	-89.91000	-0.03433	0.01343	0.14429	-0.05350	-0.01700	-0.00351
0.01200	-0.00014	-0.00079	0.00066	-0.00200	0.00125	-0.36080	-89.91000	0.02777	-0.05864	0.29405	-0.04211	-0.01018	-0.00046
0.01400	-0.00014	-0.00079	0.00066	-0.00200	0.00125	-0.36080	-89.82000	0.02777	-0.05864	0.29405	-0.04211	-0.01018	-0.00046
0.01600	-0.00014	-0.00079	0.00066	-0.00200	0.00125	-0.36080	-89.91000	0.02777	-0.05864	0.29405	-0.04211	-0.01018	-0.00046
0.01800	-0.00015	-0.00079	0.00066	-0.00200	0.00125	-0.27060	-90.00000	0.02777	-0.05864	0.29405	-0.04211	-0.01018	-0.00046
0.02000	-0.00015	-0.00079	0.00066	-0.00200	0.00125	-0.36080	-90.00000	0.02777	-0.05864	0.29405	-0.04211	-0.01018	-0.00046
0.02200	-0.00015	-0.00079	0.00066	-0.00200	0.00125	-0.45100	-90.00000	0.02777	-0.05864	0.29405	-0.04211	-0.01018	-0.00046
0.02400	-0.00015	-0.00079	0.00066	-0.00200	0.00125	-0.54120	-90.00000	0.02777	-0.05864	0.29405	-0.04211	-0.01018	-0.00046
0.02600	-0.00015	-0.00079	0.00066	-0.00200	0.00125	-0.45100	-90.00000	0.02777	-0.05864	0.29405	-0.04211	-0.01018	-0.00046
