/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves_column
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms; Kislter force (x,y,z) calibration: 1 V/N; Kislter moment (x,y,z) calibration: 1 V/Nm.
* Date and Time:	Fri 11 Jun 2021 12:47:43 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-1.96596	-1.95944	-0.47515	-0.36953	0.00000	0.00000	-0.01938	-0.27942	-0.40177	-0.04305	0.01792	-0.00932
0.00200	-1.96596	-1.95944	-0.47515	-0.36953	-0.36080	-89.91000	-0.01938	-0.27942	-0.40177	-0.04305	0.01792	-0.00932
0.00400	-1.96596	-1.95944	-0.47515	-0.36953	-0.27060	-89.91000	-0.01938	-0.27942	-0.40177	-0.04305	0.01792	-0.00932
0.00600	-1.96596	-1.95944	-0.47515	-0.36953	-0.27060	-89.91000	-0.01938	-0.27942	-0.40177	-0.04305	0.01792	-0.00932
0.00800	-1.96596	-1.95944	-0.47515	-0.36953	-0.27060	-89.91000	-0.01938	-0.27942	-0.40177	-0.04305	0.01792	-0.00932
0.01000	-0.00057	-0.00004	-0.00077	0.00003	-0.27060	-89.91000	-0.03435	-0.28632	-0.38206	-0.04586	0.04647	-0.01913
0.01200	-0.00057	-0.00004	-0.00077	0.00003	-0.27060	-89.91000	-0.03435	-0.28632	-0.38206	-0.04586	0.04647	-0.01913
0.01400	-0.00057	-0.00004	-0.00077	0.00003	-0.36080	-90.00000	-0.03435	-0.28632	-0.38206	-0.04586	0.04647	-0.01913
0.01600	-0.00057	-0.00004	-0.00077	0.00003	-0.27060	-89.91000	-0.03435	-0.28632	-0.38206	-0.04586	0.04647	-0.01913
0.01800	0.00079	0.00085	-0.00052	0.00066	-0.36080	-89.82000	-0.03435	-0.28632	-0.38206	-0.04586	0.04647	-0.01913
0.02000	0.00004	0.00002	-0.00052	0.00076	-0.36080	-90.00000	-0.04094	-0.28652	-0.38618	-0.04812	0.03280	-0.00525
0.02200	0.00004	0.00002	-0.00052	0.00076	-0.36080	-90.00000	-0.04094	-0.28652	-0.38618	-0.04812	0.03280	-0.00525
0.02400	0.00004	0.00002	-0.00052	0.00076	-0.27060	-90.00000	-0.04094	-0.28652	-0.38618	-0.04812	0.03280	-0.00525
0.02600	0.00004	0.00002	-0.00052	0.00076	-0.27060	-90.00000	-0.04094	-0.28652	-0.38618	-0.04812	0.03280	-0.00525
0.02800	-0.00010	0.00004	-0.00066	-0.00085	-0.27060	-90.00000	-0.06099	-0.28971	-0.39235	-0.04401	0.03341	-0.00699
0.03000	-0.00010	0.00004	-0.00066	-0.00085	-0.18040	-89.91000	-0.06099	-0.28971	-0.39235	-0.04401	0.03341	-0.00699
0.03200	-0.00010	0.00004	-0.00066	-0.00085	-0.27060	-89.91000	-0.06099	-0.28971	-0.39235	-0.04401	0.03341	-0.00699
0.03400	-0.00010	0.00004	-0.00066	-0.00085	-0.36080	-89.91000	-0.06099	-0.28971	-0.39235	-0.04401	0.03341	-0.00699
0.03600	0.53128	0.00041	-0.00072	-0.00076	-0.36080	-89.91000	-0.06099	-0.28971	-0.39235	-0.04401	0.03341	-0.00699
0.03800	0.53128	-0.00020	-0.00072	-0.00063	-0.27060	-89.91000	-0.04227	-0.27726	-0.39461	-0.04504	0.03629	-0.00813
0.04000	0.53128	-0.00020	-0.00072	-0.00063	-0.27060	-89.91000	-0.04227	-0.27726	-0.39461	-0.04504	0.03629	-0.00813
0.04200	0.53128	-0.00020	-0.00072	-0.00063	-0.27060	-90.09000	-0.04227	-0.27726	-0.39461	-0.04504	0.03629	-0.00813
0.04400	0.53128	-0.00020	-0.00072	-0.00063	-0.27060	-90.00000	-0.04227	-0.27726	-0.39461	-0.04504	0.03629	-0.00813
0.04600	0.53128	0.00106	-0.00057	-0.00054	-0.27060	-90.00000	-0.05709	-0.29023	-0.38021	-0.04144	0.02663	-0.00319
0.04800	0.53128	0.00106	-0.00057	-0.00054	-0.36080	-89.91000	-0.05709	-0.29023	-0.38021	-0.04144	0.02663	-0.00319
0.05000	0.53128	0.00106	-0.00057	-0.00054	-0.36080	-89.91000	-0.05709	-0.29023	-0.38021	-0.04144	0.02663	-0.00319
0.05200	0.53128	0.00106	-0.00057	-0.00054	-0.36080	-89.91000	-0.05709	-0.29023	-0.38021	-0.04144	0.02663	-0.00319
0.05400	0.53128	-0.00013	-0.00046	-0.00019	-0.27060	-90.00000	-0.02664	-0.28200	-0.39152	-0.04319	0.03300	-0.00669
0.05600	0.53128	-0.00013	-0.00046	-0.00019	-0.27060	-90.09000	-0.02664	-0.28200	-0.39152	-0.04319	0.03300	-0.00669
0.05800	0.53128	-0.00013	-0.00046	-0.00019	-0.36080	-90.00000	-0.02664	-0.28200	-0.39152	-0.04319	0.03300	-0.00669
0.06000	0.53128	-0.00013	-0.00046	-0.00019	-0.27060	-90.00000	-0.02664	-0.28200	-0.39152	-0.04319	0.03300	-0.00669
0.06200	0.41416	0.00130	-0.00085	0.00042	-0.36080	-90.00000	-0.05760	-0.28735	-0.38669	-0.03825	0.02776	-0.00854
0.06400	0.41416	0.00130	-0.00085	0.00042	-0.36080	-90.00000	-0.05760	-0.28735	-0.38669	-0.03825	0.02776	-0.00854
0.06600	0.41416	0.00130	-0.00085	0.00042	-0.36080	-90.00000	-0.05760	-0.28735	-0.38669	-0.03825	0.02776	-0.00854
0.06800	0.41416	0.00130	-0.00085	0.00042	-0.27060	-89.73000	-0.05760	-0.28735	-0.38669	-0.03825	0.02776	-0.00854
0.07000	-0.00089	-0.00006	-0.00080	0.00056	-0.27060	-89.73000	-0.04762	-0.28395	-0.38556	-0.04288	0.02827	-0.01708
0.07200	-0.00089	-0.00006	-0.00080	0.00056	-0.36080	-89.91000	-0.04762	-0.28395	-0.38556	-0.04288	0.02827	-0.01708
0.07400	-0.00089	-0.00006	-0.00080	0.00056	-0.45100	-90.00000	-0.04762	-0.28395	-0.38556	-0.04288	0.02827	-0.01708
0.07600	-0.00089	-0.00006	-0.00080	0.00056	-0.45100	-90.00000	-0.04762	-0.28395	-0.38556	-0.04288	0.02827	-0.01708
0.07800	0.00098	0.00069	-0.00093	-0.00102	-0.54120	-90.00000	-0.02901	-0.28107	-0.38628	-0.04206	0.02807	-0.00864
0.08000	0.00098	0.00069	-0.00093	-0.00102	-0.54120	-90.00000	-0.02901	-0.28107	-0.38628	-0.04206	0.02807	-0.00864
0.08200	0.00098	0.00069	-0.00093	-0.00102	-0.36080	-89.91000	-0.02901	-0.28107	-0.38628	-0.04206	0.02807	-0.00864
0.08400	0.00098	0.00069	-0.00093	-0.00102	-0.36080	-89.91000	-0.02901	-0.28107	-0.38628	-0.04206	0.02807	-0.00864
0.08600	-0.00012	-0.00028	-0.00065	-0.00023	-0.27060	-90.00000	-0.06367	-0.28724	-0.39553	-0.03959	0.02663	-0.00648
0.08800	-0.00012	-0.00028	-0.00065	-0.00023	-0.18040	-89.91000	-0.06367	-0.28724	-0.39553	-0.03959	0.02663	-0.00648
0.09000	-0.00012	-0.00028	-0.00065	-0.00023	-0.18040	-89.91000	-0.06367	-0.28724	-0.39553	-0.03959	0.02663	-0.00648
0.09200	-0.00012	-0.00028	-0.00065	-0.00023	-0.18040	-89.91000	-0.06367	-0.28724	-0.39553	-0.03959	0.02663	-0.00648
0.09400	-0.00040	0.00077	-0.00044	-0.00019	-0.27060	-89.91000	-0.03425	-0.27171	-0.39872	-0.04144	0.03002	-0.00391
0.09600	-0.00040	0.00077	-0.00044	-0.00019	-0.36080	-89.91000	-0.03425	-0.27171	-0.39872	-0.04144	0.03002	-0.00391
0.09800	-0.00040	0.00077	-0.00044	-0.00019	-0.36080	-89.91000	-0.03425	-0.27171	-0.39872	-0.04144	0.03002	-0.00391
0.10000	-0.00040	0.00077	-0.00044	-0.00019	-0.36080	-89.91000	-0.03425	-0.27171	-0.39872	-0.04144	0.03002	-0.00391
0.10200	-0.00043	-0.00027	-0.00041	0.00046	-0.36080	-89.91000	-0.05739	-0.28971	-0.39152	-0.04360	0.03002	-0.00751
0.10400	-0.00043	-0.00027	-0.00041	0.00046	-0.36080	-90.00000	-0.05739	-0.28971	-0.39152	-0.04360	0.03002	-0.00751
0.10600	-0.00043	-0.00027	-0.00041	0.00046	-0.18040	-90.00000	-0.05739	-0.28971	-0.39152	-0.04360	0.03002	-0.00751
0.10800	-0.00043	-0.00027	-0.00041	0.00046	-0.18040	-90.00000	-0.05739	-0.28971	-0.39152	-0.04360	0.03002	-0.00751
0.11000	0.00104	0.00077	-0.00061	0.00051	-0.18040	-90.00000	-0.04670	-0.28910	-0.39029	-0.04278	0.03259	-0.00566
0.11200	0.00104	0.00077	-0.00061	0.00051	-0.27060	-90.00000	-0.04670	-0.28910	-0.39029	-0.04278	0.03259	-0.00566
0.11400	0.00104	0.00077	-0.00061	0.00051	-0.27060	-90.00000	-0.04670	-0.28910	-0.39029	-0.04278	0.03259	-0.00566
0.11600	0.00104	0.00077	-0.00061	0.00051	-0.27060	-89.91000	-0.04670	-0.28910	-0.39029	-0.04278	0.03259	-0.00566
0.11800	-0.00026	-0.00028	-0.00068	-0.00015	-0.36080	-89.91000	-0.02931	-0.28241	-0.38083	-0.04175	0.03002	-0.01152
0.12000	-0.00026	-0.00028	-0.00068	-0.00015	-0.36080	-89.91000	-0.02931	-0.28241	-0.38083	-0.04175	0.03002	-0.01152
0.12200	-0.00026	-0.00028	-0.00068	-0.00015	-0.36080	-89.91000	-0.02931	-0.28241	-0.38083	-0.04175	0.03002	-0.01152
0.12400	-0.00026	-0.00028	-0.00068	-0.00015	-0.36080	-89.91000	-0.02931	-0.28241	-0.38083	-0.04175	0.03002	-0.01152
0.12600	-0.00029	0.00107	-0.00065	-0.00058	-0.18040	-89.91000	-0.06501	-0.29095	-0.39039	-0.04144	0.02766	-0.00453
0.12800	-0.00029	0.00107	-0.00065	-0.00058	-0.18040	-89.91000	-0.06501	-0.29095	-0.39039	-0.04144	0.02766	-0.00453
0.13000	-0.00029	0.00107	-0.00065	-0.00058	-0.27060	-89.91000	-0.06501	-0.29095	-0.39039	-0.04144	0.02766	-0.00453
0.13200	-0.00029	0.00107	-0.00065	-0.00058	-0.36080	-89.82000	-0.06501	-0.29095	-0.39039	-0.04144	0.02766	-0.00453
0.13400	-0.00065	-0.00018	-0.00068	-0.00054	-0.45100	-89.82000	-0.06501	-0.29095	-0.39039	-0.04144	0.02766	-0.00453
0.13600	-0.00065	-0.00018	-0.00068	-0.00054	-0.45100	-89.82000	-0.02931	-0.26903	-0.38803	-0.04195	0.03321	-0.00957
0.13800	-0.00061	0.00200	-0.00102	-0.00061	-0.45100	-89.91000	-0.02931	-0.26903	-0.38803	-0.04195	0.03321	-0.00957
0.14000	-0.00061	0.00200	-0.00102	-0.00061	-0.36080	-89.91000	-0.02931	-0.26903	-0.38803	-0.04195	0.03321	-0.00957
0.14200	0.00057	-0.00017	-0.00063	-0.00031	-0.36080	-89.91000	-0.02726	-0.29198	-0.39697	-0.04175	0.02776	-0.00576
0.14400	0.00057	-0.00017	-0.00063	-0.00031	-0.36080	-89.82000	-0.02726	-0.29198	-0.39697	-0.04175	0.02776	-0.00576
0.14600	0.00057	-0.00017	-0.00063	-0.00031	-0.27060	-89.82000	-0.02726	-0.29198	-0.39697	-0.04175	0.02776	-0.00576
0.14800	0.00057	-0.00017	-0.00063	-0.00031	-0.18040	-89.91000	-0.02726	-0.29198	-0.39697	-0.04175	0.02776	-0.00576
0.15000	-0.00066	-0.00063	-0.00042	0.00020	-0.27060	-89.82000	-0.04629	-0.28519	-0.39378	-0.04216	0.01624	-0.00648
0.15200	-0.00066	-0.00063	-0.00042	0.00020	-0.27060	-89.91000	-0.04629	-0.28519	-0.39378	-0.04216	0.01624	-0.00648
0.15400	-0.00066	-0.00063	-0.00042	0.00020	-0.18040	-89.91000	-0.04629	-0.28519	-0.39378	-0.04216	0.01624	-0.00648
0.15600	-0.00066	-0.00063	-0.00042	0.00020	-0.18040	-89.91000	-0.04629	-0.28519	-0.39378	-0.04216	0.01624	-0.00648
0.15800	-0.00048	0.00111	-0.00063	0.00050	-0.27060	-90.00000	-0.01841	-0.27768	-0.40180	-0.04072	0.02581	-0.00411
0.16000	-0.00048	0.00111	-0.00063	0.00050	-0.27060	-90.09000	-0.01841	-0.27768	-0.40180	-0.04072	0.02581	-0.00411
0.16200	-0.00048	0.00111	-0.00063	0.00050	-0.27060	-90.09000	-0.01841	-0.27768	-0.40180	-0.04072	0.02581	-0.00411
0.16400	-0.00048	0.00111	-0.00063	0.00050	-0.36080	-90.00000	-0.01841	-0.27768	-0.40180	-0.04072	0.02581	-0.00411
0.16600	-0.00059	-0.00041	-0.00048	-0.00024	-0.36080	-90.00000	-0.05606	-0.29980	-0.39255	-0.04350	0.02910	-0.00761
0.16800	-0.00059	-0.00041	-0.00048	-0.00024	-0.27060	-90.09000	-0.05606	-0.29980	-0.39255	-0.04350	0.02910	-0.00761
0.17000	-0.00059	-0.00041	-0.00048	-0.00024	-0.36080	-90.00000	-0.05606	-0.29980	-0.39255	-0.04350	0.02910	-0.00761
0.17200	-0.00059	-0.00041	-0.00048	-0.00024	-0.27060	-90.09000	-0.05606	-0.29980	-0.39255	-0.04350	0.02910	-0.00761
0.17400	0.00149	0.00127	-0.00087	-0.00084	-0.27060	-90.09000	-0.03693	-0.27274	-0.39142	-0.03825	0.03393	-0.00278
0.17600	0.00149	0.00127	-0.00087	-0.00084	-0.36080	-90.00000	-0.03693	-0.27274	-0.39142	-0.03825	0.03393	-0.00278
0.17800	0.00149	0.00127	-0.00087	-0.00084	-0.27060	-90.00000	-0.03693	-0.27274	-0.39142	-0.03825	0.03393	-0.00278
0.18000	0.00149	0.00127	-0.00087	-0.00084	-0.27060	-90.09000	-0.03693	-0.27274	-0.39142	-0.03825	0.03393	-0.00278
0.18200	-0.00056	-0.00076	-0.00076	-0.00079	-0.27060	-90.09000	-0.04824	-0.28529	-0.38679	-0.04483	0.02714	-0.00566
0.18400	-0.00056	-0.00076	-0.00076	-0.00079	-0.36080	-89.91000	-0.04824	-0.28529	-0.38679	-0.04483	0.02714	-0.00566
0.18600	-0.00056	-0.00076	-0.00076	-0.00079	-0.36080	-89.91000	-0.04824	-0.28529	-0.38679	-0.04483	0.02714	-0.00566
0.18800	-0.00056	-0.00076	-0.00076	-0.00079	-0.36080	-89.82000	-0.04824	-0.28529	-0.38679	-0.04483	0.02714	-0.00566
0.19000	-0.00041	0.00098	-0.00059	-0.00003	-0.27060	-89.82000	-0.04824	-0.28529	-0.38679	-0.04483	0.02714	-0.00566
0.19200	-0.00060	-0.00068	-0.00087	0.00007	-0.27060	-89.91000	-0.05863	-0.29054	-0.39224	-0.04288	0.03239	-0.00679
0.19400	-0.00060	-0.00068	-0.00087	0.00007	-0.18040	-89.91000	-0.05863	-0.29054	-0.39224	-0.04288	0.03239	-0.00679
0.19600	-0.00060	-0.00068	-0.00087	0.00007	-0.27060	-90.00000	-0.05863	-0.29054	-0.39224	-0.04288	0.03239	-0.00679
0.19800	-0.00060	-0.00068	-0.00087	0.00007	-0.36080	-90.00000	-0.05863	-0.29054	-0.39224	-0.04288	0.03239	-0.00679
0.20000	-0.00050	0.00045	-0.00066	0.00019	-0.36080	-89.91000	-0.03446	-0.27284	-0.39224	-0.04216	0.02827	-0.00658
0.20200	-0.00050	0.00045	-0.00066	0.00019	-0.45100	-90.00000	-0.03446	-0.27284	-0.39224	-0.04216	0.02827	-0.00658
0.20400	-0.00050	0.00045	-0.00066	0.00019	-0.36080	-89.91000	-0.03446	-0.27284	-0.39224	-0.04216	0.02827	-0.00658
0.20600	-0.00050	0.00045	-0.00066	0.00019	-0.36080	-89.91000	-0.03446	-0.27284	-0.39224	-0.04216	0.02827	-0.00658
0.20800	0.00079	0.00015	-0.00066	0.00038	-0.27060	-89.91000	-0.05503	-0.29908	-0.38782	-0.04360	0.02724	-0.00504
0.21000	0.00079	0.00015	-0.00066	0.00038	-0.09020	-89.91000	-0.05503	-0.29908	-0.38782	-0.04360	0.02724	-0.00504
0.21200	0.00079	0.00015	-0.00066	0.00038	-0.27060	-89.91000	-0.05503	-0.29908	-0.38782	-0.04360	0.02724	-0.00504
0.21400	0.00079	0.00015	-0.00066	0.00038	-0.27060	-90.00000	-0.05503	-0.29908	-0.38782	-0.04360	0.02724	-0.00504
0.21600	-0.00005	0.00049	-0.00074	-0.00041	-0.36080	-90.00000	-0.01461	-0.28220	-0.38556	-0.03908	0.02982	-0.00658
0.21800	-0.00005	0.00049	-0.00074	-0.00041	-0.36080	-90.09000	-0.01461	-0.28220	-0.38556	-0.03908	0.02982	-0.00658
0.22000	-0.00005	0.00049	-0.00074	-0.00041	-0.27060	-90.00000	-0.01461	-0.28220	-0.38556	-0.03908	0.02982	-0.00658
0.22200	-0.00005	0.00049	-0.00074	-0.00041	-0.36080	-89.91000	-0.01461	-0.28220	-0.38556	-0.03908	0.02982	-0.00658
0.22400	-0.00071	-0.00010	-0.00038	-0.00073	-0.45100	-89.91000	-0.04464	-0.29126	-0.38895	-0.04535	0.02293	-0.00350
0.22600	0.00002	-0.00006	-0.00043	-0.00088	-0.54120	-89.91000	-0.04464	-0.29126	-0.38895	-0.04535	0.02293	-0.00350
0.22800	0.00002	-0.00006	-0.00043	-0.00088	-0.45100	-89.91000	-0.04464	-0.29126	-0.38895	-0.04535	0.02293	-0.00350
0.23000	0.00002	-0.00006	-0.00043	-0.00088	-0.36080	-89.91000	-0.04464	-0.29126	-0.38895	-0.04535	0.02293	-0.00350
0.23200	0.00002	-0.00006	-0.00043	-0.00088	-0.36080	-89.91000	-0.04464	-0.29126	-0.38895	-0.04535	0.02293	-0.00350
0.23400	0.00107	0.00002	-0.00066	-0.00067	-0.27060	-90.00000	-0.02705	-0.27706	-0.39317	-0.04062	0.02848	-0.00535
0.23600	0.00107	0.00002	-0.00066	-0.00067	-0.18040	-89.91000	-0.02705	-0.27706	-0.39317	-0.04062	0.02848	-0.00535
0.23800	0.00107	0.00002	-0.00066	-0.00067	-0.36080	-90.00000	-0.02705	-0.27706	-0.39317	-0.04062	0.02848	-0.00535
0.24000	0.00107	0.00002	-0.00066	-0.00067	-0.36080	-90.00000	-0.02705	-0.27706	-0.39317	-0.04062	0.02848	-0.00535
0.24200	-0.00005	-0.00046	-0.00076	0.00038	-0.36080	-90.00000	-0.02674	-0.29362	-0.38505	-0.04021	0.02467	-0.00535
0.24400	-0.00005	-0.00046	-0.00076	0.00038	-0.36080	-90.00000	-0.02674	-0.29362	-0.38505	-0.04021	0.02467	-0.00535
0.24600	-0.00005	-0.00046	-0.00076	0.00038	-0.36080	-90.00000	-0.02674	-0.29362	-0.38505	-0.04021	0.02467	-0.00535
0.24800	-0.00005	-0.00046	-0.00076	0.00038	-0.36080	-90.09000	-0.02674	-0.29362	-0.38505	-0.04021	0.02467	-0.00535
0.25000	-0.00098	0.00085	-0.00099	0.00079	-0.36080	-89.91000	-0.06645	-0.29774	-0.38258	-0.04504	0.02714	-0.01903
0.25200	-0.00098	0.00085	-0.00099	0.00079	-0.36080	-89.91000	-0.06645	-0.29774	-0.38258	-0.04504	0.02714	-0.01903
0.25400	-0.00098	0.00085	-0.00099	0.00079	-0.45100	-89.91000	-0.06645	-0.29774	-0.38258	-0.04504	0.02714	-0.01903
0.25600	-0.00098	0.00085	-0.00099	0.00079	-0.45100	-90.00000	-0.06645	-0.29774	-0.38258	-0.04504	0.02714	-0.01903
0.25800	-0.00043	0.00000	-0.00052	0.00013	-0.45100	-90.00000	-0.02211	-0.28179	-0.38813	-0.04555	0.02848	-0.00514
0.26000	-0.00043	0.00000	-0.00052	0.00013	-0.36080	-90.00000	-0.02211	-0.28179	-0.38813	-0.04555	0.02848	-0.00514
0.26200	-0.00043	0.00000	-0.00052	0.00013	-0.45100	-90.00000	-0.02211	-0.28179	-0.38813	-0.04555	0.02848	-0.00514
0.26400	-0.00043	0.00000	-0.00052	0.00013	-0.36080	-89.91000	-0.02211	-0.28179	-0.38813	-0.04555	0.02848	-0.00514
0.26600	0.00090	0.00106	-0.00092	-0.00045	-0.36080	-90.00000	-0.05081	-0.29784	-0.38433	-0.04062	0.02611	-0.00771
0.26800	0.00090	0.00106	-0.00092	-0.00045	-0.36080	-89.91000	-0.05081	-0.29784	-0.38433	-0.04062	0.02611	-0.00771
0.27000	0.00090	0.00106	-0.00092	-0.00045	-0.36080	-89.91000	-0.05081	-0.29784	-0.38433	-0.04062	0.02611	-0.00771
0.27200	0.00090	0.00106	-0.00092	-0.00045	-0.45100	-89.91000	-0.05081	-0.29784	-0.38433	-0.04062	0.02611	-0.00771
0.27400	0.00022	-0.00067	-0.00073	-0.00123	-0.36080	-90.00000	-0.02911	-0.28117	-0.38083	-0.04422	0.02344	-0.00720
0.27600	0.00022	-0.00067	-0.00073	-0.00123	-0.27060	-90.00000	-0.02911	-0.28117	-0.38083	-0.04422	0.02344	-0.00720
0.27800	0.00022	-0.00067	-0.00073	-0.00123	-0.27060	-89.82000	-0.02911	-0.28117	-0.38083	-0.04422	0.02344	-0.00720
0.28000	0.00022	-0.00067	-0.00073	-0.00123	-0.36080	-89.82000	-0.02911	-0.28117	-0.38083	-0.04422	0.02344	-0.00720
0.28200	-0.00049	0.00068	-0.00089	-0.00019	-0.36080	-89.91000	-0.02211	-0.27932	-0.39420	-0.03496	0.02344	-0.00555
0.28400	-0.00049	0.00068	-0.00089	-0.00019	-0.36080	-90.00000	-0.02211	-0.27932	-0.39420	-0.03496	0.02344	-0.00555
0.28600	-0.00049	0.00068	-0.00089	-0.00019	-0.27060	-90.00000	-0.02211	-0.27932	-0.39420	-0.03496	0.02344	-0.00555
0.28800	-0.00049	0.00068	-0.00089	-0.00019	-0.45100	-90.00000	-0.02211	-0.27932	-0.39420	-0.03496	0.02344	-0.00555
0.29000	-0.00066	-0.00011	-0.00059	0.00016	-0.36080	-89.91000	-0.04834	-0.29712	-0.38823	-0.04689	0.02324	-0.00710
0.29200	-0.00066	-0.00011	-0.00059	0.00016	-0.36080	-90.09000	-0.04834	-0.29712	-0.38823	-0.04689	0.02324	-0.00710
