/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves_column
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms; Kislter force (x,y,z) calibration: 1 V/N; Kislter moment (x,y,z) calibration: 1 V/Nm.
* Date and Time:	Fri 11 Jun 2021 01:08:46 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00000	-1.96596	-1.95944	-0.47515	-0.36953	-0.45100	-90.00000	0.00449	0.00813	-0.01508	-0.00500	0.00054	-0.00880
0.00200	0.00000	-1.96596	-1.95944	-0.47515	-0.36953	-0.45100	-90.00000	0.00449	0.00813	-0.01508	-0.00500	0.00054	-0.00880
0.00400	0.00000	-1.96596	-1.95944	-0.47515	-0.36953	-0.45100	-90.00000	0.00449	0.00813	-0.01508	-0.00500	0.00054	-0.00880
0.00600	0.00000	-1.96596	-1.95944	-0.47515	-0.36953	-0.45100	-89.91000	0.00449	0.00813	-0.01508	-0.00500	0.00054	-0.00880
0.00800	0.00000	-1.96596	-1.95944	-0.47515	-0.36953	0.00000	0.00000	0.00449	0.00813	-0.01508	-0.00500	0.00054	-0.00880
0.01000	0.00000	0.00316	0.00006	-0.00027	0.00123	-0.36080	-89.91000	0.00449	0.00813	-0.01508	-0.00500	0.00054	-0.00880
0.01200	0.00000	0.00096	0.00038	-0.00076	0.00199	-0.45100	-89.64000	-0.14524	-0.09537	0.09079	-0.02982	0.03074	-0.00638
0.01400	0.00187	0.00096	0.00038	-0.00076	0.00199	-0.45100	-89.64000	-0.14524	-0.09537	0.09079	-0.02982	0.03074	-0.00638
0.01600	0.00187	0.00096	0.00038	-0.00076	0.00199	0.00000	0.00000	-0.14524	-0.09537	0.09079	-0.02982	0.03074	-0.00638
0.01800	0.00187	0.00096	0.00038	-0.00076	0.00199	-0.54120	-89.64000	-0.14524	-0.09537	0.09079	-0.02982	0.03074	-0.00638
0.02000	0.00187	0.00110	0.00108	-0.00070	0.00195	-0.45100	-89.82000	-0.23390	-0.10278	0.23031	-0.03291	0.02838	-0.01090
0.02200	0.00187	0.00110	0.00108	-0.00070	0.00195	0.00000	0.00000	-0.23390	-0.10278	0.23031	-0.03291	0.02838	-0.01090
0.02400	0.00177	0.00110	0.00108	-0.00070	0.00195	0.00000	0.00000	-0.23390	-0.10278	0.23031	-0.03291	0.02838	-0.01090
0.02600	0.00177	0.00110	0.00108	-0.00070	0.00195	-0.36080	-90.00000	-0.23390	-0.10278	0.23031	-0.03291	0.02838	-0.01090
