/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves_column
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms; Kistler force (x,y,z) calibration: 1 V/N; Kistler moment (x,y,z) calibration: 1 V/Nm.
* Date and Time:	Fri 11 Jun 2021 02:50:02 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00002	-1.96852	-1.96163	-0.47494	-0.36872	-0.18040	-89.91000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.00200	0.00002	-1.96852	-1.96163	-0.47494	-0.36872	-0.18040	-89.91000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.00400	0.00000	-1.96852	-1.96163	-0.47494	-0.36872	-0.36080	-90.00000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.00600	0.00000	-1.96852	-1.96163	-0.47494	-0.36872	-0.36080	-90.00000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.00800	0.00000	-1.96852	-1.96163	-0.47494	-0.36872	-0.36080	-90.00000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.01000	0.00000	0.00116	0.00017	-0.00123	0.00313	-0.45100	-90.09000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.01200	0.00202	0.00116	0.00017	-0.00123	0.00313	-0.45100	-90.09000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.01400	0.00202	0.00030	0.00061	-0.00092	0.00279	-0.36080	-90.00000	0.00278	-0.05998	-0.09089	0.01398	0.03609	0.00411
0.01600	0.00202	0.00030	0.00061	-0.00092	0.00279	-0.36080	-90.00000	0.00278	-0.05998	-0.09089	0.01398	0.03609	0.00411
0.01800	0.00202	0.00030	0.00061	-0.00092	0.00279	-0.36080	-90.00000	0.00278	-0.05998	-0.09089	0.01398	0.03609	0.00411
0.02000	0.00202	0.00030	0.00061	-0.00092	0.00279	-0.36080	-90.09000	0.00278	-0.05998	-0.09089	0.01398	0.03609	0.00411
0.02200	0.00196	-0.00037	0.00178	0.00029	0.00286	-0.27060	-89.91000	-0.07252	-0.10597	0.06848	-0.03414	0.04873	0.00206
0.02400	0.00196	-0.00037	0.00178	0.00029	0.00286	-0.45100	-89.91000	-0.07252	-0.10597	0.06848	-0.03414	0.04873	0.00206
0.02600	0.00196	-0.00037	0.00178	0.00029	0.00286	-0.45100	-90.00000	-0.07252	-0.10597	0.06848	-0.03414	0.04873	0.00206
0.02800	0.00196	-0.00037	0.00178	0.00029	0.00286	-0.36080	-89.82000	-0.07252	-0.10597	0.06848	-0.03414	0.04873	0.00206
0.03000	0.00196	0.00018	0.00052	0.00001	0.00247	-0.36080	-89.82000	-0.07252	-0.10597	0.06848	-0.02149	0.03547	0.00339
