/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves_column
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms; Kislter force (x,y,z) calibration: 1 V/N; Kislter moment (x,y,z) calibration: 1 V/Nm.
* Date and Time:	Fri 11 Jun 2021 01:19:49 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00002	-1.96596	-1.95944	-0.47515	-0.36953	0.00000	0.00000	0.00449	0.00813	-0.01508	-0.00500	0.00054	-0.00880
0.00200	0.00000	-1.96596	-1.95944	-0.47515	-0.36953	-0.45100	-90.00000	0.00449	0.00813	-0.01508	-0.00500	0.00054	-0.00880
0.00400	0.00000	-1.96596	-1.95944	-0.47515	-0.36953	0.00000	0.00000	0.00449	0.00813	-0.01508	-0.00500	0.00054	-0.00880
0.00600	0.00231	-1.96596	-1.95944	-0.47515	-0.36953	-0.45100	-89.91000	0.00449	0.00813	-0.01508	-0.00500	0.00054	-0.00880
0.00800	0.00231	-1.96596	-1.95944	-0.47515	-0.36953	-0.36080	-89.91000	0.00449	0.00813	-0.01508	-0.00500	0.00054	-0.00880
0.01000	0.00231	0.00228	0.00279	-0.00093	0.00231	-0.36080	-89.82000	0.08702	0.07696	-0.00339	-0.00771	0.01532	-0.03230
0.01200	0.00231	0.00228	0.00279	-0.00093	0.00231	-0.36080	-89.82000	0.08702	0.07696	-0.00339	-0.00771	0.01532	-0.03230
0.01400	0.00231	0.00228	0.00279	-0.00093	0.00231	-0.27060	-89.82000	0.08702	0.07696	-0.00339	-0.00771	0.01532	-0.03230
0.01600	0.00231	0.00228	0.00279	-0.00093	0.00231	-0.27060	-89.91000	0.08702	0.07696	-0.00339	-0.00771	0.01532	-0.03230
0.01800	0.00231	0.00228	0.00223	-0.00026	0.00138	-0.27060	-89.91000	0.11109	0.05566	-0.05706	-0.00452	-0.01809	-0.01471
0.02000	0.00231	0.00185	0.00149	-0.00098	0.00172	-0.27060	-90.00000	0.11109	0.05566	-0.05706	-0.00452	-0.01809	-0.01471
0.02200	0.00231	0.00185	0.00149	-0.00098	0.00172	-0.27060	-89.91000	0.11109	0.05566	-0.05706	-0.00452	-0.01809	-0.01471
