/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves_column
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms; Kistler force (x,y,z) calibration: 2 V/N; Kistler moment (x,y,z) calibration: 2 V/Nm.
* Date and Time:	Fri 11 Jun 2021 01:55:39 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-1.96596	-1.95944	-0.47515	-0.36953	-0.36080	-90.00000	0.00224	0.00407	-0.00754	-0.00250	0.00027	-0.00440
0.00200	-1.96596	-1.95944	-0.47515	-0.36953	0.00000	0.00000	0.00224	0.00407	-0.00754	-0.00250	0.00027	-0.00440
0.00400	-1.96596	-1.95944	-0.47515	-0.36953	0.00000	0.00000	0.00224	0.00407	-0.00754	-0.00250	0.00027	-0.00440
0.00600	-1.96596	-1.95944	-0.47515	-0.36953	-0.36080	-89.91000	0.00224	0.00407	-0.00754	-0.00250	0.00027	-0.00440
0.00800	0.00246	0.00338	-0.00044	-0.00086	-0.27060	-89.91000	0.00224	0.00407	-0.00754	-0.00250	0.00027	-0.00440
0.01000	0.00246	0.00338	-0.00044	-0.00086	-0.36080	-89.91000	-0.18736	-0.01548	1.18069	-0.00015	0.00010	0.00396
0.01200	0.00246	0.00338	-0.00044	-0.00086	-0.36080	-90.00000	-0.18736	-0.01548	1.18069	-0.00015	0.00010	0.00396
0.01400	0.00246	0.00338	-0.00044	-0.00086	-0.27060	-89.91000	-0.18736	-0.01548	1.18069	-0.00015	0.00010	0.00396
0.01600	0.00246	0.00338	-0.00044	-0.00086	-0.18040	-89.82000	-0.18736	-0.01548	1.18069	-0.00015	0.00010	0.00396
0.01800	0.00333	0.00278	-0.00010	-0.00102	-0.27060	-90.00000	-0.18736	-0.01548	1.18069	-0.00015	0.00010	0.00396
0.02000	0.00544	0.00427	-0.00034	-0.00067	-0.36080	-90.00000	-0.18350	-0.01970	1.18804	0.00308	0.00170	-0.00098
0.02200	0.00544	0.00427	-0.00034	-0.00067	-0.27060	-90.00000	-0.18350	-0.01970	1.18804	0.00308	0.00170	-0.00098
0.02400	0.00544	0.00427	-0.00034	-0.00067	-0.27060	-90.00000	-0.18350	-0.01970	1.18804	0.00308	0.00170	-0.00098
0.02600	0.00544	0.00427	-0.00034	-0.00067	-0.27060	-90.00000	-0.18350	-0.01970	1.18804	0.00308	0.00170	-0.00098
0.02800	0.00346	0.00260	-0.00057	-0.00001	-0.27060	-89.91000	-0.17491	-0.01523	1.16460	0.00082	0.00478	-0.00175
0.03000	0.00346	0.00260	-0.00057	-0.00001	-0.27060	-89.91000	-0.17491	-0.01523	1.16460	0.00082	0.00478	-0.00175
0.03200	0.00346	0.00260	-0.00057	-0.00001	-0.27060	-89.91000	-0.17491	-0.01523	1.16460	0.00082	0.00478	-0.00175
0.03400	0.00346	0.00260	-0.00057	-0.00001	-0.27060	-90.00000	-0.17491	-0.01523	1.16460	0.00082	0.00478	-0.00175
0.03600	0.00238	0.00410	-0.00017	0.00016	-0.27060	-90.00000	-0.20561	-0.02068	1.15750	0.00098	0.00247	-0.00129
0.03800	0.00238	0.00410	-0.00017	0.00016	-0.27060	-90.00000	-0.20561	-0.02068	1.15750	0.00098	0.00247	-0.00129
0.04000	0.00238	0.00410	-0.00017	0.00016	-0.18040	-90.09000	-0.20561	-0.02068	1.15750	0.00098	0.00247	-0.00129
0.04200	0.00238	0.00410	-0.00017	0.00016	-0.18040	-89.91000	-0.20561	-0.02068	1.15750	0.00098	0.00247	-0.00129
0.04400	0.00261	0.00305	-0.00010	0.00029	-0.18040	-89.82000	-0.16473	-0.00298	1.16825	0.00545	0.00679	0.00123
