/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves_column
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms; Kistler force (x,y,z) calibration: 1 V/N; Kistler moment (x,y,z) calibration: 1 V/Nm.
* Date and Time:	Fri 11 Jun 2021 03:07:16 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00001	-1.96852	-1.96163	-0.47494	-0.36872	-0.27060	-90.00000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.00200	0.00000	-1.96852	-1.96163	-0.47494	-0.36872	-0.27060	-90.00000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.00400	0.00000	-1.96852	-1.96163	-0.47494	-0.36872	-0.36080	-90.09000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.00600	0.00000	-1.96852	-1.96163	-0.47494	-0.36872	-0.27060	-90.00000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.00800	0.00000	-1.96852	-1.96163	-0.47494	-0.36872	-0.36080	-90.00000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.01000	0.00446	-0.00091	0.00154	-0.00037	0.00267	-0.36080	-90.00000	-0.14174	-0.09146	0.04267	-0.03404	-0.04709	0.00154
0.01200	0.00446	-0.00091	0.00154	-0.00037	0.00267	-0.36080	-90.18000	-0.14174	-0.09146	0.04267	-0.03404	-0.04709	0.00154
0.01400	0.00446	-0.00091	0.00154	-0.00037	0.00267	-0.45100	-90.09000	-0.14174	-0.09146	0.04267	-0.03404	-0.04709	0.00154
0.01600	0.00446	-0.00091	0.00154	-0.00037	0.00267	-0.45100	-90.09000	-0.14174	-0.09146	0.04267	-0.03404	-0.04709	0.00154
0.01800	0.00446	0.00076	0.00037	-0.00099	0.00288	-0.54120	-90.00000	-0.04875	-0.03827	0.03527	-0.01697	0.00051	0.00720
0.02000	0.00446	0.00076	0.00037	-0.00099	0.00288	-0.36080	-90.00000	-0.04875	-0.03827	0.03527	-0.01697	0.00051	0.00720
0.02200	0.00451	0.00076	0.00037	-0.00099	0.00288	-0.36080	-89.91000	-0.04875	-0.03827	0.03527	-0.01697	0.00051	0.00720
0.02400	0.00451	0.00076	0.00037	-0.00099	0.00288	-0.27060	-89.82000	-0.04875	-0.03827	0.03527	-0.01697	0.00051	0.00720
0.02600	0.00451	0.00037	0.00146	-0.00140	0.00211	-0.27060	-90.00000	0.07889	0.03251	0.04956	0.01563	-0.01367	0.00010
0.02800	0.00451	0.00037	0.00146	-0.00140	0.00211	-0.27060	-90.00000	0.07889	0.03251	0.04956	0.01563	-0.01367	0.00010
0.03000	0.00451	0.00037	0.00146	-0.00140	0.00211	-0.36080	-90.09000	0.07889	0.03251	0.04956	0.01563	-0.01367	0.00010
0.03200	0.00461	0.00037	0.00146	-0.00140	0.00211	-0.36080	-90.09000	0.07889	0.03251	0.04956	0.01563	-0.01367	0.00010
0.03400	0.00461	-0.00071	-0.00021	-0.00057	0.00210	-0.54120	-90.18000	0.07889	0.03251	0.04956	0.01563	-0.01367	0.00010
0.03600	0.00461	-0.00056	0.00023	-0.00075	0.00195	-0.45100	-90.00000	0.12024	-0.02356	-0.00216	0.00596	-0.03794	0.01049
0.03800	0.00461	-0.00056	0.00023	-0.00075	0.00195	-0.45100	-90.00000	0.12024	-0.02356	-0.00216	0.00596	-0.03794	0.01049
0.04000	0.00469	-0.00056	0.00023	-0.00075	0.00195	-0.45100	-90.00000	0.12024	-0.02356	-0.00216	0.00596	-0.03794	0.01049
0.04200	0.00469	-0.00056	0.00023	-0.00075	0.00195	-0.27060	-90.09000	0.12024	-0.02356	-0.00216	0.00596	-0.03794	0.01049
0.04400	0.00469	0.00013	0.00134	-0.00190	0.00251	-0.27060	-90.00000	0.04875	-0.14373	-0.02108	-0.03558	-0.02724	0.00679
0.04600	0.00469	0.00013	0.00134	-0.00190	0.00251	-0.36080	-90.00000	0.04875	-0.14373	-0.02108	-0.03558	-0.02724	0.00679
0.04800	0.00469	0.00013	0.00134	-0.00190	0.00251	-0.36080	-90.00000	0.04875	-0.14373	-0.02108	-0.03558	-0.02724	0.00679
0.05000	0.00475	0.00013	0.00134	-0.00190	0.00251	-0.36080	-90.00000	0.04875	-0.14373	-0.02108	-0.03558	-0.02724	0.00679
0.05200	0.00475	-0.00010	0.00039	-0.00165	0.00170	-0.36080	-90.00000	-0.14770	-0.15052	0.04123	-0.05584	0.01635	0.00874
0.05400	0.00475	-0.00010	0.00039	-0.00165	0.00170	-0.36080	-90.00000	-0.14770	-0.15052	0.04123	-0.05584	0.01635	0.00874
0.05600	0.00475	-0.00010	0.00039	-0.00165	0.00170	-0.36080	-89.91000	-0.14770	-0.15052	0.04123	-0.05584	0.01635	0.00874
0.05800	0.00475	-0.00010	0.00039	-0.00165	0.00170	-0.36080	-89.82000	-0.14770	-0.15052	0.04123	-0.05584	0.01635	0.00874
0.06000	0.00480	-0.00079	0.00145	-0.00221	0.00267	-0.27060	-89.73000	-0.18597	-0.21029	0.01522	-0.02766	0.02138	0.00041
0.06200	0.00480	-0.00079	0.00145	-0.00221	0.00267	-0.27060	-89.82000	-0.18597	-0.21029	0.01522	-0.02766	0.02138	0.00041
0.06400	0.00480	-0.00079	0.00145	-0.00221	0.00267	-0.36080	-89.91000	-0.18597	-0.21029	0.01522	-0.02766	0.02138	0.00041
