/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves_column_w_springs
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.
* Date and Time:	Thu 10 Jun 2021 08:22:55 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-1.96949	-1.96562	-0.47422	-0.36934	-0.36080	-89.82000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.00200	-1.96949	-1.96562	-0.47422	-0.36934	-0.36080	-89.82000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.00600	-0.00028	-0.00004	0.00028	0.00404	-0.45100	-89.82000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.00800	0.00079	0.00255	0.00009	0.00420	-0.45100	-89.91000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.01000	0.00272	0.00054	0.00027	0.00361	-0.54120	-89.82000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.01200	0.00272	0.00054	0.00027	0.00361	-0.36080	-89.91000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.01400	0.00091	0.00127	0.00031	0.00440	-0.27060	-89.82000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.01600	0.00038	-0.00015	0.00018	0.00434	-0.27060	-89.91000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.01800	-0.00044	0.00001	0.00026	0.00444	-0.27060	-89.82000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.02000	-0.00017	-0.00016	0.00115	0.00446	-0.36080	-89.91000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.02200	-0.00010	0.00172	-0.00037	0.00433	-0.36080	-89.91000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.02400	-0.00071	0.00130	0.00041	0.00447	-0.36080	-89.91000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.02600	0.00024	0.00111	0.00032	0.00329	-0.36080	-89.91000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.02800	0.00046	0.00074	0.00021	0.00369	-0.36080	-90.00000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.03000	-0.00004	0.00062	0.00044	0.00321	-0.45100	-90.00000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.03200	-0.00067	0.00010	-0.00063	0.00368	-0.45100	-90.00000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.03400	-0.00038	0.00009	0.00034	0.00330	-0.36080	-89.91000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.03600	0.00022	0.00052	0.00050	0.00378	-0.36080	-90.00000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.03800	-0.00039	0.00218	0.00040	0.00390	-0.36080	-89.91000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.04000	0.00082	0.00212	-0.00042	0.00382	-0.45100	-89.82000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.04200	0.00423	0.00061	-0.00011	0.00375	-0.45100	-89.82000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.04400	0.00102	0.00095	-0.00012	0.00369	-0.45100	-89.91000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.04600	0.00113	-0.00012	0.00055	0.00396	-0.45100	-89.91000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.04800	-0.00007	0.00004	0.00051	0.00383	-0.45100	-90.00000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.05000	0.00016	-0.00041	0.00037	0.00430	-0.45100	-90.00000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.05200	0.00055	0.00022	-0.00026	0.00533	-0.45100	-90.00000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.05400	-0.00050	0.00227	-0.00029	0.00400	-0.36080	-90.00000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.05600	0.00016	0.00272	0.00019	0.00454	-0.45100	-89.91000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.05800	0.00012	0.00051	0.00032	0.00454	-0.36080	-89.91000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.06000	-0.00095	-0.00013	0.00044	0.00475	-0.36080	-89.91000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.06200	0.00205	0.00037	0.00070	0.00483	-0.45100	-89.91000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.06400	-0.00048	-0.00004	0.00022	0.00497	-0.36080	-89.91000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.06600	-0.00046	0.00089	0.00025	0.00426	-0.36080	-90.00000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.06800	-0.00029	0.00043	0.00061	0.00398	-0.45100	-90.00000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.07000	-0.00033	0.00199	0.00016	0.00410	-0.36080	-90.00000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.07200	0.00254	0.00121	-0.00024	0.00361	-0.36080	-90.00000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.07400	0.00199	0.00005	0.00023	0.00401	-0.36080	-90.00000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.07600	0.00051	0.00049	0.00017	0.00355	-0.45100	-90.00000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.07800	0.00052	0.00039	0.00007	0.00405	-0.36080	-90.00000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.08000	0.00101	0.00117	0.00031	0.00369	-0.27060	-90.09000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.08200	-0.00033	-0.00027	0.00035	0.00348	-0.36080	-90.09000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.08400	-0.00018	0.00126	0.00031	0.00357	-0.45100	-90.00000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.08600	0.00007	0.00245	0.00043	0.00362	-0.45100	-89.91000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.08800	0.00017	0.00219	0.00027	0.00387	-0.45100	-90.09000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
0.09000	0.00046	0.00029	0.00045	0.00368	-0.36080	-90.00000	-0.00752	-0.02437	0.01306	-0.00451	-0.01534	-0.00666
