/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves_column_w_springs
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.
* Date and Time:	Thu 10 Jun 2021 08:23:45 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00000	-2.49724	-1.96531	-0.47436	-0.37345	0.00000	0.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.00200	0.00000	-2.49724	-1.96531	-0.47436	-0.37345	-0.45100	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.00400	0.00000	-2.49724	-1.96531	-0.47436	-0.37345	-0.45100	-89.82000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.00600	0.00000	-0.52808	0.00213	0.00079	0.00077	-0.54120	-89.82000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.00800	0.00146	-0.52844	0.00026	0.00132	0.00056	-0.36080	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01000	0.00146	-0.52676	0.00263	0.00035	0.00128	-0.36080	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01200	0.00146	-0.52742	-0.00063	0.00013	0.00117	-0.36080	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01400	0.00146	-0.52687	0.00149	0.00022	0.00127	-0.18040	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01600	0.00146	-0.52693	-0.00006	0.00040	0.00139	-0.09020	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01800	0.00140	-0.52694	0.00056	0.00089	0.00117	-0.09020	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
