/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves_column_w_springs
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.
* Date and Time:	Thu 10 Jun 2021 07:52:14 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-1.96949	-1.96562	-0.47422	-0.36934	-0.45100	-90.00000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.00200	-1.96949	-1.96562	-0.47422	-0.36934	-0.45100	-90.00000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.00400	-1.96949	-1.96562	-0.47422	-0.36934	-0.63140	-90.09000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.00600	-0.00077	0.00061	-0.00022	0.00061	-0.54120	-90.09000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.00800	-0.00017	0.00117	0.00032	-0.00005	-0.45100	-90.09000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.01000	0.00158	0.00245	-0.00016	0.00017	-0.45100	-90.09000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.01200	-0.00027	0.00144	-0.00036	0.00033	-0.45100	-90.00000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.01400	0.00176	0.00046	-0.00004	-0.00015	-0.45100	-90.00000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.01600	0.00297	-0.00005	-0.00027	0.00014	-0.36080	-90.00000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.01800	0.00044	0.00033	-0.00043	0.00009	-0.36080	-89.91000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.02000	0.00079	0.00048	0.00064	-0.00090	-0.27060	-89.91000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.02200	-0.00061	0.00090	-0.00030	0.00020	-0.27060	-89.91000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.02400	-0.00035	0.00178	-0.00011	0.00027	-0.36080	-89.91000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.02600	-0.00010	0.00224	-0.00045	0.00029	-0.45100	-89.91000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.02800	0.00061	0.00172	-0.00015	0.00038	-0.36080	-90.00000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.03000	0.00002	0.00015	-0.00022	0.00037	-0.36080	-90.00000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.03200	0.00073	0.00051	0.00021	0.00020	-0.27060	-90.00000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.03400	-0.00071	0.00082	-0.00020	0.00082	-0.36080	-90.00000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.03600	0.00040	-0.00021	0.00013	0.00053	-0.36080	-90.00000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.03800	-0.00101	0.00038	0.00000	0.00077	-0.36080	-90.00000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.04000	-0.00119	0.00477	-0.00026	0.00058	-0.36080	-90.00000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.04200	0.00012	0.00177	0.00035	0.00031	-0.36080	-89.91000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.04400	-0.00032	0.00124	-0.00032	0.00097	-0.36080	-89.91000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.04600	0.00286	0.00016	-0.00002	0.00067	-0.36080	-89.91000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.04800	0.00221	-0.00009	-0.00026	0.00072	-0.36080	-89.91000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.05000	0.00021	0.00094	-0.00032	0.00144	-0.45100	-90.00000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.05200	-0.00011	-0.00021	-0.00017	0.00131	-0.45100	-89.91000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.05400	0.00043	0.00010	0.00014	0.00016	-0.36080	-90.00000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.05600	0.00098	0.00243	0.00044	-0.00024	-0.36080	-90.09000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.05800	-0.00100	0.00240	-0.00039	0.00044	-0.45100	-90.00000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.06000	-0.00039	0.00037	0.00022	0.00006	-0.45100	-89.91000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.06200	-0.00039	0.00069	0.00011	0.00021	-0.36080	-89.73000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.06400	-0.00039	0.00110	0.00005	0.00035	-0.36080	-89.82000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.06600	0.00030	-0.00060	0.00040	-0.00020	-0.27060	-89.73000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.06800	-0.00124	0.00028	-0.00016	0.00012	-0.36080	-89.82000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.07000	0.00041	0.00056	-0.00011	0.00005	-0.45100	-89.82000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.07200	-0.00038	0.00308	-0.00029	-0.00002	-0.54120	-89.73000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.07400	0.00050	0.00102	-0.00007	-0.00019	-0.54120	-89.82000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.07600	0.00110	0.00084	-0.00039	0.00036	-0.45100	-89.82000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.07800	0.00271	-0.00011	-0.00027	0.00025	-0.54120	-89.82000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.08000	0.00137	0.00099	-0.00051	0.00017	-0.54120	-89.73000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.08200	0.00038	0.00013	0.00011	0.00048	-0.54120	-89.82000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.08400	0.00004	0.00034	0.00026	0.00072	-0.36080	-89.91000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.08600	-0.00012	0.00138	0.00034	0.00065	-0.36080	-89.91000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.08800	0.00021	0.00151	0.00011	0.00025	-0.27060	-89.91000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.09000	0.00095	0.00297	-0.00020	0.00045	-0.27060	-89.91000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
0.09200	-0.00017	0.00146	-0.00087	0.00055	-0.18040	-89.91000	-0.02668	-0.02839	0.35855	-0.00675	0.00496	0.00148
