/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves_column_w_springs
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.
* Date and Time:	Thu 10 Jun 2021 08:48:27 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00002	-2.49724	-1.96531	-0.47436	-0.37345	-0.27060	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.00200	0.00000	-2.49724	-1.96531	-0.47436	-0.37345	-0.27060	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.00400	0.00000	-2.49724	-1.96531	-0.47436	-0.37345	-0.36080	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.00600	0.00000	-0.52796	0.00172	0.00062	-0.00133	-0.36080	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.00800	0.00000	-0.52694	0.00340	0.00012	-0.00124	-0.36080	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01000	0.00170	-0.52787	0.00223	0.00057	-0.00192	-0.54120	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01200	0.00170	-0.52818	0.00134	0.00008	-0.00125	-0.45100	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01400	0.00170	-0.52865	0.00113	-0.00034	-0.00196	-0.45100	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01600	0.00170	-0.52690	0.00021	-0.00002	-0.00185	-0.54120	-90.18000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01800	0.00170	-0.52625	-0.00074	0.00002	-0.00183	-0.54120	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.02000	0.00164	-0.52625	-0.00074	0.00002	-0.00183	-0.63140	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.02200	0.00164	-0.52609	0.00382	0.00020	-0.00124	-0.54120	-90.18000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.02400	0.00164	-0.52609	0.00382	0.00020	-0.00124	-0.54120	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.02600	0.00164	-0.52819	0.00041	-0.00006	-0.00125	-0.54120	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.02800	0.00164	-0.52735	-0.00021	0.00046	-0.00079	-0.54120	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.03000	0.00155	-0.52758	0.00056	-0.00002	-0.00082	-0.36080	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.03200	0.00155	-0.52804	0.00035	-0.00046	0.00118	-0.27060	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.03400	0.00155	-0.52725	0.00118	0.00064	-0.00026	-0.18040	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.03600	0.00155	-0.52798	0.00119	0.00040	0.00001	-0.18040	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.03800	0.00155	-0.52732	0.00317	0.00031	-0.00007	-0.18040	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.04000	0.00145	-0.52709	0.00260	-0.00015	-0.00029	-0.18040	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.04200	0.00145	-0.52800	-0.00017	0.00014	-0.00063	0.00000	0.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.04400	0.00145	-0.52781	0.00038	0.00056	-0.00073	-0.27060	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.04600	0.00145	-0.52785	0.00013	0.00023	-0.00004	-0.18040	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.04800	0.00145	-0.52460	0.00085	0.00078	-0.00059	-0.18040	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.05000	0.00132	-0.52390	0.00100	0.00084	-0.00058	-0.18040	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.05200	0.00132	-0.52702	0.00213	-0.00027	-0.00108	-0.18040	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.05400	0.00132	-0.52780	0.00385	-0.00020	-0.00138	-0.18040	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.05600	0.00132	-0.52872	0.00223	-0.00084	-0.00190	-0.18040	-89.82000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.05800	0.00132	-0.52832	0.00067	0.00005	-0.00143	-0.27060	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.06000	0.00122	-0.52860	-0.00016	-0.00029	-0.00124	-0.27060	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.06200	0.00122	-0.52761	-0.00096	0.00012	-0.00128	-0.36080	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.06400	0.00122	-0.52926	-0.00263	0.00140	-0.00046	-0.36080	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.06600	0.00122	-0.52759	-0.00091	0.00064	-0.00052	-0.36080	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.06800	0.00122	-0.52781	0.00158	0.00067	-0.00049	-0.45100	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.07000	0.00108	-0.52742	0.00255	0.00116	0.00029	-0.63140	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.07200	0.00108	-0.52732	0.00163	0.00218	-0.00029	-0.63140	-89.73000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
