/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves_column_w_springs
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.
* Date and Time:	Fri 11 Jun 2021 10:05:25 AM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00200	0.00000	0.00000	0.00000	0.00000	-0.36080	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00400	0.00000	0.00000	0.00000	0.00000	-0.36080	-90.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00600	0.00000	0.00000	0.00000	0.00000	-0.36080	-90.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00800	0.00000	0.00000	0.00000	0.00000	-0.45100	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.01000	1.96386	1.96019	0.47352	0.36817	-0.36080	-89.91000	-0.02177	-0.00031	-0.03386	0.00017	0.00861	0.00099
0.01200	1.96386	1.96019	0.47352	0.36817	-0.45100	-89.91000	-0.02177	-0.00031	-0.03386	0.00017	0.00861	0.00099
0.01400	1.96386	1.96019	0.47352	0.36817	-0.54120	-90.00000	-0.02177	-0.00031	-0.03386	0.00017	0.00861	0.00099
0.01600	1.96386	1.96019	0.47352	0.36817	-0.45100	-90.09000	-0.02177	-0.00031	-0.03386	0.00017	0.00861	0.00099
0.01800	1.96430	1.96079	0.47339	0.36872	-0.54120	-90.09000	-0.01230	-0.00155	-0.01237	0.00572	0.00532	0.00284
0.02000	1.96430	1.96079	0.47339	0.36872	-0.54120	-90.00000	-0.01230	-0.00155	-0.01237	0.00572	0.00532	0.00284
0.02200	1.96430	1.96079	0.47339	0.36872	-0.54120	-90.00000	-0.01230	-0.00155	-0.01237	0.00572	0.00532	0.00284
0.02400	1.96430	1.96079	0.47339	0.36872	-0.54120	-89.91000	-0.01230	-0.00155	-0.01237	0.00572	0.00532	0.00284
0.02600	1.96531	1.96007	0.47341	0.36924	-0.54120	-89.82000	-0.01395	-0.00741	-0.03602	0.00428	0.00244	0.00273
0.02800	1.96531	1.96007	0.47341	0.36924	-0.63140	-89.82000	-0.01395	-0.00741	-0.03602	0.00428	0.00244	0.00273
0.03000	1.96531	1.96007	0.47341	0.36924	-0.54120	-89.91000	-0.01395	-0.00741	-0.03602	0.00428	0.00244	0.00273
0.03200	1.96531	1.96007	0.47341	0.36924	-0.45100	-89.82000	-0.01395	-0.00741	-0.03602	0.00428	0.00244	0.00273
0.03400	1.96430	1.96083	0.47321	0.36828	-0.45100	-89.82000	-0.00644	0.00030	-0.00260	0.00274	0.00871	-0.00087
0.03600	1.96430	1.96083	0.47321	0.36828	-0.45100	-89.91000	-0.00644	0.00030	-0.00260	0.00274	0.00871	-0.00087
0.03800	1.96430	1.96083	0.47321	0.36828	-0.45100	-89.91000	-0.00644	0.00030	-0.00260	0.00274	0.00871	-0.00087
0.04000	1.96430	1.96083	0.47321	0.36828	-0.45100	-90.00000	-0.00644	0.00030	-0.00260	0.00274	0.00871	-0.00087
0.04200	1.96442	1.95977	0.47314	0.36778	-0.45100	-90.09000	-0.00932	-0.00618	-0.01700	-0.00076	0.00193	0.00201
0.04400	1.96442	1.95977	0.47314	0.36778	-0.45100	-90.09000	-0.00932	-0.00618	-0.01700	-0.00076	0.00193	0.00201
0.04600	1.96442	1.95977	0.47314	0.36778	-0.45100	-90.09000	-0.00932	-0.00618	-0.01700	-0.00076	0.00193	0.00201
0.04800	1.96442	1.95977	0.47314	0.36778	-0.45100	-89.91000	-0.00932	-0.00618	-0.01700	-0.00076	0.00193	0.00201
0.05000	1.96390	1.96094	0.47417	0.36769	-0.45100	-89.82000	-0.00963	0.00143	-0.02358	-0.00004	0.00491	0.00129
