/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves_column_w_springs
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.
* Date and Time:	Fri 11 Jun 2021 10:09:15 AM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00000	-1.96465	-1.96050	-0.47320	-0.36784	0.00000	0.00000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.00200	0.00000	-1.96465	-1.96050	-0.47320	-0.36784	-0.45100	-90.00000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.00400	0.00000	-1.96465	-1.96050	-0.47320	-0.36784	-0.45100	-90.09000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.00600	0.00000	-1.96465	-1.96050	-0.47320	-0.36784	-0.45100	-90.00000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.00800	0.00000	0.00433	0.00332	-0.00132	0.00305	-0.54120	-90.00000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.01000	0.00000	0.00433	0.00332	-0.00132	0.00305	-0.54120	-90.00000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.01200	0.00176	0.00433	0.00332	-0.00132	0.00305	-0.54120	-89.91000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.01400	0.00176	0.00433	0.00332	-0.00132	0.00305	-0.45100	-89.91000	0.02613	0.00103	-0.00000	-0.00802	-0.02868	0.00638
0.01600	0.00176	0.00265	0.00289	0.00002	0.00243	-0.45100	-89.82000	0.02613	0.00103	-0.00000	-0.00802	-0.02868	0.00638
0.01800	0.00176	0.00265	0.00289	0.00002	0.00243	-0.45100	-89.82000	0.02232	0.01872	0.04863	0.01039	-0.03650	0.00051
0.02000	0.00176	0.00265	0.00289	0.00002	0.00243	-0.54120	-89.82000	0.02232	0.01872	0.04863	0.01039	-0.03650	0.00051
0.02200	0.00169	0.00265	0.00289	0.00002	0.00243	-0.54120	-89.82000	0.02232	0.01872	0.04863	0.01039	-0.03650	0.00051
0.02400	0.00169	0.00200	0.00256	0.00056	0.00265	-0.54120	-89.91000	0.02232	0.01872	0.04863	0.01039	-0.03650	0.00051
0.02600	0.00169	0.00249	0.00197	0.00042	0.00237	-0.54120	-90.00000	0.04587	-0.00123	0.03969	-0.00062	-0.04369	0.00813
0.02800	0.00169	0.00249	0.00197	0.00042	0.00237	-0.63140	-90.00000	0.04587	-0.00123	0.03969	-0.00062	-0.04369	0.00813
0.03000	0.00169	0.00249	0.00197	0.00042	0.00237	-0.54120	-90.00000	0.04587	-0.00123	0.03969	-0.00062	-0.04369	0.00813
0.03200	0.00160	0.00249	0.00197	0.00042	0.00237	-0.54120	-90.00000	0.04587	-0.00123	0.03969	-0.00062	-0.04369	0.00813
0.03400	0.00160	0.00245	0.00219	0.00025	0.00252	-0.54120	-90.00000	0.06377	-0.04712	-0.00154	-0.01573	-0.04318	0.00195
0.03600	0.00160	0.00245	0.00219	0.00025	0.00252	-0.45100	-90.00000	0.06377	-0.04712	-0.00154	-0.01573	-0.04318	0.00195
0.03800	0.00160	0.00245	0.00219	0.00025	0.00252	-0.36080	-90.00000	0.06377	-0.04712	-0.00154	-0.01573	-0.04318	0.00195
0.04000	0.00160	0.00245	0.00219	0.00025	0.00252	-0.27060	-90.09000	0.06377	-0.04712	-0.00154	-0.01573	-0.04318	0.00195
0.04200	0.00151	0.00329	0.00352	-0.00027	0.00294	-0.27060	-90.09000	0.04423	-0.04743	0.04215	-0.01512	-0.03609	-0.00093
0.04400	0.00151	0.00334	0.00265	0.00050	0.00241	-0.27060	-90.09000	0.04423	-0.04743	0.04215	-0.01512	-0.03609	-0.00093
0.04600	0.00151	0.00334	0.00265	0.00050	0.00241	-0.36080	-89.91000	0.04423	-0.04743	0.04215	-0.01512	-0.03609	-0.00093
0.04800	0.00151	0.00334	0.00265	0.00050	0.00241	-0.36080	-89.82000	0.04423	-0.04743	0.04215	-0.01512	-0.03609	-0.00093
0.05000	0.00151	0.00334	0.00265	0.00050	0.00241	-0.36080	-89.91000	0.04423	-0.04743	0.04215	-0.01512	-0.03609	-0.00093
0.05200	0.00139	0.00208	0.00185	-0.00031	0.00272	-0.45100	-89.82000	0.04423	-0.04743	0.04215	-0.01512	-0.03609	-0.00093
0.05400	0.00139	0.00206	0.00343	-0.00004	0.00246	-0.36080	-89.82000	0.00823	-0.03302	0.00350	-0.01152	-0.01737	-0.00010
0.05600	0.00139	0.00206	0.00343	-0.00004	0.00246	-0.45100	-89.73000	0.00823	-0.03302	0.00350	-0.01152	-0.01737	-0.00010
0.05800	0.00139	0.00206	0.00343	-0.00004	0.00246	-0.54120	-89.82000	0.00823	-0.03302	0.00350	-0.01152	-0.01737	-0.00010
0.06000	0.00139	0.00206	0.00343	-0.00004	0.00246	-0.54120	-89.91000	0.00823	-0.03302	0.00350	-0.01152	-0.01737	-0.00010
0.06200	0.00128	0.00210	0.00272	-0.00060	0.00257	-0.54120	-89.91000	0.00175	-0.02284	0.05696	-0.00689	-0.01923	-0.00432
0.06400	0.00128	0.00210	0.00272	-0.00060	0.00257	-0.36080	-89.91000	0.00175	-0.02284	0.05696	-0.00689	-0.01923	-0.00432
0.06600	0.00128	0.00210	0.00272	-0.00060	0.00257	-0.54120	-90.00000	0.00175	-0.02284	0.05696	-0.00689	-0.01923	-0.00432
0.06800	0.00128	0.00210	0.00272	-0.00060	0.00257	-0.54120	-90.00000	0.00175	-0.02284	0.05696	-0.00689	-0.01923	-0.00432
