/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves_column_w_springs
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.
* Date and Time:	Thu 10 Jun 2021 09:31:24 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00001	-2.49724	-1.96531	-0.47436	-0.37345	-0.45100	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.00200	0.00000	-2.49724	-1.96531	-0.47436	-0.37345	-0.45100	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.00400	0.00000	-2.49724	-1.96531	-0.47436	-0.37345	-0.63140	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.00600	0.00000	-0.52931	-0.00151	-0.00059	-0.00079	-0.45100	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.00800	0.00000	-0.52825	0.00043	-0.00083	-0.00089	-0.36080	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01000	0.00000	-0.52772	-0.00099	0.00074	-0.00143	-0.36080	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01200	0.00728	-0.52811	-0.00040	0.00020	-0.00100	-0.36080	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01400	0.00728	-0.52930	0.00183	-0.00023	-0.00181	-0.36080	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01600	0.00728	-0.52886	0.00028	0.00026	-0.00267	-0.45100	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.01800	0.00728	-0.52560	-0.00273	0.00037	-0.00149	-0.45100	-89.91000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.02000	0.00732	-0.52560	-0.00273	0.00037	-0.00149	-0.45100	-90.00000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.02200	0.00732	-0.52786	-0.00122	0.00217	-0.00073	-0.54120	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.02400	0.00732	-0.52847	0.00000	0.00203	-0.00064	-0.54120	-90.09000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
0.02600	0.00732	-0.52788	-0.00002	0.00262	-0.00143	-0.45100	-90.18000	-0.00228	-0.00708	-0.00607	-0.01685	-0.01287	-0.00759
