/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	naming convention: T(period in s)_A(actuator amp in mm)_B(beach pos in inches); refer to test matrix for target wave amplitude corresponding to the  set actuator amplitude; model centered in window 2; probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Tue 11 May 2021 03:27:04 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00002	-1.96717	-1.96374	-0.38195	-0.37139	-0.36080	-90.09000	-0.15879	0.04532	-0.41195	-0.00908	-0.03319	-0.00166
0.00200	0.00000	-1.96717	-1.96374	-0.38195	-0.37139	-0.36080	-90.09000	-0.15879	0.04532	-0.41195	-0.00908	-0.03319	-0.00166
0.00400	0.00000	-1.96717	-1.96374	-0.38195	-0.37139	-0.18040	-90.09000	-0.15879	0.04532	-0.41195	-0.00908	-0.03319	-0.00166
0.00600	0.00000	-1.96717	-1.96374	-0.38195	-0.37139	-0.27060	-90.09000	-0.15879	0.04532	-0.41195	-0.00908	-0.03319	-0.00166
0.00800	0.00000	-1.96717	-1.96374	-0.38195	-0.37139	-0.45100	-90.18000	-0.15879	0.04532	-0.41195	-0.00908	-0.03319	-0.00166
0.01000	0.00000	0.00132	-0.00184	0.00001	0.00199	-0.36080	-90.00000	-0.15879	0.04532	-0.41195	-0.00908	-0.03319	-0.00166
0.01200	0.00000	0.00132	-0.00184	0.00001	0.00199	-0.36080	-90.00000	0.17589	-0.00823	-0.12852	0.00926	-0.06246	0.01528
0.01400	0.00153	0.00132	-0.00184	0.00001	0.00199	-0.36080	-89.91000	0.17589	-0.00823	-0.12852	0.00926	-0.06246	0.01528
0.01600	0.00153	0.00132	-0.00184	0.00001	0.00199	-0.27060	-89.73000	0.17589	-0.00823	-0.12852	0.00926	-0.06246	0.01528
0.01800	0.00153	0.00132	-0.00184	0.00001	0.00199	-0.36080	-89.82000	0.17589	-0.00823	-0.12852	0.00926	-0.06246	0.01528
0.02000	0.00153	0.00132	-0.00184	0.00001	0.00199	-0.36080	-89.82000	0.17589	-0.00823	-0.12852	0.00926	-0.06246	0.01528
0.02200	0.00153	0.00132	-0.00184	0.00001	0.00199	-0.36080	-89.73000	0.17589	-0.00823	-0.12852	0.00926	-0.06246	0.01528
0.02400	0.00153	0.00132	-0.00184	0.00001	0.00199	-0.36080	-89.73000	0.17589	-0.00823	-0.12852	0.00926	-0.06246	0.01528
0.02600	0.00141	0.00132	-0.00184	0.00001	0.00199	-0.36080	-89.82000	0.17589	-0.00823	-0.12852	0.00926	-0.06246	0.01528
0.02800	0.00141	0.00132	-0.00184	0.00001	0.00199	-0.27060	-89.82000	0.17589	-0.00823	-0.12852	0.00926	-0.06246	0.01528
0.03000	0.00141	0.00132	-0.00184	0.00001	0.00199	-0.18040	-89.82000	0.17589	-0.00823	-0.12852	0.00926	-0.06246	0.01528
0.03200	0.00141	0.00132	-0.00184	0.00001	0.00199	-0.27060	-89.73000	0.17589	-0.00823	-0.12852	0.00926	-0.06246	0.01528
