/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	naming convention: T(period in s)_A(actuator amp in mm)_B(beach pos in inches); refer to test matrix for target wave amplitude corresponding to the  set actuator amplitude; model centered in window 2; probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Tue 11 May 2021 03:18:18 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00002	-1.96793	-1.96233	-0.38571	-0.37152	0.00000	0.00000	-0.06189	-0.00344	-0.08026	-0.00843	-0.01265	-0.01147
0.00200	0.00002	-1.96793	-1.96233	-0.38571	-0.37152	-0.45100	-89.91000	-0.06189	-0.00344	-0.08026	-0.00843	-0.01265	-0.01147
0.00400	0.00000	-1.96793	-1.96233	-0.38571	-0.37152	0.00000	0.00000	-0.06189	-0.00344	-0.08026	-0.00843	-0.01265	-0.01147
0.00600	0.00153	-1.96793	-1.96233	-0.38571	-0.37152	-0.45100	-90.00000	-0.06189	-0.00344	-0.08026	-0.00843	-0.01265	-0.01147
0.00800	0.00153	-1.96793	-1.96233	-0.38571	-0.37152	-0.45100	-90.00000	-0.06189	-0.00344	-0.08026	-0.00843	-0.01265	-0.01147
0.01000	0.00153	0.00005	0.00003	-0.00307	0.00058	-0.36080	-89.91000	-0.06189	-0.00344	-0.08026	-0.00843	-0.01265	-0.01147
0.01200	0.00153	0.00005	0.00003	-0.00307	0.00058	-0.36080	-89.91000	0.19358	0.05000	-0.09706	0.06359	-0.00722	0.00639
0.01400	0.00153	0.00005	0.00003	-0.00307	0.00058	0.00000	0.00000	0.19358	0.05000	-0.09706	0.06359	-0.00722	0.00639
0.01600	0.00151	0.00005	0.00003	-0.00307	0.00058	-0.27060	-90.00000	0.19358	0.05000	-0.09706	0.06359	-0.00722	0.00639
0.01800	0.00151	0.00005	0.00003	-0.00307	0.00058	-0.18040	-89.91000	0.19358	0.05000	-0.09706	0.06359	-0.00722	0.00639
0.02000	0.00151	0.00005	0.00003	-0.00307	0.00058	-0.18040	-89.91000	0.19358	0.05000	-0.09706	0.06359	-0.00722	0.00639
0.02200	0.00151	0.00005	0.00003	-0.00307	0.00058	0.00000	0.00000	0.19358	0.05000	-0.09706	0.06359	-0.00722	0.00639
0.02400	0.00151	0.00005	0.00003	-0.00307	0.00058	-0.09020	-89.82000	0.19358	0.05000	-0.09706	0.06359	-0.00722	0.00639
0.02600	0.00140	0.00005	0.00003	-0.00307	0.00058	-0.18040	-89.82000	0.19358	0.05000	-0.09706	0.06359	-0.00722	0.00639
0.02800	0.00140	0.00005	0.00003	-0.00307	0.00058	-0.36080	-89.91000	0.19358	0.05000	-0.09706	0.06359	-0.00722	0.00639
0.03000	0.00140	0.00005	0.00003	-0.00307	0.00058	-0.27060	-90.00000	0.19358	0.05000	-0.09706	0.06359	-0.00722	0.00639
