/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	naming convention: T(period in s)_A(actuator amp in mm)_B(beach pos in inches); refer to test matrix for target wave amplitude corresponding to the  set actuator amplitude; model centered in window 2; probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Tue 11 May 2021 03:08:01 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-1.96926	-1.96147	-0.38494	-0.37271	-0.36080	-90.00000	-0.04667	-0.05859	-0.06032	0.00388	-0.01191	0.00621
0.00200	-1.96926	-1.96147	-0.38494	-0.37271	-0.36080	-90.00000	-0.04667	-0.05859	-0.06032	0.00388	-0.01191	0.00621
0.00400	-1.96926	-1.96147	-0.38494	-0.37271	-0.27060	-89.91000	-0.04667	-0.05859	-0.06032	0.00388	-0.01191	0.00621
0.00600	-1.96926	-1.96147	-0.38494	-0.37271	-0.36080	-90.00000	-0.04667	-0.05859	-0.06032	0.00388	-0.01191	0.00621
0.00800	-0.00059	0.00010	0.00056	-0.00209	-0.36080	-89.91000	-0.04667	-0.05859	-0.06032	0.00388	-0.01191	0.00621
0.01000	-0.00059	0.00010	0.00056	-0.00209	-0.27060	-90.00000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.01200	-0.00059	0.00010	0.00056	-0.00209	-0.27060	-90.00000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.01400	-0.00059	0.00010	0.00056	-0.00209	-0.36080	-90.00000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.01600	-0.00059	0.00010	0.00056	-0.00209	-0.36080	-90.00000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.01800	-0.00059	0.00010	0.00056	-0.00209	-0.36080	-90.00000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.02000	-0.00059	0.00010	0.00056	-0.00209	-0.45100	-90.09000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.02200	-0.00059	0.00010	0.00056	-0.00209	-0.54120	-90.00000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.02400	-0.00059	0.00010	0.00056	-0.00209	-0.54120	-90.00000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.02600	-0.00059	0.00010	0.00056	-0.00209	-0.36080	-89.82000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.02800	-0.00059	0.00010	0.00056	-0.00209	-0.45100	-89.91000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.03000	-0.00059	0.00010	0.00056	-0.00209	-0.45100	-89.91000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.03200	-0.00059	0.00010	0.00056	-0.00209	-0.27060	-89.91000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.03400	-0.00059	0.00010	0.00056	-0.00209	-0.18040	-89.82000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.03600	-0.00059	0.00010	0.00056	-0.00209	-0.36080	-89.91000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.03800	-0.00059	0.00010	0.00056	-0.00209	-0.36080	-89.82000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.04000	-0.00059	0.00010	0.00056	-0.00209	-0.45100	-89.82000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.04200	-0.00059	0.00010	0.00056	-0.00209	-0.36080	-89.82000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.04400	-0.00059	0.00010	0.00056	-0.00209	-0.36080	-89.82000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.04600	-0.00109	0.00089	0.00064	-0.00142	-0.45100	-89.73000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.04800	-0.00109	0.00089	0.00064	-0.00142	-0.36080	-89.82000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.05000	-0.00109	0.00089	0.00064	-0.00142	-0.36080	-89.91000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.05200	-0.00109	0.00089	0.00064	-0.00142	-0.36080	-89.82000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.05400	-0.00109	0.00089	0.00064	-0.00142	-0.36080	-89.82000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.05600	-0.00109	0.00089	0.00064	-0.00142	-0.36080	-89.91000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.05800	-0.00109	0.00089	0.00064	-0.00142	-0.45100	-89.91000	0.00823	-0.06790	-0.02262	0.02129	0.00833	0.01852
0.06000	-0.00109	0.00089	0.00064	-0.00142	-0.45100	-89.91000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.06200	-0.00109	0.00089	0.00064	-0.00142	-0.36080	-89.91000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.06400	-0.00109	0.00089	0.00064	-0.00142	-0.27060	-90.00000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.06600	-0.00109	0.00089	0.00064	-0.00142	-0.27060	-90.09000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.06800	-0.00109	0.00089	0.00064	-0.00142	-0.36080	-90.09000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.07000	-0.00109	0.00089	0.00064	-0.00142	-0.36080	-90.00000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.07200	-0.00109	0.00089	0.00064	-0.00142	-0.36080	-90.00000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.07400	-0.00109	0.00089	0.00064	-0.00142	-0.36080	-90.00000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.07600	-0.00109	0.00089	0.00064	-0.00142	-0.36080	-90.00000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.07800	-0.00109	0.00089	0.00064	-0.00142	-0.27060	-89.91000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.08000	-0.00151	0.00080	0.00055	-0.00138	-0.45100	-90.00000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.08200	-0.00151	0.00080	0.00055	-0.00138	-0.54120	-90.00000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.08400	-0.00151	0.00080	0.00055	-0.00138	-0.45100	-89.91000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.08600	-0.00151	0.00080	0.00055	-0.00138	-0.45100	-89.82000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.08800	-0.00151	0.00080	0.00055	-0.00138	-0.36080	-89.91000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.09000	-0.00151	0.00080	0.00055	-0.00138	-0.36080	-89.91000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.09200	-0.00151	0.00080	0.00055	-0.00138	-0.27060	-89.91000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.09400	-0.00151	0.00080	0.00055	-0.00138	-0.36080	-89.91000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.09600	-0.00151	0.00080	0.00055	-0.00138	-0.36080	-90.00000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.09800	-0.00151	0.00080	0.00055	-0.00138	-0.36080	-90.00000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.10000	-0.00151	0.00080	0.00055	-0.00138	-0.36080	-90.00000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.10200	-0.00151	0.00080	0.00055	-0.00138	-0.36080	-90.00000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.10400	-0.00151	0.00080	0.00055	-0.00138	-0.54120	-90.00000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.10600	-0.00151	0.00080	0.00055	-0.00138	-0.36080	-89.91000	0.00802	-0.05350	-0.04709	0.01037	-0.00157	0.01917
0.10800	-0.00151	0.00080	0.00055	-0.00138	-0.27060	-89.91000	0.01790	-0.06337	-0.05244	0.00185	0.00555	0.01889
0.11000	-0.00101	0.00091	0.00084	-0.00150	-0.27060	-90.00000	0.01790	-0.06337	-0.05244	0.00185	0.00555	0.01889
0.11200	-0.00101	0.00091	0.00084	-0.00150	-0.18040	-89.82000	0.01790	-0.06337	-0.05244	0.00185	0.00555	0.01889
0.11400	-0.00101	0.00091	0.00084	-0.00150	-0.36080	-89.91000	0.01790	-0.06337	-0.05244	0.00185	0.00555	0.01889
0.11600	-0.00101	0.00091	0.00084	-0.00150	-0.36080	-89.91000	0.01790	-0.06337	-0.05244	0.00185	0.00555	0.01889
0.11800	-0.00101	0.00091	0.00084	-0.00150	-0.27060	-89.91000	0.01790	-0.06337	-0.05244	0.00185	0.00555	0.01889
0.12000	-0.00101	0.00091	0.00084	-0.00150	-0.27060	-89.91000	0.01790	-0.06337	-0.05244	0.00185	0.00555	0.01889
0.12200	-0.00101	0.00091	0.00084	-0.00150	-0.36080	-90.00000	0.01790	-0.06337	-0.05244	0.00185	0.00555	0.01889
0.12400	-0.00101	0.00091	0.00084	-0.00150	-0.36080	-89.91000	0.01790	-0.06337	-0.05244	0.00185	0.00555	0.01889
0.12600	-0.00101	0.00091	0.00084	-0.00150	-0.36080	-89.91000	0.01790	-0.06337	-0.05244	0.00185	0.00555	0.01889
