/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_waveenergyprize
* Project Lead:	JD
* Labview Operator:	JD+MA
* Comments:	naming convention: T(period in s)_A(actuator amp in mm)_B(beach pos in inches); refer to test matrix for target wave amplitude corresponding to the  set actuator amplitude; model centered in window 2; probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Thu 20 May 2021 11:35:47 AM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-0.00001	-1.96531	-1.96059	-0.38855	-0.36848	0.00000	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.00200	0.00000	-1.96531	-1.96059	-0.38855	-0.36848	-0.99220	-89.91000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.00400	0.00000	-1.96531	-1.96059	-0.38855	-0.36848	-1.08240	-89.82000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.00600	0.00000	0.00462	0.00374	0.00721	0.00491	-0.90200	-89.64000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.00800	0.00000	0.00390	0.00244	0.00653	0.00487	0.00000	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.01000	0.01822	0.00300	0.00389	0.00675	0.00522	-0.90200	-89.64000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.01200	0.01822	0.00373	0.00247	0.00761	0.00606	-0.90200	-89.73000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.01400	0.01822	0.00397	0.00389	0.00746	0.00619	-0.81180	-89.82000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.01600	0.01822	0.00312	0.00212	0.00809	0.00564	0.00000	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.01800	0.01822	0.00291	0.00245	0.00855	0.00552	-0.90200	-89.91000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.02000	0.01859	0.00102	0.00375	0.00670	0.00515	-0.90200	-90.09000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.02200	0.01859	0.00271	0.00301	0.00837	0.00533	-0.90200	-90.18000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.02400	0.01859	0.00301	0.00244	0.00835	0.00542	-0.99220	-90.09000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.02600	0.01859	0.00252	0.00132	0.00868	0.00552	0.00000	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.02800	0.01859	0.00219	0.00108	0.00852	0.00545	-1.08240	-90.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.03000	0.01910	0.00224	0.00234	0.00787	0.00477	-0.99220	-89.91000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.03200	0.01910	0.00249	0.00240	0.00786	0.00581	-0.99220	-89.73000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
