/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_waveenergyprize
* Project Lead:	JD
* Labview Operator:	JD+MA+DL
* Comments:	naming convention: T(period in s)_A(actuator amp in mm)_B(beach pos in inches); refer to test matrix for target wave amplitude corresponding to the  set actuator amplitude; model centered in window 2; probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Thu 20 May 2021 11:55:14 AM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00005	-1.96531	-1.96059	-0.38855	-0.36848	0.00000	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.00200	0.00000	-1.96531	-1.96059	-0.38855	-0.36848	-0.99220	-89.73000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.00400	0.00000	-1.96531	-1.96059	-0.38855	-0.36848	0.00000	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.00600	0.00000	0.00307	0.00332	0.00799	0.00589	-1.08240	-89.64000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.00800	0.00000	0.00513	0.00336	0.00916	0.00635	-1.08240	-89.64000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.01000	0.00000	0.00702	0.00318	0.00862	0.00544	-0.99220	-89.82000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.01200	0.00744	0.00372	0.00009	0.00919	0.00606	0.00000	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.01400	0.00744	0.00324	0.00244	0.00906	0.00649	-0.99220	-89.91000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.01600	0.00744	0.00317	0.00113	0.00927	0.00628	-0.99220	-90.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.01800	0.00744	0.00406	0.00163	0.00781	0.00733	-0.99220	-90.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.02000	0.00744	0.00034	0.00352	0.00872	0.00732	0.00000	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.02200	0.00760	0.00299	0.00514	0.00899	0.00624	-0.99220	-90.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.02400	0.00760	0.00180	0.00343	0.00848	0.00713	-1.08240	-90.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.02600	0.00760	0.00244	0.00183	0.00863	0.00774	-1.08240	-89.82000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.02800	0.00760	0.00299	0.00055	0.00823	0.00816	-1.08240	-89.82000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.03000	0.00760	0.00323	0.00378	0.00894	0.00808	0.00000	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.03200	0.00777	0.00212	0.00151	0.00829	0.00842	-1.17260	-89.91000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.03400	0.00777	0.00284	0.00180	0.00444	0.00830	-1.08240	-89.91000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.03600	0.00777	0.00257	0.00401	0.00341	0.00718	-0.99220	-89.91000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.03800	0.00777	0.00218	0.00393	0.00427	0.00677	0.00000	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.04000	0.00777	0.00675	0.00310	0.00435	0.00787	-0.99220	-90.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.04200	0.00793	0.00307	0.00020	0.00462	0.00669	-0.99220	-89.82000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.04400	0.00793	0.00301	0.00235	0.00639	0.00702	0.00000	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.04600	0.00793	0.00332	0.00171	0.00677	0.00670	0.00000	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.04800	0.00793	0.00310	0.00260	0.00762	0.00603	-1.08240	-89.91000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.05000	0.00793	0.00379	-0.00041	0.00675	0.00588	-0.81180	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.05200	0.00809	0.00379	-0.00041	0.00675	0.00588	0.00000	-89.73000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.05400	0.00809	0.00288	0.00388	0.00864	0.00630	-0.90200	-89.73000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.05600	0.00809	0.00228	0.00252	0.00851	0.00707	-0.90200	-89.82000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.05800	0.00809	0.00313	0.00234	0.00890	0.00732	-0.99220	-89.82000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.06000	0.00809	-0.00101	0.00279	0.00843	0.00907	-1.17260	-89.73000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.06200	0.00825	0.00272	0.00277	0.00834	0.00788	0.00000	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.06400	0.00825	0.00241	0.00096	0.00870	0.00737	-1.17260	-89.73000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.06600	0.00825	0.00321	0.00238	0.00908	0.00674	-1.17260	-89.82000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.06800	0.00825	0.00110	0.00377	0.00977	0.00573	-1.08240	-89.73000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.07000	0.00825	0.00694	0.00235	0.00902	0.00597	0.00000	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.07200	0.00839	0.00530	0.00039	0.00877	0.00591	-0.99220	-89.73000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.07400	0.00839	0.00428	0.00184	0.00743	0.00639	-0.99220	-89.82000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.07600	0.00839	0.00257	0.00279	0.00737	0.00567	-0.99220	-89.91000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.07800	0.00839	0.00191	0.00206	0.00711	0.00515	0.00000	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.08000	0.00839	0.00197	0.00244	0.00702	0.00658	-1.17260	-89.91000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.08200	0.00851	0.00085	0.00110	0.00791	0.00480	-1.08240	-90.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.08400	0.00851	0.00329	0.00439	0.00191	0.00523	-1.08240	-90.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.08600	0.00851	0.00217	0.00262	0.00106	0.00624	-1.08240	-90.09000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.08800	0.00851	0.00284	0.00341	0.00196	0.00628	0.00000	0.00000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
0.09000	0.00851	0.00445	-0.00006	0.00115	0.00578	-1.26280	-90.09000	-0.05826	-0.04444	-0.05456	-0.02690	0.01915	-0.00294
