/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_waveenergyprize_column_w_springs_2
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms; Kislter force (x,y,z) calibration: 0.2222 V/N; Kislter moment (x,y,z) calibration: 0.2222 V/Nm; 
* Date and Time:	Fri 11 Jun 2021 11:25:53 AM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-0.00005	-1.96465	-1.96050	-0.47320	-0.36784	-1.26280	-89.91000	0.01470	-0.02190	0.07752	-0.01315	-0.01195	-0.00419
0.00200	0.00000	-1.96465	-1.96050	-0.47320	-0.36784	-1.26280	-89.91000	0.01470	-0.02190	0.07752	-0.01315	-0.01195	-0.00419
0.00400	0.00000	-1.96465	-1.96050	-0.47320	-0.36784	-1.44320	-90.00000	0.01470	-0.02190	0.07752	-0.01315	-0.01195	-0.00419
0.00600	0.00000	-1.96465	-1.96050	-0.47320	-0.36784	-1.35300	-89.91000	0.01470	-0.02190	0.07752	-0.01315	-0.01195	-0.00419
0.00800	0.00000	0.00154	0.00074	0.00058	0.00366	-1.35300	-90.00000	0.01470	-0.02190	0.07752	-0.01315	-0.01195	-0.00419
0.01000	0.00000	0.00154	0.00074	0.00058	0.00366	-1.44320	-90.00000	0.01470	-0.02190	0.07752	-0.01315	-0.01195	-0.00419
0.01200	0.02386	0.00154	0.00074	0.00058	0.00366	-1.35300	-90.00000	0.01470	-0.02190	0.07752	-0.01315	-0.01195	-0.00419
0.01400	0.02386	0.00134	0.00243	-0.00014	0.00374	-1.35300	-89.91000	0.19396	0.01435	0.15501	-0.03008	-0.06339	0.03935
0.01600	0.02386	0.00134	0.00243	-0.00014	0.00374	-1.26280	-90.00000	0.19396	0.01435	0.15501	-0.03008	-0.06339	0.03935
0.01800	0.02386	0.00134	0.00243	-0.00014	0.00374	-1.26280	-90.00000	0.19396	0.01435	0.15501	-0.03008	-0.06339	0.03935
0.02000	0.02386	0.00134	0.00243	-0.00014	0.00374	-1.17260	-90.00000	0.19396	0.01435	0.15501	-0.03008	-0.06339	0.03935
0.02200	0.02433	0.00122	0.00184	0.00076	0.00441	-1.17260	-90.18000	0.24534	-0.11714	0.04812	-0.01805	-0.06663	-0.00324
0.02400	0.02433	0.00122	0.00184	0.00076	0.00441	0.00000	0.00000	0.24534	-0.11714	0.04812	-0.01805	-0.06663	-0.00324
0.02600	0.02433	0.00122	0.00184	0.00076	0.00441	-1.35300	-90.09000	0.24534	-0.11714	0.04812	-0.01805	-0.06663	-0.00324
0.02800	0.02433	0.00122	0.00184	0.00076	0.00441	-1.44320	-90.09000	0.24534	-0.11714	0.04812	-0.01805	-0.06663	-0.00324
0.03000	0.02433	0.00176	0.00274	0.00116	0.00365	-1.26280	-90.00000	0.09443	-0.07871	0.08190	-0.02962	-0.04905	0.00324
0.03200	0.02489	0.00176	0.00274	0.00116	0.00365	-1.26280	-89.82000	0.09443	-0.07871	0.08190	-0.02962	-0.04905	0.00324
0.03400	0.02489	0.00176	0.00274	0.00116	0.00365	-1.17260	-89.82000	0.09443	-0.07871	0.08190	-0.02962	-0.04905	0.00324
0.03600	0.02489	0.00176	0.00274	0.00116	0.00365	-1.17260	-89.91000	0.09443	-0.07871	0.08190	-0.02962	-0.04905	0.00324
0.03800	0.02489	0.00334	0.00176	0.00049	0.00279	-1.26280	-89.73000	0.03426	-0.13613	0.06709	0.01759	0.01573	0.01018
0.04000	0.02489	0.00334	0.00176	0.00049	0.00279	-1.26280	-89.73000	0.03426	-0.13613	0.06709	0.01759	0.01573	0.01018
0.04200	0.02543	0.00334	0.00176	0.00049	0.00279	-1.35300	-89.82000	0.03426	-0.13613	0.06709	0.01759	0.01573	0.01018
0.04400	0.02543	0.00334	0.00176	0.00049	0.00279	-1.35300	-89.91000	0.03426	-0.13613	0.06709	0.01759	0.01573	0.01018
0.04600	0.02543	0.00224	0.00311	0.00154	0.00304	-1.35300	-89.91000	0.02592	-0.14122	0.16334	-0.02962	0.02915	-0.01944
0.04800	0.02543	0.00224	0.00311	0.00154	0.00304	-1.44320	-89.91000	0.02592	-0.14122	0.16334	-0.02962	0.02915	-0.01944
0.05000	0.02543	0.00224	0.00311	0.00154	0.00304	-1.44320	-89.91000	0.02592	-0.14122	0.16334	-0.02962	0.02915	-0.01944
0.05200	0.02603	0.00224	0.00311	0.00154	0.00304	-1.44320	-89.91000	0.02592	-0.14122	0.16334	-0.02962	0.02915	-0.01944
0.05400	0.02603	0.00160	0.00180	0.00233	0.00364	-1.53340	-90.00000	0.02592	-0.14122	0.16334	-0.02962	0.02915	-0.01944
0.05600	0.02603	0.00318	0.00435	0.00260	0.00303	-1.35300	-89.91000	0.06157	0.03102	0.24894	-0.01944	-0.00370	-0.01157
0.05800	0.02603	0.00318	0.00435	0.00260	0.00303	-1.26280	-90.00000	0.06157	0.03102	0.24894	-0.01944	-0.00370	-0.01157
0.06000	0.02603	0.00318	0.00435	0.00260	0.00303	-1.35300	-90.00000	0.06157	0.03102	0.24894	-0.01944	-0.00370	-0.01157
0.06200	0.02644	0.00318	0.00435	0.00260	0.00303	-1.26280	-90.00000	0.06157	0.03102	0.24894	-0.01944	-0.00370	-0.01157
0.06400	0.02644	0.00272	0.00285	0.00177	0.00365	-1.35300	-89.91000	0.21988	0.19030	0.11383	0.01666	-0.05599	0.01759
0.06600	0.02644	0.00272	0.00285	0.00177	0.00365	-1.35300	-89.91000	0.21988	0.19030	0.11383	0.01666	-0.05599	0.01759
