/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration
* Project Lead:	JN
* Labview Operator:	JN
* Date and Time:	Thu 06 May 2021 03:39:50 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	0.00001	0.00000	0.00000	0.00000	0.00000
0.00200	0.00000	0.00000	0.00000	0.00000	0.00000
0.00400	0.00000	1.96203	1.97007	0.00063	0.37350
0.00600	0.00000	1.96290	1.97063	0.00086	0.37328
0.00800	0.00000	1.96279	1.97003	0.00050	0.37388
0.01000	0.00178	1.96225	1.97083	0.00045	0.37407
0.01200	0.00178	1.96453	1.97044	0.00049	0.37457
0.01400	0.00178	1.96351	1.96994	0.00045	0.37473
0.01600	0.00178	1.96170	1.96830	0.00051	0.37481
0.01800	0.00178	1.96254	1.96984	0.00045	0.37439
0.02000	0.00182	1.96129	1.97097	0.00045	0.37385
0.02200	0.00182	1.96295	1.97271	0.00045	0.37415
0.02400	0.00182	1.96261	1.97108	0.00045	0.37361
0.02600	0.00182	1.96189	1.96862	0.00088	0.37484
0.02800	0.00182	1.96436	1.97090	0.00058	0.37417
0.03000	0.00187	1.96356	1.96925	0.00045	0.37465
0.03200	0.00187	1.96162	1.97012	0.00063	0.37454
0.03400	0.00187	1.96222	1.96977	0.00159	0.37416
0.03600	0.00187	1.96155	1.97216	0.00093	0.37335
0.03800	0.00187	1.96172	1.97027	0.00063	0.37349
0.04000	0.00193	1.96141	1.97030	0.00059	0.37332
0.04200	0.00193	1.96357	1.97030	0.00045	0.37276
0.04400	0.00193	1.96481	1.97046	0.00138	0.37267
0.04600	0.00193	1.96279	1.97269	0.00045	0.37196
0.04800	0.00193	1.95944	1.96892	0.00070	0.37180
0.05000	0.00199	1.96061	1.96959	0.00059	0.37279
0.05200	0.00199	1.96142	1.97196	0.00045	0.37341
0.05400	0.00199	1.96185	1.97227	0.00045	0.37375
0.05600	0.00199	1.96311	1.96606	0.00064	0.37492
0.05800	0.00199	1.96686	1.97012	0.00045	0.37398
0.06000	0.00202	1.96319	1.97083	0.00045	0.37365
0.06200	0.00202	1.96197	1.96876	0.00045	0.37338
0.06400	0.00202	1.96170	1.96970	0.00055	0.37363
0.06600	0.00202	1.96294	1.96841	0.00045	0.37439
0.06800	0.00202	1.96346	1.97063	0.00045	0.37382
0.07000	0.00205	1.96254	1.97008	0.00045	0.37424
0.07200	0.00205	1.96201	1.97044	0.00045	0.37392
0.07400	0.00205	1.96528	1.96998	0.00095	0.37383
0.07600	0.00205	1.96375	1.97205	0.00113	0.37297
0.07800	0.00205	1.95970	1.96893	0.00076	0.37393
0.08000	0.00207	1.96183	1.96954	0.00045	0.37396
0.08200	0.00207	1.96253	1.96981	0.00045	0.37448
0.08400	0.00207	1.96265	1.97381	0.00085	0.37473
0.08600	0.00207	1.96184	1.97431	0.00050	0.37419
0.08800	0.00207	1.96096	1.97059	0.00071	0.37499
0.09000	0.00209	1.96389	1.96988	0.00045	0.37403
0.09200	0.00209	1.96292	1.96907	0.00045	0.37403
0.09400	0.00209	1.96074	1.96881	0.00051	0.37451
0.09600	0.00209	1.96197	1.96885	0.00051	0.37384
0.09800	0.00209	1.96359	1.96965	0.00045	0.37334
0.10000	0.00212	1.96230	1.97047	0.00058	0.37372
0.10200	0.00212	1.96133	1.96984	0.00045	0.37393
0.10400	0.00212	1.96161	1.96940	0.00063	0.37364
0.10600	0.00212	1.96425	1.96854	0.00088	0.37311
0.10800	0.00212	1.96192	1.97060	0.00063	0.37335
0.11000	0.00213	1.96107	1.96779	0.00045	0.37390
0.11200	0.00213	1.96206	1.96923	0.00045	0.37408
0.11400	0.00213	1.96283	1.97105	0.00057	0.37379
0.11600	0.00213	1.96148	1.97268	0.00063	0.37410
0.11800	0.00213	1.96151	1.97176	0.00045	0.37411
0.12000	0.00214	1.96385	1.97136	0.00052	0.37431
0.12200	0.00214	1.96340	1.96966	0.00045	0.37475
0.12400	0.00214	1.96186	1.96905	0.00045	0.37418
0.12600	0.00214	1.96074	1.96949	0.00045	0.37491
0.12800	0.00214	1.96163	1.96667	0.00045	0.37456
0.13000	0.00214	1.96150	1.96937	0.00045	0.37489
0.13200	0.00214	1.96174	1.96893	0.00045	0.37360
0.13400	0.00214	1.96167	1.96846	0.00045	0.37336
0.13600	0.00214	1.96439	1.96875	0.00064	0.37332
0.13800	0.00214	1.96318	1.97012	0.00050	0.37389
0.14000	0.00214	1.96245	1.96954	0.00045	0.37343
0.14200	0.00214	1.96159	1.96895	0.00045	0.37391
0.14400	0.00214	1.96246	1.96885	0.00045	0.37388
0.14600	0.00214	1.96100	1.97181	0.00083	0.37441
0.14800	0.00214	1.96351	1.97154	0.00050	0.37369
0.15000	0.00214	1.96326	1.97140	0.00045	0.37389
0.15200	0.00214	1.96419	1.97058	0.00045	0.37337
0.15400	0.00214	1.96437	1.97112	0.00048	0.37292
0.15600	0.00214	1.96404	1.97126	0.00048	0.37360
0.15800	0.00214	1.96345	1.96985	0.00050	0.37363
0.16000	0.00213	1.96236	1.97091	0.00050	0.37388
0.16200	0.00213	1.96205	1.97073	0.00045	0.37425
0.16400	0.00213	1.96213	1.97057	0.00115	0.37457
0.16600	0.00213	1.96128	1.96910	0.00119	0.37466
0.16800	0.00213	1.96341	1.96876	0.00064	0.37421
0.17000	0.00212	1.96485	1.96902	0.00060	0.37397
