/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_2
* Project Lead:	JN
* Labview Operator:	JD
* Comments:	probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Fri 07 May 2021 03:54:33 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	0.00001	-1.98684	-1.98014	-0.00045	-0.38915
0.00200	0.00000	-1.98684	-1.98014	-0.00045	-0.38915
0.00400	0.00000	-1.98684	-1.98014	-0.00045	-0.38915
0.00600	0.00000	0.00013	0.00315	0.00006	0.00288
0.00800	0.00000	0.00141	0.00022	0.00000	0.00495
0.01000	0.00000	-0.00026	-0.00010	0.00000	0.00453
0.01200	0.00008	-0.00040	0.00006	0.00011	0.00474
0.01400	0.00008	-0.00091	-0.00027	0.00009	0.00491
0.01600	0.00008	-0.00028	-0.00027	0.00006	-0.00016
0.01800	0.00008	-0.00054	0.00032	0.00000	-0.00238
0.02000	0.00008	0.00024	0.00266	0.00000	-0.00273
0.02200	0.00008	-0.00126	0.00179	0.00000	-0.00254
0.02400	0.00008	-0.00038	0.00066	0.00006	-0.00248
0.02600	0.00008	0.00022	0.00091	0.00000	-0.00062
0.02800	0.00008	-0.00055	0.00034	0.00000	-0.00078
0.03000	0.00008	0.00082	0.00085	0.00003	-0.00035
0.03200	0.00008	0.00249	0.00099	0.00000	-0.00079
0.03400	0.00007	0.00162	0.00235	0.00000	-0.00103
0.03600	0.00007	0.00126	0.00073	0.00003	0.00141
0.03800	0.00007	0.00018	0.00218	0.00000	0.00361
0.04000	0.00007	-0.00011	0.00110	0.00003	0.00377
0.04200	0.00007	0.00028	0.00085	0.00018	0.00398
0.04400	0.00007	-0.00016	0.00143	0.00000	0.00422
0.04600	0.00007	-0.00149	0.00146	0.00006	0.00375
0.04800	0.00007	-0.00009	0.00068	0.00000	0.00373
0.05000	0.00007	-0.00057	0.00228	0.00009	0.00324
0.05200	0.00007	0.00052	0.00343	0.00000	0.00346
0.05400	0.00004	-0.00010	0.00191	0.00012	0.00380
0.05600	0.00004	-0.00066	0.00140	0.00000	0.00309
0.05800	0.00004	-0.00041	0.00038	0.00000	0.00301
0.06000	0.00004	-0.00010	0.00188	0.00006	0.00306
0.06200	0.00004	0.00222	0.00061	0.00001	0.00274
0.06400	0.00002	0.00347	0.00171	0.00009	0.00286
0.06600	0.00002	0.00083	0.00278	0.00000	0.00114
0.06800	0.00002	0.00021	0.00282	0.00000	-0.00298
