/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_2
* Project Lead:	JN
* Labview Operator:	JD
* Comments:	probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Fri 07 May 2021 11:59:39 AM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	-0.00000	-1.98167	-1.97842	-0.00066	-0.38868
0.00200	0.00000	-1.98167	-1.97842	-0.00066	-0.38868
0.00400	0.00000	0.00234	-0.00090	-0.00015	-0.00363
0.00600	0.00033	0.00344	-0.00124	-0.00021	-0.00254
0.00800	0.00033	0.00228	-0.00071	-0.00021	-0.00111
0.01000	0.00033	0.00128	-0.00028	-0.00013	-0.00220
0.01200	0.00033	0.00223	0.00115	-0.00002	-0.00193
0.01400	0.00033	0.00169	0.00149	-0.00009	-0.00218
0.01600	0.00034	0.00255	0.00022	-0.00000	-0.00161
0.01800	0.00034	0.00199	0.00027	0.00008	-0.00236
0.02000	0.00034	0.00274	-0.00034	-0.00011	-0.00180
0.02200	0.00034	0.00265	-0.00116	-0.00003	-0.00194
0.02400	0.00034	0.00506	-0.00061	-0.00021	-0.00157
0.02600	0.00034	0.00377	-0.00112	-0.00021	-0.00175
0.02800	0.00034	0.00121	0.00091	-0.00015	-0.00272
0.03000	0.00034	0.00013	0.00230	-0.00017	-0.00285
0.03200	0.00034	0.00277	0.00015	-0.00005	-0.00388
0.03400	0.00034	0.00211	0.00061	-0.00015	-0.00355
0.03600	0.00034	0.00194	-0.00088	-0.00021	-0.00361
0.03800	0.00034	0.00028	-0.00006	0.00009	-0.00295
0.04000	0.00034	0.00247	0.00017	-0.00003	-0.00390
0.04200	0.00034	0.00250	-0.00043	-0.00015	-0.00340
0.04400	0.00034	0.00234	0.00076	-0.00003	-0.00393
0.04600	0.00034	0.00272	0.00241	-0.00021	-0.00444
0.04800	0.00034	0.00340	0.00074	0.00046	-0.00075
0.05000	0.00034	0.00316	-0.00113	-0.00009	-0.00110
0.05200	0.00034	0.00221	0.00078	-0.00015	-0.00097
