/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_2
* Project Lead:	JN
* Labview Operator:	JD
* Comments:	probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Fri 07 May 2021 12:04:11 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	0.00001	-1.98167	-1.97842	-0.00066	-0.38868
0.00200	0.00000	-1.98167	-1.97842	-0.00066	-0.38868
0.00400	0.00000	-1.98167	-1.97842	-0.00066	-0.38868
0.00600	0.00000	0.00407	-0.00044	-0.00021	-0.00367
0.00800	0.00000	0.00317	0.00195	-0.00020	-0.00326
0.01000	0.00000	0.00189	-0.00004	-0.00009	-0.00280
0.01200	0.00000	0.00321	0.00060	0.00027	-0.00282
0.01400	0.00035	0.00093	-0.00150	-0.00021	-0.00258
0.01600	0.00035	0.00201	-0.00084	-0.00021	-0.00278
0.01800	0.00035	0.00148	-0.00051	-0.00021	-0.00241
0.02000	0.00035	0.00185	0.00149	0.00009	-0.00155
0.02200	0.00035	0.00285	0.00251	-0.00014	-0.00315
0.02400	0.00035	0.00369	-0.00301	-0.00010	-0.00225
0.02600	0.00035	0.00171	-0.00030	-0.00011	-0.00218
0.02800	0.00035	0.00132	0.00037	-0.00021	-0.00239
0.03000	0.00035	0.00216	-0.00039	-0.00021	-0.00196
0.03200	0.00035	0.00044	0.00100	-0.00021	0.00004
0.03400	0.00035	0.00228	-0.00166	-0.00016	-0.00302
0.03600	0.00036	0.00486	0.00039	-0.00012	-0.00257
0.03800	0.00036	0.00467	0.00200	-0.00021	-0.00224
0.04000	0.00036	0.00334	0.00027	0.00073	-0.00305
0.04200	0.00036	0.00176	-0.00007	0.00029	-0.00416
0.04400	0.00036	0.00205	-0.00079	-0.00021	-0.00335
0.04600	0.00036	0.00174	-0.00017	-0.00015	-0.00264
0.04800	0.00036	0.00183	-0.00127	-0.00012	-0.00349
0.05000	0.00036	0.00156	0.00007	-0.00021	-0.00351
0.05200	0.00036	0.00112	0.00313	-0.00011	-0.00437
0.05400	0.00036	0.00151	0.00034	-0.00015	-0.00462
0.05600	0.00036	0.00261	0.00018	-0.00006	-0.00399
0.05800	0.00036	0.00361	0.00010	-0.00001	-0.00398
0.06000	0.00036	0.00141	-0.00005	-0.00014	-0.00425
0.06200	0.00036	0.00224	-0.00051	-0.00004	-0.00375
0.06400	0.00036	0.00279	-0.00072	-0.00021	-0.00325
0.06600	0.00036	0.00486	-0.00037	0.00002	-0.00373
0.06800	0.00036	0.00379	0.00215	-0.00021	-0.00396
0.07000	0.00036	0.00280	0.00117	-0.00019	-0.00197
0.07200	0.00036	0.00315	0.00068	-0.00007	-0.00273
0.07400	0.00036	0.00260	-0.00246	-0.00004	-0.00269
0.07600	0.00036	0.00296	-0.00033	-0.00002	-0.00217
0.07800	0.00036	0.00269	0.00040	-0.00014	-0.00207
0.08000	0.00036	0.00161	-0.00049	-0.00018	-0.00177
0.08200	0.00036	0.00469	-0.00041	0.00009	-0.00081
0.08400	0.00036	0.00157	0.00436	-0.00021	-0.00204
0.08600	0.00036	0.00165	0.00130	-0.00021	-0.00133
0.08800	0.00036	0.00088	0.00015	-0.00021	-0.00230
0.09000	0.00036	0.00174	-0.00035	0.00021	-0.00352
0.09200	0.00036	0.00213	-0.00051	-0.00021	-0.00261
0.09400	0.00036	0.00067	-0.00060	-0.00015	-0.00325
0.09600	0.00036	0.00207	-0.00027	-0.00003	-0.00336
0.09800	0.00036	0.00617	0.00102	-0.00015	-0.00318
0.10000	0.00036	0.00357	0.00190	-0.00021	-0.00197
0.10200	0.00036	0.00317	0.00051	-0.00005	-0.00237
0.10400	0.00036	0.00340	0.00091	0.00010	-0.00205
0.10600	0.00036	0.00394	-0.00034	-0.00006	-0.00233
0.10800	0.00036	0.00146	-0.00105	-0.00021	-0.00238
0.11000	0.00036	0.00232	-0.00037	-0.00021	-0.00159
0.11200	0.00036	0.00255	0.00193	-0.00018	-0.00095
0.11400	0.00036	0.00202	0.00199	-0.00021	-0.00240
0.11600	0.00035	0.00196	0.00271	0.00002	-0.00158
0.11800	0.00035	0.00183	0.00143	-0.00021	-0.00177
0.12000	0.00035	0.00112	-0.00034	-0.00021	-0.00081
0.12200	0.00035	0.00243	-0.00048	-0.00018	0.00013
0.12400	0.00035	0.00200	-0.00244	-0.00021	-0.00092
0.12600	0.00035	0.00176	-0.00110	-0.00021	-0.00095
0.12800	0.00035	0.00256	-0.00017	-0.00021	-0.00015
0.13000	0.00035	0.00535	0.00212	-0.00021	-0.00228
0.13200	0.00035	0.00367	0.00112	-0.00007	-0.00227
0.13400	0.00035	0.00311	0.00206	-0.00008	-0.00260
0.13600	0.00034	0.00246	0.00044	-0.00021	-0.00250
0.13800	0.00034	0.00165	-0.00063	-0.00004	-0.00238
0.14000	0.00034	0.00293	0.00027	0.00002	-0.00349
0.14200	0.00034	0.00133	-0.00119	-0.00009	-0.00418
0.14400	0.00034	0.00185	-0.00040	0.00008	-0.00303
0.14600	0.00034	0.00228	0.00206	0.00009	-0.00334
0.14800	0.00034	0.00089	0.00265	-0.00021	-0.00364
0.15000	0.00034	0.00235	0.00007	-0.00009	-0.00222
0.15200	0.00034	0.00196	0.00046	-0.00021	-0.00232
0.15400	0.00034	0.00247	-0.00101	-0.00002	-0.00196
0.15600	0.00029	0.00210	-0.00128	-0.00009	-0.00150
0.15800	0.00029	0.00037	-0.00046	-0.00021	-0.00194
0.16000	0.00029	0.00479	-0.00073	-0.00021	-0.00099
0.16200	0.00029	0.00491	0.00273	-0.00021	-0.00027
0.16400	0.00029	0.00316	0.00307	-0.00021	-0.00150
0.16600	0.00024	0.00172	0.00138	-0.00021	-0.00086
0.16800	0.00024	0.00216	-0.00121	-0.00009	-0.00079
0.17000	0.00024	0.00260	0.00007	-0.00021	-0.00100
0.17200	0.00024	0.00145	-0.00041	-0.00017	-0.00171
0.17400	0.00024	0.00250	0.00049	-0.00002	-0.00130
0.17600	0.00018	0.00196	0.00073	-0.00018	-0.00154
0.17800	0.00018	0.00156	0.00105	-0.00010	-0.00137
0.18000	0.00018	0.00274	0.00171	-0.00021	-0.00310
0.18200	0.00018	0.00223	-0.00032	-0.00017	-0.00404
0.18400	0.00018	0.00133	-0.00166	0.00026	-0.00342
0.18600	0.00015	0.00207	0.00011	-0.00021	-0.00323
0.18800	0.00015	0.00310	0.00093	-0.00020	-0.00298
0.19000	0.00015	0.00150	-0.00095	-0.00021	-0.00353
0.19200	0.00015	0.00503	0.00065	-0.00006	-0.00299
0.19400	0.00015	0.00394	0.00158	-0.00021	-0.00335
0.19600	0.00011	0.00301	0.00104	-0.00021	-0.00326
0.19800	0.00011	0.00325	0.00127	-0.00013	-0.00266
0.20000	0.00011	0.00247	-0.00060	0.00011	-0.00151
0.20200	0.00011	0.00323	0.00041	-0.00021	-0.00047
