/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_2
* Project Lead:	JN
* Labview Operator:	JD
* Comments:	probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Fri 07 May 2021 02:44:12 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	0.00004	-1.98167	-1.97842	-0.00066	-0.38868
0.00200	0.00000	-1.98167	-1.97842	-0.00066	-0.38868
0.00400	0.00000	-1.98167	-1.97842	-0.00066	-0.38868
0.00600	0.00388	0.00356	0.00118	-0.00020	0.00331
0.00800	0.00388	0.00333	0.00385	-0.00015	0.00274
0.01000	0.00388	0.00488	0.00219	0.00002	0.00295
0.01200	0.00388	0.00243	0.00202	-0.00021	-0.00099
0.01400	0.00388	0.00412	0.00193	-0.00020	-0.00123
0.01600	0.00392	0.00407	0.00239	-0.00021	-0.00201
0.01800	0.00392	0.00562	0.00076	-0.00009	-0.00201
0.02000	0.00392	0.00583	0.00166	-0.00019	-0.00130
0.02200	0.00392	0.00468	0.00536	-0.00012	-0.00249
0.02400	0.00392	0.00511	0.00441	-0.00021	-0.00246
0.02600	0.00392	0.00400	0.00229	-0.00015	-0.00274
0.02800	0.00417	0.00369	0.00193	-0.00009	-0.00267
0.03000	0.00417	0.00472	0.00202	0.00026	-0.00196
0.03200	0.00417	0.00325	0.00146	-0.00021	0.00130
0.03400	0.00417	0.00489	0.00247	-0.00009	0.00156
0.03600	0.00417	0.00385	0.00156	-0.00021	0.00124
0.03800	0.00440	0.00389	0.00273	-0.00021	0.00111
0.04000	0.00440	0.00249	0.00195	-0.00015	0.00148
0.04200	0.00440	0.00483	0.00371	-0.00016	0.00137
0.04400	0.00440	0.00334	0.00193	-0.00015	0.00111
0.04600	0.00440	0.00496	0.00141	-0.00015	0.00150
0.04800	0.00461	0.00708	0.00095	-0.00021	0.00130
0.05000	0.00461	0.00425	0.00090	0.00004	0.00153
0.05200	0.00461	0.00644	0.00271	-0.00021	0.00117
0.05400	0.00461	0.00438	0.00419	-0.00021	0.00043
0.05600	0.00461	0.00483	0.00283	-0.00013	0.00066
0.05800	0.00482	0.00436	0.00273	-0.00002	0.00054
0.06000	0.00482	0.00374	0.00116	-0.00021	0.00013
0.06200	0.00482	0.00341	0.00217	-0.00021	-0.00160
0.06400	0.00482	0.00346	0.00161	-0.00021	-0.00365
0.06600	0.00482	0.00423	0.00200	-0.00001	-0.00297
0.06800	0.00504	0.00402	0.00156	-0.00014	-0.00367
0.07000	0.00504	0.00350	0.00486	-0.00021	-0.00280
0.07200	0.00504	0.00325	0.00483	-0.00021	-0.00239
0.07400	0.00504	0.00427	0.00185	-0.00021	-0.00117
0.07600	0.00504	0.00393	0.00117	-0.00021	-0.00187
0.07800	0.00529	0.00300	0.00078	-0.00021	-0.00203
0.08000	0.00529	0.00692	0.00127	0.00005	-0.00154
0.08200	0.00529	0.00529	0.00166	-0.00021	-0.00038
0.08400	0.00529	0.00512	0.00271	-0.00021	0.00128
0.08600	0.00529	0.00362	0.00358	-0.00021	0.00123
0.08800	0.00550	0.00375	0.00263	0.00002	0.00133
0.09000	0.00550	0.00017	0.00069	0.00001	0.00100
0.09200	0.00550	0.00435	0.00154	-0.00021	0.00119
0.09400	0.00550	0.00386	0.00149	-0.00021	0.00196
0.09600	0.00550	0.00410	0.00074	-0.00021	0.00138
0.09800	0.00572	0.00551	0.00135	-0.00021	0.00129
0.10000	0.00572	0.00423	0.00276	-0.00009	0.00157
0.10200	0.00572	0.00361	0.00315	-0.00015	0.00106
0.10400	0.00572	0.00411	0.00295	-0.00021	0.00039
0.10600	0.00572	0.00432	0.00251	-0.00005	0.00051
0.10800	0.00595	0.00333	0.00219	-0.00021	0.00012
0.11000	0.00595	0.00527	0.00102	-0.00009	0.00033
0.11200	0.00595	0.00627	0.00183	-0.00021	-0.00039
0.11400	0.00595	0.00542	0.00130	-0.00021	-0.00290
0.11600	0.00595	0.00482	0.00327	-0.00021	-0.00275
0.11800	0.00618	0.00402	0.00436	-0.00021	-0.00298
0.12000	0.00618	0.00383	0.00332	-0.00015	-0.00296
0.12200	0.00618	0.00451	0.00224	-0.00021	-0.00310
0.12400	0.00618	0.00405	0.00256	-0.00015	-0.00105
0.12600	0.00618	0.00289	0.00100	-0.00021	-0.00128
0.12800	0.00644	0.00419	0.00085	-0.00021	-0.00135
0.13000	0.00644	0.00390	0.00048	-0.00003	-0.00104
