/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_postexperiment
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	Wave calibration for interpolated OSWEC RAO runs. probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.  Naming convention: T(period)_A(actuator amp)_B(beach distance)
* Date and Time:	Tue 06 Jul 2021 03:36:39 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	0.00003	-2.04274	-1.96892	-0.47483	-0.45920
0.00200	0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00400	0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00600	0.00000	-0.00128	0.00077	0.00090	-0.00462
0.00800	0.00000	0.00038	0.00043	0.00154	-0.00465
0.01000	0.00000	0.00026	-0.00033	0.00119	-0.00437
0.01200	0.00000	-0.00060	-0.00043	0.00100	-0.00455
0.01400	0.00175	0.00027	-0.00046	0.00063	-0.00429
0.01600	0.00175	0.00015	-0.00050	0.00095	-0.00478
0.01800	0.00175	0.00010	0.00050	0.00139	-0.00644
0.02000	0.00175	0.00026	0.00211	0.00083	-0.01262
0.02200	0.00182	0.00268	0.00059	0.00058	-0.01255
0.02400	0.00182	0.00223	-0.00088	0.00053	-0.01255
0.02600	0.00182	0.00098	-0.00015	0.00071	-0.01295
0.02800	0.00182	0.00046	-0.00044	0.00107	-0.01215
0.03000	0.00182	0.00009	-0.00155	0.00064	-0.01022
0.03200	0.00189	-0.00049	-0.00100	0.00043	-0.01062
0.03400	0.00189	-0.00023	0.00033	0.00034	-0.01017
0.03600	0.00189	-0.00100	0.00252	0.00068	-0.01061
0.03800	0.00189	-0.00034	0.00112	0.00050	-0.01021
0.04000	0.00189	-0.00050	-0.00016	0.00055	-0.00474
0.04200	0.00197	0.00039	0.00009	-0.00067	-0.00463
0.04400	0.00197	-0.00007	-0.00011	-0.00008	-0.00464
0.04600	0.00197	0.00056	-0.00161	-0.00012	-0.00503
0.04800	0.00197	0.00048	-0.00069	-0.00048	-0.00446
0.05000	0.00197	0.00007	0.00101	-0.00041	-0.00529
0.05200	0.00205	0.00106	0.00128	0.00208	-0.00497
0.05400	0.00205	0.00301	0.00043	0.00212	-0.00489
0.05600	0.00205	0.00093	0.00041	0.00219	-0.00541
0.05800	0.00205	0.00133	-0.00066	0.00217	-0.00495
0.06000	0.00205	0.00133	-0.00032	0.00201	-0.00675
0.06200	0.00213	0.00072	-0.00021	0.00221	-0.00677
0.06400	0.00213	0.00000	-0.00062	0.00296	-0.00656
0.06600	0.00213	0.00049	0.00009	0.00229	-0.00712
0.06800	0.00213	0.00052	0.00107	0.00225	-0.00653
0.07000	0.00213	0.00009	0.00016	0.00238	-0.01226
0.07200	0.00220	0.00002	-0.00030	0.00196	-0.01243
0.07400	0.00220	0.00001	-0.00091	0.00200	-0.01300
0.07600	0.00220	0.00055	-0.00102	0.00206	-0.01254
0.07800	0.00220	0.00054	-0.00095	0.00193	-0.01258
0.08000	0.00220	0.00084	-0.00032	0.00144	-0.00886
0.08200	0.00225	0.00009	0.00202	-0.00014	-0.00923
0.08400	0.00225	0.00176	0.00119	-0.00013	-0.00932
0.08600	0.00225	0.00363	-0.00001	0.00005	-0.00913
0.08800	0.00225	0.00144	-0.00009	0.00036	-0.00912
0.09000	0.00225	0.00054	0.00032	-0.00012	-0.00451
0.09200	0.00232	0.00017	-0.00062	-0.00039	-0.00489
0.09400	0.00232	0.00021	-0.00072	-0.00034	-0.00473
0.09600	0.00232	-0.00022	0.00013	-0.00046	-0.00555
0.09800	0.00232	0.00007	0.00191	-0.00020	-0.00488
0.10000	0.00232	0.00027	0.00197	-0.00039	-0.00465
0.10200	0.00240	-0.00034	-0.00001	0.00244	-0.00475
0.10400	0.00240	0.00072	-0.00023	0.00219	-0.00438
0.10600	0.00240	0.00088	-0.00137	0.00263	-0.00493
0.10800	0.00240	-0.00037	-0.00038	0.00274	-0.00408
0.11000	0.00240	0.00034	-0.00062	0.00284	-0.00742
0.11200	0.00247	0.00022	0.00080	0.00305	-0.00895
0.11400	0.00247	-0.00052	0.00218	0.00297	-0.00909
0.11600	0.00247	0.00329	0.00126	0.00278	-0.00886
0.11800	0.00247	0.00155	-0.00051	0.00327	-0.00874
0.12000	0.00247	0.00035	0.00026	0.00356	-0.01232
0.12200	0.00254	0.00044	-0.00062	0.00224	-0.01362
0.12400	0.00254	0.00007	-0.00089	0.00222	-0.01351
0.12600	0.00254	0.00013	-0.00030	0.00223	-0.01323
0.12800	0.00254	0.00016	0.00055	0.00219	-0.01393
0.13000	0.00254	0.00034	0.00152	0.00240	-0.00659
0.13200	0.00259	0.00052	0.00045	0.00131	-0.00442
0.13400	0.00259	0.00084	-0.00038	0.00071	-0.00492
0.13600	0.00259	-0.00057	0.00074	0.00079	-0.00444
0.13800	0.00259	-0.00029	-0.00060	0.00097	-0.00486
0.14000	0.00259	0.00009	-0.00095	0.00127	-0.00423
0.14200	0.00264	0.00072	-0.00021	0.00174	-0.00387
0.14400	0.00264	-0.00021	0.00176	0.00158	-0.00402
