/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_postexperiment
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	Wave calibration for interpolated OSWEC RAO runs. probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.  Naming convention: T(period)_A(actuator amp)_B(beach distance)
* Date and Time:	Tue 06 Jul 2021 03:55:34 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	0.00004	-2.04274	-1.96892	-0.47483	-0.45920
0.00200	0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00400	0.00000	-0.00246	0.00059	0.00022	-0.00852
0.00600	0.00160	0.00009	0.00041	-0.00027	-0.00910
0.00800	0.00160	-0.00063	-0.00049	0.00045	-0.00856
0.01000	0.00160	0.00018	-0.00105	0.00000	-0.00844
0.01200	0.00160	-0.00087	-0.00004	0.00084	-0.00560
0.01400	0.00160	0.00057	0.00168	0.00065	-0.00612
0.01600	0.00162	-0.00040	0.00204	0.00121	-0.00653
0.01800	0.00162	0.00029	0.00133	0.00070	-0.00634
0.02000	0.00162	0.00222	0.00017	0.00072	-0.00656
0.02200	0.00162	0.00187	0.00015	-0.00108	-0.00434
0.02400	0.00162	-0.00462	0.00148	0.00029	-0.00450
0.02600	0.00172	0.00084	-0.00024	0.00046	-0.00511
0.02800	0.00172	0.00056	-0.00084	0.00020	-0.00522
0.03000	0.00172	-0.00002	-0.00093	0.00024	-0.00652
0.03200	0.00172	0.00054	0.00247	0.00158	-0.00900
0.03400	0.00172	-0.00206	0.00365	0.00332	-0.00976
0.03600	0.00180	0.00100	-0.00050	0.00314	-0.01025
0.03800	0.00180	0.00039	-0.00017	0.00316	-0.00981
0.04000	0.00180	0.00054	-0.00091	0.00365	-0.01141
0.04200	0.00180	0.00001	-0.00026	0.00041	-0.01277
0.04400	0.00180	-0.00166	0.00146	0.00271	-0.01375
0.04600	0.00189	-0.00005	0.00185	0.00202	-0.01368
0.04800	0.00189	0.00028	0.00130	0.00206	-0.01389
0.05000	0.00189	0.00117	0.00052	0.00242	-0.01136
0.05200	0.00189	0.00288	0.00045	0.00204	-0.00628
0.05400	0.00189	0.00423	-0.00090	-0.00003	-0.00607
0.05600	0.00198	0.00010	-0.00062	-0.00001	-0.00588
0.05800	0.00198	0.00077	-0.00078	0.00021	-0.00576
0.06000	0.00198	0.00034	0.00002	0.00009	-0.00566
0.06200	0.00198	-0.00002	0.00278	0.00177	-0.00560
0.06400	0.00198	0.00222	0.00122	0.00164	-0.00577
0.06600	0.00207	-0.00006	0.00020	0.00186	-0.00538
0.06800	0.00207	0.00054	-0.00059	0.00104	-0.00560
0.07000	0.00207	0.00029	0.00040	0.00159	-0.00563
0.07200	0.00207	0.00035	-0.00046	0.00289	-0.00607
0.07400	0.00207	0.00221	-0.00073	0.00235	-0.00754
0.07600	0.00218	-0.00016	-0.00061	0.00255	-0.00580
0.07800	0.00218	0.00020	0.00138	0.00210	-0.00557
0.08000	0.00218	-0.00039	0.00195	0.00173	-0.00726
0.08200	0.00218	0.00228	0.00026	0.00125	-0.01100
0.08400	0.00218	0.00197	-0.00187	0.00219	-0.00939
0.08600	0.00226	0.00059	0.00095	0.00217	-0.01027
0.08800	0.00226	0.00037	-0.00045	0.00290	-0.01052
0.09000	0.00226	-0.00073	0.00051	0.00207	-0.01068
0.09200	0.00226	0.00126	0.00005	0.00206	-0.01334
0.09400	0.00226	0.00083	0.00017	0.00005	-0.01212
0.09600	0.00235	0.00055	0.00016	0.00024	-0.01253
0.09800	0.00235	0.00060	0.00041	0.00028	-0.01241
0.10000	0.00235	-0.00101	0.00096	-0.00012	-0.01013
0.10200	0.00235	0.00000	-0.00067	-0.00012	-0.00606
0.10400	0.00235	0.00062	-0.00227	-0.00015	-0.00531
0.10600	0.00244	0.00020	-0.00082	-0.00047	-0.00569
0.10800	0.00244	-0.00016	0.00026	-0.00020	-0.00564
0.11000	0.00244	0.00096	0.00241	-0.00072	-0.00633
0.11200	0.00244	0.00193	0.00040	-0.00019	-0.00554
0.11400	0.00244	0.00178	0.00056	0.00207	-0.00446
0.11600	0.00253	0.00261	-0.00016	0.00254	-0.00536
0.11800	0.00253	0.00093	-0.00049	0.00261	-0.00510
0.12000	0.00253	0.00107	-0.00088	0.00232	-0.00464
0.12200	0.00253	0.00035	-0.00074	0.00115	-0.00683
0.12400	0.00253	-0.00466	0.00288	0.00150	-0.00547
0.12600	0.00262	0.00039	0.00247	0.00145	-0.00681
0.12800	0.00262	0.00061	0.00028	0.00172	-0.00700
0.13000	0.00262	0.00044	0.00045	0.00134	-0.00930
0.13200	0.00262	0.00060	-0.00013	0.00178	-0.01384
0.13400	0.00262	0.00206	-0.00179	0.00244	-0.01411
0.13600	0.00270	0.00068	0.00005	0.00204	-0.01350
0.13800	0.00270	-0.00044	-0.00043	0.00230	-0.01337
0.14000	0.00270	0.00113	0.00004	0.00239	-0.01332
0.14200	0.00270	0.00043	0.00105	0.00110	-0.00931
0.14400	0.00270	0.00057	0.00077	0.00062	-0.00862
0.14600	0.00278	0.00306	-0.00024	0.00040	-0.00955
0.14800	0.00278	0.00158	-0.00023	0.00071	-0.00968
0.15000	0.00278	0.00017	-0.00034	0.00038	-0.00907
0.15200	0.00278	0.00085	-0.00013	0.00163	-0.00576
0.15400	0.00278	0.00328	-0.00211	0.00024	-0.00525
0.15600	0.00286	0.00093	0.00183	0.00034	-0.00582
0.15800	0.00286	0.00060	0.00080	0.00035	-0.00563
0.16000	0.00286	0.00055	0.00123	-0.00021	-0.00523
0.16200	0.00286	0.00060	-0.00067	-0.00006	-0.00504
0.16400	0.00286	-0.00207	0.00119	0.00240	-0.00447
0.16600	0.00294	-0.00016	0.00138	0.00251	-0.00527
0.16800	0.00294	0.00000	-0.00062	0.00250	-0.00511
0.17000	0.00294	0.00054	-0.00094	0.00275	-0.00537
0.17200	0.00294	0.00055	0.00135	0.00252	-0.00831
0.17400	0.00294	0.00343	-0.00002	0.00141	-0.00832
0.17600	0.00302	0.00299	0.00020	0.00117	-0.00795
0.17800	0.00302	0.00221	-0.00059	0.00134	-0.00807
0.18000	0.00302	0.00039	-0.00021	0.00129	-0.00769
0.18200	0.00302	0.00138	-0.00059	0.00147	-0.01368
0.18400	0.00302	0.00016	-0.00188	0.00224	-0.01371
0.18600	0.00309	0.00026	0.00030	0.00217	-0.01353
0.18800	0.00309	0.00012	0.00202	0.00208	-0.01368
0.19000	0.00309	-0.00076	0.00087	0.00218	-0.01348
0.19200	0.00309	-0.00010	-0.00026	0.00113	-0.00690
0.19400	0.00309	-0.00238	-0.00069	0.00118	-0.00686
0.19600	0.00315	0.00049	-0.00009	0.00077	-0.00718
0.19800	0.00315	-0.00022	-0.00024	0.00087	-0.00736
0.20000	0.00315	0.00141	-0.00105	0.00059	-0.00790
0.20200	0.00315	-0.00022	0.00093	0.00065	-0.00469
0.20400	0.00315	-0.00161	0.00329	0.00058	-0.00495
0.20600	0.00322	0.00127	0.00093	0.00084	-0.00525
