/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_postexperiment
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	Wave calibration for interpolated OSWEC RAO runs. probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.  Naming convention: T(period)_A(actuator amp)_B(beach distance)
* Date and Time:	Tue 06 Jul 2021 04:08:41 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	-0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00200	0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00400	0.00000	0.00066	-0.00094	0.00233	-0.00618
0.00600	0.00157	0.00066	-0.00094	0.00233	-0.00618
0.00800	0.00157	-0.00016	0.00180	0.00234	-0.00587
0.01000	0.00157	0.00135	0.00026	0.00192	-0.00172
0.01200	0.00157	0.00023	-0.00043	0.00181	-0.00192
0.01400	0.00160	-0.00028	-0.00065	0.00174	-0.00154
0.01600	0.00160	-0.00030	-0.00056	0.00178	-0.00174
0.01800	0.00160	0.00001	-0.00068	0.00072	-0.00145
0.02000	0.00160	-0.00032	-0.00050	0.00020	-0.00151
0.02200	0.00160	0.00190	0.00176	0.00050	-0.00162
0.02400	0.00160	0.00249	0.00172	0.00010	-0.00172
0.02600	0.00168	0.00076	-0.00007	0.00072	-0.00158
0.02800	0.00168	0.00094	-0.00048	0.00273	-0.00282
0.03000	0.00168	0.00082	-0.00093	0.00411	-0.00606
0.03200	0.00168	0.00067	-0.00068	0.00363	-0.00594
0.03400	0.00168	0.00085	-0.00024	0.00321	-0.00562
0.03600	0.00181	0.00045	-0.00141	0.00380	-0.00589
0.03800	0.00181	-0.00005	0.00148	0.00144	-0.00664
0.04000	0.00181	-0.00063	0.00135	-0.00033	-0.01132
0.04200	0.00181	0.00091	0.00020	0.00065	-0.01135
0.04400	0.00181	-0.00016	-0.00013	0.00053	-0.01151
0.04600	0.00192	0.00040	0.00002	0.00036	-0.01124
0.04800	0.00192	0.00030	-0.00021	0.00173	-0.01132
0.05000	0.00192	0.00037	-0.00090	0.00289	-0.00658
0.05200	0.00192	0.00017	0.00021	0.00219	-0.00311
0.05400	0.00192	0.00266	0.00196	0.00157	-0.00345
0.05600	0.00201	0.00245	0.00148	0.00199	-0.00332
0.05800	0.00201	0.00085	-0.00009	0.00153	-0.00300
0.06000	0.00201	0.00029	-0.00135	0.00020	-0.00252
0.06200	0.00201	0.00105	-0.00030	0.00019	-0.00111
0.06400	0.00201	-0.00032	-0.00028	0.00041	-0.00139
0.06600	0.00211	0.00017	-0.00059	-0.00002	-0.00125
0.06800	0.00211	0.00023	0.00024	0.00063	-0.00170
0.07000	0.00211	-0.00033	0.00149	0.00074	-0.00130
0.07200	0.00211	0.00012	0.00117	0.00052	-0.00156
0.07400	0.00211	0.00015	-0.00035	0.00048	-0.00118
0.07600	0.00222	-0.00039	-0.00089	0.00044	-0.00131
