/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_postexperiment
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	Wave calibration for interpolated OSWEC RAO runs. probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.  Naming convention: T(period)_A(actuator amp)_B(beach distance)
* Date and Time:	Tue 06 Jul 2021 05:33:55 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	-0.00002	-2.04274	-1.96892	-0.47483	-0.45920
0.00200	0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00400	0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00600	0.00000	-0.00043	0.00023	0.00198	-0.00359
0.00800	0.00000	0.00009	0.00107	0.00099	0.00048
0.01000	0.00000	0.00039	0.00002	0.00042	0.00027
0.01200	0.00424	-0.00030	-0.00045	0.00107	0.00066
0.01400	0.00424	0.00026	-0.00005	0.00062	0.00051
0.01600	0.00424	-0.00032	-0.00060	0.00057	0.00037
0.01800	0.00424	-0.00034	-0.00090	0.00021	-0.00008
0.02000	0.00424	0.00126	-0.00007	0.00015	0.00148
0.02200	0.00439	0.00165	0.00460	0.00017	0.00000
0.02400	0.00439	0.00041	0.00139	0.00040	0.00018
0.02600	0.00439	0.00089	0.00029	0.00122	0.00031
0.02800	0.00439	0.00009	0.00004	0.00131	-0.00279
0.03000	0.00439	-0.00061	-0.00124	0.00039	-0.00106
0.03200	0.00457	-0.00077	-0.00032	0.00191	-0.00301
0.03400	0.00457	-0.00006	-0.00030	0.00227	-0.00291
0.03600	0.00457	-0.00022	0.00169	0.00207	-0.00262
0.03800	0.00457	-0.00030	0.00206	0.00168	-0.00456
0.04000	0.00457	-0.00088	0.00107	0.00260	-0.00490
0.04200	0.00479	0.00074	0.00033	0.00191	-0.00441
0.04400	0.00479	-0.00065	-0.00005	0.00178	-0.00437
0.04600	0.00479	-0.00039	-0.00030	0.00208	-0.00455
0.04800	0.00479	-0.00021	-0.00001	0.00218	0.00059
0.05000	0.00479	-0.00108	0.00023	0.00236	0.00119
0.05200	0.00496	0.00208	0.00219	0.00220	0.00012
0.05400	0.00496	0.00139	0.00174	0.00224	0.00010
0.05600	0.00496	0.00076	0.00026	0.00233	0.00037
0.05800	0.00496	0.00009	-0.00046	0.00030	0.00060
0.06000	0.00496	0.00028	-0.00023	0.00027	-0.00032
0.06200	0.00514	0.00065	-0.00400	-0.00021	0.00078
0.06400	0.00514	0.00024	0.00012	-0.00036	0.00078
0.06600	0.00514	-0.00005	-0.00091	-0.00017	0.00094
0.06800	0.00514	-0.00038	0.00143	-0.00003	0.00099
0.07000	0.00514	-0.00113	0.00212	-0.00040	0.00104
0.07200	0.00533	-0.00316	0.00377	-0.00003	0.00125
0.07400	0.00533	0.00009	-0.00012	-0.00010	0.00122
0.07600	0.00533	0.00024	-0.00038	-0.00018	0.00098
0.07800	0.00533	-0.00017	-0.00077	0.00098	-0.00448
0.08000	0.00533	-0.00168	0.00015	0.00074	-0.00347
0.08200	0.00551	0.00020	0.00077	0.00100	-0.00450
0.08400	0.00551	0.00173	0.00243	0.00071	-0.00473
0.08600	0.00551	0.00105	0.00167	0.00067	-0.00465
0.08800	0.00551	-0.00006	-0.00067	0.00188	-0.00513
0.09000	0.00551	0.00121	-0.00065	0.00164	-0.00593
0.09200	0.00571	-0.00017	-0.00148	0.00134	-0.00506
0.09400	0.00571	0.00022	-0.00049	0.00154	-0.00510
0.09600	0.00571	-0.00038	-0.00024	0.00128	-0.00502
0.09800	0.00571	-0.00026	0.00029	0.00045	-0.00074
0.10000	0.00571	0.00066	0.00133	0.00051	-0.00191
0.10200	0.00586	0.00088	-0.00052	-0.00008	-0.00111
0.10400	0.00586	-0.00074	0.00013	0.00015	-0.00079
0.10600	0.00586	0.00015	-0.00022	0.00062	-0.00014
0.10800	0.00586	-0.00022	-0.00060	0.00009	0.00149
