/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_CV
* Project Lead:	JN
* Labview Operator:	JD
* Comments:	probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Fri 07 May 2021 04:11:36 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	-0.00000	-1.98684	-1.98014	-0.00045	-0.38915
0.00200	0.00000	-1.98684	-1.98014	-0.00045	-0.38915
0.00400	0.00000	-1.98684	-1.98014	-0.00045	-0.38915
0.00600	0.00035	0.00044	-0.00101	0.00020	0.00553
0.00800	0.00035	-0.00091	0.00065	0.00013	0.00438
0.01000	0.00035	-0.00012	0.00111	0.00000	0.00383
0.01200	0.00035	-0.00091	0.00166	0.00020	0.00329
0.01400	0.00035	-0.00034	0.00035	0.00011	0.00340
0.01600	0.00035	0.00173	0.00138	0.00000	0.00322
0.01800	0.00035	-0.00111	0.00228	0.00000	0.00124
0.02000	0.00035	-0.00007	0.00146	0.00010	-0.00444
0.02200	0.00035	0.00068	0.00048	0.00059	-0.00419
0.02400	0.00035	0.00071	0.00162	0.00032	-0.00486
0.02600	0.00036	0.00307	0.00102	0.00000	-0.00431
0.02800	0.00036	0.00184	0.00107	0.00000	-0.00375
0.03000	0.00036	0.00169	0.00110	0.00000	0.00048
0.03200	0.00036	-0.00015	0.00277	0.00000	0.00016
0.03400	0.00036	-0.00250	0.00277	0.00012	0.00020
0.03600	0.00037	-0.00050	0.00260	0.00000	-0.00014
0.03800	0.00037	0.00067	0.00102	0.00001	0.00122
0.04000	0.00037	-0.00071	0.00065	0.00000	0.00497
0.04200	0.00037	-0.00057	0.00029	0.00073	0.00567
0.04400	0.00037	0.00090	0.00035	0.00028	0.00490
0.04600	0.00037	0.00239	0.00369	0.00015	0.00504
0.04800	0.00037	-0.00024	0.00322	0.00000	0.00443
0.05000	0.00037	-0.00116	0.00161	0.00000	0.00538
0.05200	0.00037	-0.00093	0.00043	0.00072	0.00565
0.05400	0.00037	0.00244	0.00106	0.00027	0.00546
0.05600	0.00037	0.00477	0.00557	0.00031	0.00540
0.05800	0.00037	0.00076	0.00085	0.00012	0.00570
0.06000	0.00037	0.00229	0.00098	0.00000	0.00040
0.06200	0.00037	-0.00013	0.00350	0.00014	-0.00023
0.06400	0.00037	-0.00029	0.00357	0.00012	0.00074
0.06600	0.00037	-0.00001	0.00072	0.00000	-0.00061
0.06800	0.00037	-0.00063	0.00133	0.00000	0.00068
0.07000	0.00037	-0.00067	0.00128	0.00000	-0.00339
0.07200	0.00037	-0.00132	0.00074	0.00000	-0.00293
0.07400	0.00037	0.00039	0.00101	0.00012	-0.00320
0.07600	0.00037	-0.00004	-0.00023	0.00016	-0.00384
0.07800	0.00037	-0.00122	0.00319	0.00000	-0.00379
0.08000	0.00037	-0.00056	0.00296	0.00000	0.00202
0.08200	0.00037	0.00078	0.00237	0.00000	0.00240
0.08400	0.00037	-0.00194	0.00190	0.00000	0.00189
0.08600	0.00037	-0.00333	0.00204	0.00003	0.00223
0.08800	0.00037	-0.00020	0.00080	0.00006	0.00230
0.09000	0.00037	0.00279	0.00172	0.00000	0.00410
0.09200	0.00037	0.00145	0.00034	0.00000	0.00374
0.09400	0.00037	-0.00110	0.00327	0.00018	0.00404
0.09600	0.00037	-0.00023	0.00196	0.00003	0.00374
0.09800	0.00037	0.00068	0.00167	0.00017	0.00447
0.10000	0.00037	-0.00012	0.00080	0.00000	0.00538
0.10200	0.00037	-0.00044	0.00123	0.00009	0.00561
0.10400	0.00037	-0.00333	0.00065	0.00000	0.00554
