/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_postexperiment
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	Wave calibration for interpolated OSWEC RAO runs. probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.  Naming convention: T(period)_A(actuator amp)_B(beach distance)
* Date and Time:	Tue 06 Jul 2021 03:19:25 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	-0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00200	0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00400	0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00600	0.00000	0.00080	-0.00048	-0.00063	-0.00358
0.00800	0.00000	0.00051	0.00152	-0.00030	-0.00382
0.01000	0.00225	0.00023	0.00141	-0.00106	-0.00397
0.01200	0.00225	0.00049	0.00034	-0.00049	-0.00350
0.01400	0.00225	0.00010	0.00030	-0.00127	-0.00361
0.01600	0.00225	0.00010	0.00041	-0.00095	-0.00269
0.01800	0.00225	0.00040	-0.00048	-0.00056	-0.00360
0.02000	0.00225	-0.00004	0.00011	-0.00106	-0.00372
0.02200	0.00229	-0.00022	-0.00079	-0.00088	-0.00216
0.02400	0.00229	0.00048	0.00285	-0.00028	-0.00242
0.02600	0.00229	0.00168	0.00304	0.00022	-0.00218
0.02800	0.00229	0.00257	0.00034	-0.00021	-0.00242
0.03000	0.00229	0.00183	-0.00000	-0.00014	-0.00208
0.03200	0.00236	-0.00021	-0.00055	-0.00032	-0.00588
0.03400	0.00236	0.00113	-0.00011	-0.00023	-0.00762
0.03600	0.00236	0.00017	0.00029	-0.00036	-0.00804
0.03800	0.00236	0.00106	-0.00067	0.00007	-0.00767
0.04000	0.00236	0.00060	0.00204	-0.00033	-0.00792
0.04200	0.00241	0.00006	0.00132	-0.00009	-0.00809
0.04400	0.00241	0.00009	0.00026	0.00103	-0.00798
0.04600	0.00241	0.00063	-0.00059	0.00116	-0.00831
0.04800	0.00241	0.00069	-0.00030	0.00088	-0.00771
0.05000	0.00241	0.00068	-0.00007	0.00109	-0.00797
0.05200	0.00246	0.00050	-0.00034	0.00079	-0.00527
0.05400	0.00246	0.00060	-0.00004	-0.00107	-0.00327
0.05600	0.00246	-0.00015	0.00196	-0.00101	-0.00314
0.05800	0.00246	0.00336	0.00123	-0.00140	-0.00357
0.06000	0.00246	0.00269	-0.00018	-0.00113	-0.00303
0.06200	0.00250	0.00074	0.00029	-0.00158	-0.00248
0.06400	0.00250	0.00084	-0.00074	-0.00058	-0.00163
0.06600	0.00250	-0.00001	0.00016	-0.00071	-0.00192
0.06800	0.00250	0.00045	-0.00068	-0.00043	-0.00216
0.07000	0.00250	0.00072	0.00023	0.00105	-0.00200
0.07200	0.00253	0.00010	0.00215	-0.00064	-0.00352
0.07400	0.00253	0.00060	0.00089	0.00003	-0.00458
0.07600	0.00253	-0.00005	0.00016	-0.00036	-0.00531
