/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_postexperiment
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	Wave calibration for interpolated OSWEC RAO runs. probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.  Naming convention: T(period)_A(actuator amp)_B(beach distance)
* Date and Time:	Tue 06 Jul 2021 04:51:53 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00200	0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00400	0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00600	0.00000	0.00023	-0.00062	0.00289	-0.00209
0.00800	0.00383	-0.00016	-0.00071	0.00316	-0.00754
0.01000	0.00383	0.00011	0.00113	0.00259	-0.00755
0.01200	0.00383	-0.00074	0.00213	0.00427	-0.00608
0.01400	0.00383	0.00017	0.00033	0.00356	-0.00761
0.01600	0.00383	-0.00051	-0.00057	0.00310	-0.00790
0.01800	0.00391	0.00315	-0.00026	0.00320	-0.01190
0.02000	0.00391	0.00258	-0.00045	0.00052	-0.01164
0.02200	0.00391	0.00146	-0.00065	-0.00056	-0.01109
0.02400	0.00391	0.00067	-0.00049	0.00073	-0.01149
0.02600	0.00391	-0.00005	0.00216	0.00055	-0.01186
0.02800	0.00408	-0.00015	0.00151	0.00071	-0.00377
0.03000	0.00408	-0.00001	0.00015	-0.00015	-0.00364
0.03200	0.00408	0.00143	-0.00128	-0.00126	-0.00289
0.03400	0.00408	-0.00012	-0.00057	0.00014	-0.00378
0.03600	0.00408	0.00028	0.00001	-0.00006	-0.00359
0.03800	0.00421	-0.00001	-0.00061	0.00005	-0.00243
0.04000	0.00421	0.00009	-0.00085	0.00159	-0.00281
0.04200	0.00421	0.00178	0.00228	0.00067	-0.00378
0.04400	0.00421	0.00039	0.00078	0.00029	-0.00273
0.04600	0.00421	-0.00112	-0.00020	0.00050	-0.00244
0.04800	0.00436	0.00126	-0.00038	0.00052	-0.00393
0.05000	0.00436	0.00256	-0.00033	0.00319	-0.00368
0.05200	0.00436	0.00107	-0.00132	0.00612	-0.00612
0.05400	0.00436	0.00043	-0.00098	0.00362	-0.00365
0.05600	0.00436	0.00012	0.00050	0.00358	-0.00393
0.05800	0.00450	0.00032	0.00207	0.00370	-0.01049
0.06000	0.00450	-0.00009	0.00071	0.00438	-0.01131
0.06200	0.00450	-0.00030	-0.00055	0.00414	-0.01165
0.06400	0.00450	-0.00018	-0.00029	0.00301	-0.01112
0.06600	0.00450	0.00037	-0.00048	0.00251	-0.01080
0.06800	0.00463	-0.00002	-0.00038	0.00273	-0.00926
0.07000	0.00463	-0.00029	-0.00104	0.00142	-0.00904
0.07200	0.00463	0.00022	-0.00048	-0.00109	-0.00914
0.07400	0.00463	-0.00110	0.00163	0.00045	-0.00913
0.07600	0.00463	0.00013	0.00060	0.00036	-0.00914
