/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_postexperiment
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	Wave calibration for interpolated OSWEC RAO runs. probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.  Naming convention: T(period)_A(actuator amp)_B(beach distance)
* Date and Time:	Tue 06 Jul 2021 05:20:20 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	0.00002	-2.04274	-1.96892	-0.47483	-0.45920
0.00200	0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00400	0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00600	0.00000	0.00041	0.00207	-0.00041	0.00041
0.00800	0.00000	0.00302	0.00122	0.00027	-0.00192
0.01000	0.00000	0.00176	-0.00029	0.00021	-0.00267
0.01200	0.00438	0.00011	-0.00065	0.00053	-0.00207
0.01400	0.00438	0.00099	-0.00071	0.00013	-0.00301
0.01600	0.00438	0.00154	-0.00016	0.00019	-0.00287
0.01800	0.00438	-0.00027	-0.00052	0.00060	-0.00459
0.02000	0.00438	-0.00038	0.00169	0.00034	-0.00478
0.02200	0.00454	-0.00026	0.00163	0.00019	-0.00488
0.02400	0.00454	0.00034	0.00057	-0.00050	-0.00467
0.02600	0.00454	-0.00110	0.00012	-0.00047	-0.00405
0.02800	0.00454	0.00012	-0.00069	0.00149	-0.00182
0.03000	0.00454	0.00038	-0.00056	0.00157	-0.00169
0.03200	0.00474	0.00005	-0.00005	0.00122	-0.00144
0.03400	0.00474	-0.00061	0.00018	0.00181	-0.00137
0.03600	0.00474	0.00002	0.00005	0.00115	0.00010
0.03800	0.00474	0.00195	0.00148	0.00021	-0.00066
0.04000	0.00474	0.00263	-0.00009	0.00057	-0.00079
0.04200	0.00492	0.00082	-0.00002	0.00031	-0.00077
0.04400	0.00492	-0.00021	-0.00022	-0.00120	0.00014
0.04600	0.00492	-0.00073	-0.00087	0.00050	0.00166
0.04800	0.00492	-0.00005	-0.00039	0.00039	0.00029
0.05000	0.00492	0.00041	-0.00016	0.00037	0.00050
0.05200	0.00510	-0.00040	0.00212	0.00013	0.00010
0.05400	0.00510	-0.00033	0.00116	-0.00087	0.00088
0.05600	0.00510	-0.00083	0.00059	0.00021	0.00146
0.05800	0.00510	-0.00051	-0.00059	-0.00020	-0.00298
0.06000	0.00510	-0.00027	-0.00033	-0.00007	-0.00455
0.06200	0.00529	-0.00022	-0.00045	-0.00026	-0.00428
0.06400	0.00529	0.00018	-0.00016	0.00069	-0.00509
0.06600	0.00529	-0.00030	0.00038	0.00041	-0.00554
0.06800	0.00529	-0.00010	0.00202	0.00188	-0.00608
0.07000	0.00529	0.00297	0.00089	0.00179	-0.00661
0.07200	0.00548	0.00188	0.00011	0.00217	-0.00675
0.07400	0.00548	0.00083	0.00039	0.00255	-0.00676
0.07600	0.00548	0.00071	-0.00140	0.00140	-0.00759
0.07800	0.00548	-0.00035	-0.00068	0.00107	-0.00368
0.08000	0.00548	0.00066	-0.00076	0.00122	0.00001
0.08200	0.00568	0.00071	0.00035	0.00121	0.00000
0.08400	0.00568	-0.00056	0.00223	0.00025	0.00087
0.08600	0.00568	-0.00217	0.00030	0.00077	0.00163
0.08800	0.00568	0.00000	0.00013	0.00139	0.00070
0.09000	0.00568	0.00007	-0.00020	0.00083	0.00165
0.09200	0.00583	0.00049	-0.00021	0.00085	0.00126
0.09400	0.00583	-0.00032	0.00005	-0.00109	0.00176
0.09600	0.00583	-0.00122	-0.00162	0.00134	0.00321
0.09800	0.00583	-0.00007	0.00195	0.00052	0.00047
0.10000	0.00583	0.00113	0.00169	0.00041	0.00019
0.10200	0.00601	0.00282	0.00082	-0.00002	0.00038
0.10400	0.00601	0.00049	-0.00005	-0.00061	0.00107
0.10600	0.00601	-0.00044	-0.00063	0.00036	0.00095
0.10800	0.00601	0.00023	-0.00063	0.00113	-0.00161
