/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_CV
* Project Lead:	JN
* Labview Operator:	JD
* Comments:	probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Fri 07 May 2021 04:08:21 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	0.00000	-1.98684	-1.98014	-0.00045	-0.38915
0.00200	0.00000	-1.98684	-1.98014	-0.00045	-0.38915
0.00400	0.00000	-1.98684	-1.98014	-0.00045	-0.38915
0.00600	0.00000	-0.00074	0.00129	0.00006	-0.00349
0.00800	0.00009	-0.00013	0.00313	0.00000	-0.00391
0.01000	0.00009	-0.00091	0.00023	0.00015	-0.00465
0.01200	0.00009	0.00046	0.00094	0.00000	-0.00352
0.01400	0.00009	0.00174	0.00113	0.00018	0.00291
0.01600	0.00009	0.00206	0.00074	0.00000	0.00257
0.01800	0.00009	0.00060	0.00100	0.00000	0.00227
0.02000	0.00009	-0.00102	0.00172	0.00019	0.00253
0.02200	0.00009	-0.00045	0.00313	0.00000	0.00221
0.02400	0.00009	0.00020	0.00196	0.00006	0.00407
0.02600	0.00009	-0.00055	0.00130	0.00016	0.00454
0.02800	0.00008	-0.00055	0.00027	0.00019	0.00387
0.03000	0.00008	0.00012	0.00027	0.00023	0.00439
0.03200	0.00008	0.00021	0.00116	0.00000	0.00421
0.03400	0.00008	-0.00038	-0.00043	0.00000	0.00466
0.03600	0.00008	0.00012	0.00207	0.00006	0.00544
0.03800	0.00007	-0.00038	0.00184	0.00012	0.00507
0.04000	0.00007	-0.00101	0.00279	0.00005	0.00399
0.04200	0.00007	-0.00013	0.00101	0.00000	0.00443
0.04400	0.00007	-0.00044	0.00118	0.00003	0.00042
0.04600	0.00007	0.00232	-0.00004	0.00000	0.00007
0.04800	0.00003	0.00173	-0.00018	0.00000	-0.00018
0.05000	0.00003	-0.00020	0.00071	0.00000	0.00026
0.05200	0.00003	-0.00071	0.00238	0.00000	-0.00000
0.05400	0.00003	-0.00066	0.00243	0.00023	-0.00134
0.05600	0.00003	-0.00027	0.00233	0.00000	-0.00172
0.05800	-0.00000	0.00018	0.00158	0.00006	-0.00154
0.06000	-0.00000	-0.00185	-0.00034	0.00021	-0.00125
0.06200	-0.00000	-0.00012	0.00289	0.00018	-0.00027
0.06400	-0.00000	-0.00088	0.00128	0.00000	0.00374
0.06600	-0.00000	-0.00060	0.00083	0.00000	0.00356
0.06800	-0.00003	0.00055	0.00278	0.00000	0.00356
0.07000	-0.00003	-0.00088	0.00302	0.00019	0.00269
0.07200	-0.00003	-0.00032	-0.00033	0.00006	0.00325
0.07400	-0.00003	-0.00040	0.00111	0.00000	0.00399
0.07600	-0.00003	-0.00054	-0.00024	0.00004	0.00415
0.07800	-0.00005	0.00199	0.00072	0.00010	0.00387
0.08000	-0.00005	0.00095	0.00113	0.00030	0.00367
0.08200	-0.00005	-0.00137	-0.00022	0.00000	0.00312
0.08400	-0.00005	-0.00060	0.00313	0.00000	0.00548
0.08600	-0.00005	-0.00023	0.00294	0.00000	0.00523
0.08800	-0.00006	0.00073	0.00193	0.00012	0.00547
0.09000	-0.00006	-0.00017	0.00090	0.00025	0.00565
0.09200	-0.00006	0.00082	0.00121	0.00000	0.00632
0.09400	-0.00006	-0.00118	0.00180	0.00029	0.00052
0.09600	-0.00006	0.00011	0.00127	0.00012	0.00021
0.09800	-0.00007	-0.00057	0.00089	0.00000	-0.00030
0.10000	-0.00007	-0.00101	0.00378	0.00000	-0.00072
0.10200	-0.00007	-0.00163	0.00202	0.00000	-0.00103
