/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_postexperiment
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	Wave calibration for interpolated OSWEC RAO runs. probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.  Naming convention: T(period)_A(actuator amp)_B(beach distance)
* Date and Time:	Tue 06 Jul 2021 03:13:45 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00200	0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00400	0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00600	0.00000	0.00219	0.00447	-0.00196	-0.00337
0.00800	0.00000	0.00072	0.00006	-0.00134	-0.00338
0.01000	0.00000	-0.00020	-0.00037	-0.00099	-0.00311
0.01200	0.00199	0.00110	0.00072	-0.00148	-0.00239
0.01400	0.00199	0.00018	0.00135	-0.00025	-0.00268
0.01600	0.00199	0.00087	-0.00052	-0.00106	-0.00274
0.01800	0.00199	0.00028	-0.00030	-0.00059	-0.00276
0.02000	0.00199	0.00007	0.00149	-0.00047	-0.01243
0.02200	0.00206	-0.00099	0.00215	-0.00166	-0.01055
0.02400	0.00206	0.00122	0.00079	-0.00010	-0.01178
0.02600	0.00206	0.00132	-0.00030	-0.00020	-0.01140
0.02800	0.00206	0.00051	-0.00015	0.00060	-0.01194
0.03000	0.00206	-0.00024	-0.00002	-0.00007	-0.00934
0.03200	0.00211	0.00116	-0.00013	0.00000	-0.00757
0.03400	0.00211	0.00208	0.00143	0.00095	-0.00918
0.03600	0.00211	0.00222	0.00045	0.00118	-0.00944
0.03800	0.00211	0.00129	0.00171	0.00029	-0.00899
0.04000	0.00211	0.00013	0.00006	-0.00104	-0.00387
0.04200	0.00217	0.00041	0.00002	0.00017	-0.00341
0.04400	0.00217	0.00152	-0.00177	-0.00101	-0.00295
0.04600	0.00217	0.00121	-0.00101	-0.00112	-0.00332
0.04800	0.00217	0.00002	-0.00030	-0.00079	-0.00324
0.05000	0.00217	0.00133	0.00094	-0.00044	-0.00161
0.05200	0.00223	0.00005	0.00194	0.00059	-0.00176
0.05400	0.00223	0.00176	0.00122	-0.00087	-0.00206
0.05600	0.00223	0.00007	0.00093	-0.00062	-0.00098
0.05800	0.00223	0.00038	-0.00016	-0.00026	-0.00150
0.06000	0.00223	0.00028	-0.00001	0.00010	-0.00456
0.06200	0.00229	0.00079	-0.00027	-0.00158	-0.00415
0.06400	0.00229	0.00030	-0.00207	0.00004	-0.00473
0.06600	0.00229	0.00330	-0.00101	0.00071	-0.00450
0.06800	0.00229	0.00129	0.00163	-0.00028	-0.00487
0.07000	0.00229	0.00111	0.00157	0.00089	-0.00910
0.07200	0.00235	0.00189	-0.00010	0.00010	-0.01254
0.07400	0.00235	0.00135	-0.00076	0.00071	-0.01139
0.07600	0.00235	0.00121	-0.00065	0.00101	-0.01170
