/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_postexperiment
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	Wave calibration for interpolated OSWEC RAO runs. probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.  Naming convention: T(period)_A(actuator amp)_B(beach distance)
* Date and Time:	Tue 06 Jul 2021 04:06:04 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	0.00004	-2.04274	-1.96892	-0.47483	-0.45920
0.00200	0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00400	0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00600	0.00000	0.00056	-0.00089	0.00211	-0.01155
0.00800	0.00000	0.00193	0.00385	-0.00017	-0.00545
0.01000	0.00000	0.00043	0.00124	-0.00037	-0.00560
0.01200	0.00000	0.00080	-0.00040	-0.00034	-0.00530
0.01400	0.00186	0.00022	0.00029	0.00050	-0.00552
0.01600	0.00186	0.00037	-0.00056	0.00080	-0.00645
0.01800	0.00186	0.00006	-0.00126	0.00049	-0.00410
0.02000	0.00186	0.00000	-0.00104	0.00051	-0.00455
0.02200	0.00186	0.00021	-0.00049	0.00054	-0.00503
0.02400	0.00198	-0.00116	0.00118	-0.00034	-0.00471
0.02600	0.00198	-0.00184	0.00127	0.00097	-0.00375
0.02800	0.00198	0.00038	0.00244	0.00036	-0.00378
0.03000	0.00198	0.00015	-0.00066	-0.00023	-0.00383
0.03200	0.00198	0.00054	-0.00024	-0.00042	-0.00405
0.03400	0.00207	0.00069	-0.00016	0.00018	-0.00431
0.03600	0.00207	0.00245	-0.00030	-0.00003	-0.00797
0.03800	0.00207	0.00288	-0.00133	-0.00063	-0.01226
0.04000	0.00207	0.00133	0.00177	0.00263	-0.01218
0.04200	0.00207	0.00110	0.00061	0.00239	-0.01200
0.04400	0.00218	0.00041	-0.00124	0.00154	-0.01172
0.04600	0.00218	-0.00117	0.00091	0.00306	-0.01140
0.04800	0.00218	0.00113	-0.00011	0.00235	-0.00982
0.05000	0.00218	0.00054	-0.00052	0.00184	-0.01029
0.05200	0.00218	-0.00026	-0.00101	0.00130	-0.01020
0.05400	0.00228	0.00041	0.00030	0.00252	-0.01037
0.05600	0.00228	0.00020	0.00165	0.00153	-0.00967
0.05800	0.00228	-0.00105	0.00123	0.00109	-0.00444
0.06000	0.00228	-0.00009	0.00013	-0.00019	-0.00444
0.06200	0.00228	-0.00034	-0.00066	-0.00077	-0.00386
0.06400	0.00239	-0.00138	0.00028	-0.00195	-0.00218
0.06600	0.00239	0.00010	0.00127	-0.00054	-0.00365
0.06800	0.00239	0.00188	-0.00088	-0.00044	-0.00407
0.07000	0.00239	0.00252	0.00171	0.00245	-0.00366
0.07200	0.00239	0.00035	0.00124	0.00300	-0.00364
0.07400	0.00252	0.00020	0.00130	0.00338	-0.00390
0.07600	0.00252	0.00011	-0.00069	0.00245	-0.00386
0.07800	0.00252	0.00007	0.00026	0.00300	-0.00488
0.08000	0.00252	0.00005	-0.00050	-0.00058	-0.00539
0.08200	0.00252	-0.00007	-0.00158	-0.00167	-0.00486
0.08400	0.00261	-0.00221	-0.00033	-0.00089	-0.00474
0.08600	0.00261	-0.00080	0.00304	-0.00070	-0.00630
0.08800	0.00261	0.00135	0.00177	-0.00157	-0.01224
0.09000	0.00261	0.00033	-0.00006	0.00221	-0.01247
0.09200	0.00261	-0.00009	-0.00005	0.00410	-0.01272
0.09400	0.00271	0.00044	0.00046	0.00314	-0.01331
0.09600	0.00271	0.00017	-0.00116	0.00229	-0.01231
0.09800	0.00271	-0.00057	-0.00060	0.00236	-0.00670
0.10000	0.00271	0.00375	-0.00066	0.00068	-0.00695
0.10200	0.00271	0.00197	0.00183	-0.00002	-0.00686
0.10400	0.00281	-0.00169	0.00274	0.00096	-0.00692
0.10600	0.00281	0.00041	0.00206	0.00050	-0.00638
0.10800	0.00281	-0.00011	0.00006	0.00048	-0.00383
0.11000	0.00281	-0.00032	-0.00093	0.00034	-0.00351
0.11200	0.00281	0.00030	-0.00061	0.00056	-0.00335
0.11400	0.00291	0.00495	-0.00245	0.00031	-0.00513
0.11600	0.00291	-0.00023	-0.00116	-0.00007	-0.00355
0.11800	0.00291	0.00089	0.00216	0.00038	-0.00561
0.12000	0.00291	-0.00024	0.00073	0.00086	-0.00550
0.12200	0.00291	-0.00037	-0.00037	0.00124	-0.00588
0.12400	0.00303	0.00123	-0.00135	0.00189	-0.00729
0.12600	0.00303	0.00156	-0.00234	0.00138	-0.00532
0.12800	0.00303	0.00090	-0.00061	0.00156	-0.00787
0.13000	0.00303	0.00180	-0.00048	0.00366	-0.00776
0.13200	0.00303	0.00284	0.00057	0.00415	-0.00804
0.13400	0.00312	0.00200	0.00119	0.00401	-0.00805
0.13600	0.00312	0.00061	-0.00079	0.00365	-0.00784
0.13800	0.00312	-0.00060	0.00022	0.00353	-0.01174
0.14000	0.00312	0.00046	-0.00061	0.00223	-0.01204
0.14200	0.00312	0.00065	-0.00030	0.00277	-0.01237
0.14400	0.00321	-0.00000	-0.00090	0.00292	-0.01305
0.14600	0.00321	0.00210	-0.00324	0.00244	-0.01206
0.14800	0.00321	-0.00009	-0.00004	0.00217	-0.00651
0.15000	0.00321	0.00027	0.00143	0.00027	-0.00614
0.15200	0.00321	0.00015	0.00037	0.00053	-0.00626
0.15400	0.00330	0.00091	-0.00088	0.00116	-0.00686
0.15600	0.00330	0.00357	-0.00538	0.00038	-0.00499
0.15800	0.00330	-0.00015	-0.00077	0.00125	-0.00363
0.16000	0.00330	0.00049	-0.00066	0.00177	-0.00377
0.16200	0.00330	0.00339	-0.00048	0.00153	-0.00414
0.16400	0.00339	0.00239	0.00200	-0.00055	-0.00302
0.16600	0.00339	-0.00178	0.00363	0.00138	-0.00398
0.16800	0.00339	0.00068	-0.00021	0.00156	-0.00492
0.17000	0.00339	0.00094	-0.00010	0.00194	-0.00392
0.17200	0.00339	0.00100	-0.00020	0.00198	-0.00406
0.17400	0.00349	-0.00021	-0.00030	0.00108	-0.00315
0.17600	0.00349	-0.00143	0.00099	0.00180	-0.00357
0.17800	0.00349	0.00039	-0.00127	0.00223	-0.00729
0.18000	0.00349	-0.00029	0.00167	0.00309	-0.00853
0.18200	0.00349	0.00012	0.00168	0.00342	-0.00854
0.18400	0.00357	-0.00004	0.00012	0.00355	-0.00880
0.18600	0.00357	0.00178	-0.00145	0.00316	-0.00884
0.18800	0.00357	-0.00051	-0.00026	0.00304	-0.01064
0.19000	0.00357	0.00059	-0.00026	0.00230	-0.01154
0.19200	0.00357	0.00100	-0.00040	0.00211	-0.01148
0.19400	0.00365	0.00380	0.00029	0.00237	-0.01130
0.19600	0.00365	0.00306	-0.00004	0.00135	-0.01160
0.19800	0.00365	-0.00044	-0.00115	0.00114	-0.00888
0.20000	0.00365	0.00011	-0.00060	0.00079	-0.00510
0.20200	0.00365	0.00041	-0.00080	0.00008	-0.00482
0.20400	0.00374	0.00023	-0.00030	0.00077	-0.00524
