/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_postexperiment
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	Wave calibration for interpolated OSWEC RAO runs. probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.  Naming convention: T(period)_A(actuator amp)_B(beach distance)
* Date and Time:	Tue 06 Jul 2021 04:12:00 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	-0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00200	0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00400	0.00000	-2.04274	-1.96892	-0.47483	-0.45920
0.00600	0.00000	0.00007	0.00166	0.00125	-0.01077
0.00800	0.00000	0.00072	-0.00227	0.00087	-0.01084
0.01000	0.00282	0.00024	-0.00030	-0.00056	-0.01102
0.01200	0.00282	-0.00032	-0.00040	-0.00048	-0.01078
0.01400	0.00282	0.00039	-0.00138	0.00045	-0.01101
0.01600	0.00282	-0.00041	-0.00093	-0.00157	-0.00407
0.01800	0.00282	-0.00128	0.00273	-0.00058	-0.00406
0.02000	0.00290	0.00099	0.00119	0.00315	-0.00420
0.02200	0.00290	0.00315	0.00038	0.00317	-0.00447
0.02400	0.00290	0.00207	-0.00002	0.00360	-0.00378
0.02600	0.00290	0.00187	-0.00094	0.00435	-0.00463
0.02800	0.00290	0.00154	-0.00199	0.00338	-0.00368
0.03000	0.00301	0.00038	-0.00034	0.00260	-0.00335
0.03200	0.00301	0.00001	0.00005	0.00260	-0.00332
0.03400	0.00301	0.00115	0.00059	0.00282	-0.00353
0.03600	0.00301	0.00139	0.00139	0.00327	-0.00545
0.03800	0.00301	0.00045	-0.00158	0.00289	-0.00418
0.04000	0.00311	-0.00022	-0.00004	0.00394	-0.00409
0.04200	0.00311	0.00010	-0.00004	0.00388	-0.00423
0.04400	0.00311	0.00068	-0.00077	0.00424	-0.00445
0.04600	0.00311	0.00028	-0.00080	0.00405	-0.01159
0.04800	0.00311	-0.00222	-0.00222	0.00424	-0.01324
0.05000	0.00323	-0.00018	0.00184	-0.00008	-0.01309
0.05200	0.00323	0.00308	0.00116	-0.00032	-0.01302
0.05400	0.00323	0.00207	0.00018	-0.00065	-0.01304
0.05600	0.00323	-0.00018	0.00032	-0.00157	-0.00934
0.05800	0.00323	-0.00263	0.00060	0.00006	-0.00948
0.06000	0.00336	0.00039	-0.00030	-0.00007	-0.00951
0.06200	0.00336	0.00001	-0.00056	-0.00023	-0.00977
0.06400	0.00336	-0.00022	0.00038	-0.00068	-0.00997
0.06600	0.00336	0.00095	0.00171	-0.00019	-0.00548
0.06800	0.00336	-0.00005	-0.00057	-0.00029	-0.00341
0.07000	0.00347	0.00023	-0.00021	0.00190	-0.00305
0.07200	0.00347	0.00032	0.00021	0.00199	-0.00335
0.07400	0.00347	0.00085	-0.00077	0.00252	-0.00401
0.07600	0.00347	0.00124	-0.00046	0.00092	-0.00387
