/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_CV
* Project Lead:	JN
* Labview Operator:	JD
* Comments:	probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Fri 07 May 2021 05:00:32 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	0.00003	-1.98670	-1.98188	-0.00050	-0.38943
0.00200	0.00000	-1.98670	-1.98188	-0.00050	-0.38943
0.00400	0.00000	0.00074	-0.00012	0.00001	-0.00219
0.00600	0.00000	0.00074	-0.00012	0.00001	-0.00219
0.00800	0.00000	0.00074	-0.00012	0.00001	-0.00219
0.01000	0.00400	0.00074	-0.00012	0.00001	-0.00219
0.01200	0.00400	0.00074	-0.00012	0.00001	-0.00219
0.01400	0.00400	0.00074	-0.00012	0.00001	-0.00219
0.01600	0.00400	0.00074	-0.00012	0.00001	-0.00219
0.01800	0.00400	0.00074	-0.00012	0.00001	-0.00219
0.02000	0.00412	0.00074	-0.00012	0.00001	-0.00219
0.02200	0.00412	0.00029	0.00077	-0.00002	-0.00029
0.02400	0.00412	0.00029	0.00077	-0.00002	-0.00029
0.02600	0.00412	0.00029	0.00077	-0.00002	-0.00029
0.02800	0.00412	0.00029	0.00077	-0.00002	-0.00029
0.03000	0.00430	0.00029	0.00077	-0.00002	-0.00029
0.03200	0.00430	0.00029	0.00077	-0.00002	-0.00029
0.03400	0.00430	0.00029	0.00077	-0.00002	-0.00029
0.03600	0.00430	0.00029	0.00077	-0.00002	-0.00029
0.03800	0.00430	0.00143	0.00074	0.00008	0.00561
0.04000	0.00449	0.00143	0.00074	0.00008	0.00561
0.04200	0.00449	0.00143	0.00074	0.00008	0.00561
0.04400	0.00449	0.00143	0.00074	0.00008	0.00561
0.04600	0.00449	0.00143	0.00074	0.00008	0.00561
0.04800	0.00449	0.00143	0.00074	0.00008	0.00561
0.05000	0.00468	0.00143	0.00074	0.00008	0.00561
0.05200	0.00468	0.00143	0.00074	0.00008	0.00561
0.05400	0.00468	0.00044	0.00069	0.00028	0.00263
0.05600	0.00468	0.00044	0.00069	0.00028	0.00263
0.05800	0.00468	0.00044	0.00069	0.00028	0.00263
0.06000	0.00488	0.00044	0.00069	0.00028	0.00263
0.06200	0.00488	0.00044	0.00069	0.00028	0.00263
0.06400	0.00488	0.00044	0.00069	0.00028	0.00263
0.06600	0.00488	0.00044	0.00069	0.00028	0.00263
0.06800	0.00488	0.00044	0.00069	0.00028	0.00263
0.07000	0.00507	0.00091	0.00081	-0.00002	0.00042
0.07200	0.00507	0.00091	0.00081	-0.00002	0.00042
0.07400	0.00507	0.00091	0.00081	-0.00002	0.00042
