/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_CV
* Project Lead:	JN
* Labview Operator:	JD
* Comments:	probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Fri 07 May 2021 04:02:51 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	0.00001	-1.98684	-1.98014	-0.00045	-0.38915
0.00200	0.00001	-1.98684	-1.98014	-0.00045	-0.38915
0.00400	0.00000	-1.98684	-1.98014	-0.00045	-0.38915
0.00600	0.00009	0.00039	0.00035	0.00000	-0.00358
0.00800	0.00009	0.00026	0.00074	0.00018	-0.00325
0.01000	0.00009	-0.00057	0.00119	0.00006	-0.00121
0.01200	0.00009	-0.00051	0.00045	0.00000	-0.00120
0.01400	0.00009	-0.00024	0.00371	0.00000	-0.00106
0.01600	0.00009	0.00013	0.00240	0.00000	-0.00072
0.01800	0.00009	-0.00072	0.00154	0.00006	-0.00021
0.02000	0.00009	-0.00016	0.00074	0.00037	0.00284
0.02200	0.00009	0.00140	-0.00090	0.00000	0.00370
0.02400	0.00009	-0.00051	0.00068	0.00012	0.00403
0.02600	0.00009	-0.00034	-0.00150	0.00030	0.00436
0.02800	0.00009	0.00018	-0.00026	0.00004	0.00360
0.03000	0.00009	-0.00080	0.00325	0.00004	0.00431
0.03200	0.00009	-0.00148	0.00166	0.00000	0.00386
0.03400	0.00009	0.00330	0.00090	0.00000	0.00456
0.03600	0.00009	0.00247	0.00074	0.00000	0.00397
0.03800	0.00009	-0.00018	0.00110	0.00000	0.00432
0.04000	0.00009	0.00040	0.00111	0.00000	0.00260
0.04200	0.00009	-0.00079	-0.00048	0.00006	0.00247
0.04400	0.00009	-0.00108	0.00060	0.00000	0.00254
0.04600	0.00009	-0.00006	0.00339	0.00000	0.00135
0.04800	0.00009	-0.00102	0.00195	0.00012	0.00237
0.05000	0.00009	0.00026	0.00128	0.00018	-0.00176
0.05200	0.00009	-0.00009	-0.00222	0.00000	-0.00275
0.05400	0.00009	-0.00095	0.00094	0.00000	-0.00289
0.05600	0.00009	-0.00150	-0.00135	0.00000	-0.00358
0.05800	0.00009	-0.00063	0.00030	0.00000	-0.00371
0.06000	0.00009	0.00038	0.00128	0.00059	0.00118
0.06200	0.00009	-0.00074	0.00306	0.00000	0.00367
0.06400	0.00009	0.00017	0.00263	0.00000	0.00342
0.06600	0.00009	0.00278	-0.00004	0.00000	0.00281
0.06800	0.00009	0.00050	0.00178	0.00000	0.00311
0.07000	0.00009	0.00088	0.00128	0.00041	0.00358
0.07200	0.00009	-0.00038	0.00027	0.00000	0.00363
0.07400	0.00009	-0.00024	0.00133	0.00014	0.00368
0.07600	0.00009	-0.00061	0.00216	0.00000	0.00385
0.07800	0.00009	0.00046	0.00182	0.00021	0.00345
0.08000	0.00009	-0.00089	0.00215	0.00000	0.00383
0.08200	0.00009	-0.00087	0.00034	0.00006	0.00470
0.08400	0.00009	-0.00046	0.00093	0.00000	0.00460
0.08600	0.00008	-0.00040	0.00045	0.00000	0.00484
0.08800	0.00008	0.00051	0.00168	0.00000	0.00554
0.09000	0.00008	-0.00038	0.00050	0.00012	0.00214
0.09200	0.00008	-0.00096	0.00094	0.00000	-0.00074
0.09400	0.00008	-0.00156	0.00274	0.00000	-0.00153
0.09600	0.00008	0.00013	0.00301	0.00000	-0.00040
0.09800	0.00008	0.00108	0.00199	0.00002	-0.00086
0.10000	0.00008	0.00030	0.00052	0.00023	-0.00136
0.10200	0.00008	0.00077	0.00115	0.00000	-0.00142
0.10400	0.00008	-0.00009	0.00059	0.00000	-0.00203
0.10600	0.00007	-0.00088	0.00191	0.00000	-0.00163
0.10800	0.00007	0.00079	0.00385	0.00002	-0.00220
0.11000	0.00007	-0.00111	0.00328	0.00006	0.00010
0.11200	0.00007	-0.00023	0.00060	0.00000	0.00404
0.11400	0.00007	0.00071	0.00135	0.00000	0.00389
0.11600	0.00003	-0.00013	0.00143	0.00000	0.00411
0.11800	0.00003	0.00033	0.00067	0.00004	0.00333
0.12000	0.00003	-0.00061	-0.00015	0.00016	0.00392
0.12200	0.00003	-0.00010	0.00167	0.00013	0.00341
0.12400	0.00003	-0.00041	0.00243	0.00000	0.00349
0.12600	-0.00001	-0.00034	0.00346	0.00000	0.00319
0.12800	-0.00001	0.00200	0.00123	0.00006	0.00337
0.13000	-0.00001	0.00121	0.00050	0.00000	0.00370
0.13200	-0.00001	0.00079	0.00115	0.00006	0.00476
0.13400	-0.00001	-0.00023	0.00130	0.00031	0.00375
0.13600	-0.00004	0.00001	0.00143	0.00019	0.00416
0.13800	-0.00004	0.00002	0.00218	0.00000	0.00417
0.14000	-0.00004	-0.00050	0.00280	0.00000	0.00236
0.14200	-0.00004	-0.00039	0.00118	0.00000	-0.00200
