/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	Wave_calibration_CV
* Project Lead:	JN
* Labview Operator:	JD
* Comments:	probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Fri 07 May 2021 04:51:23 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	
0.00000	0.00001	-1.98670	-1.98188	-0.00050	-0.38943
0.00200	0.00001	-1.98670	-1.98188	-0.00050	-0.38943
0.00400	0.00000	-1.98670	-1.98188	-0.00050	-0.38943
0.00600	0.00000	0.00012	-0.00035	-0.00004	-0.00347
0.00800	0.00000	0.00012	-0.00035	-0.00004	-0.00347
0.01000	0.00000	0.00012	-0.00035	-0.00004	-0.00347
0.01200	0.00000	0.00012	-0.00035	-0.00004	-0.00347
0.01400	0.00293	0.00012	-0.00035	-0.00004	-0.00347
0.01600	0.00293	0.00012	-0.00035	-0.00004	-0.00347
0.01800	0.00293	0.00012	-0.00035	-0.00004	-0.00347
0.02000	0.00293	0.00012	-0.00035	-0.00004	-0.00347
0.02200	0.00293	0.00127	0.00071	-0.00003	0.00117
0.02400	0.00308	0.00127	0.00071	-0.00003	0.00117
0.02600	0.00308	0.00127	0.00071	-0.00003	0.00117
0.02800	0.00308	0.00127	0.00071	-0.00003	0.00117
0.03000	0.00308	0.00127	0.00071	-0.00003	0.00117
0.03200	0.00308	0.00127	0.00071	-0.00003	0.00117
0.03400	0.00324	0.00127	0.00071	-0.00003	0.00117
0.03600	0.00324	0.00127	0.00071	-0.00003	0.00117
0.03800	0.00324	0.00013	0.00050	-0.00001	0.00537
0.04000	0.00324	0.00013	0.00050	-0.00001	0.00537
0.04200	0.00324	0.00013	0.00050	-0.00001	0.00537
0.04400	0.00340	0.00013	0.00050	-0.00001	0.00537
0.04600	0.00340	0.00013	0.00050	-0.00001	0.00537
0.04800	0.00340	0.00013	0.00050	-0.00001	0.00537
0.05000	0.00340	0.00013	0.00050	-0.00001	0.00537
0.05200	0.00340	0.00013	0.00050	-0.00001	0.00537
0.05400	0.00359	0.00065	0.00033	0.00001	0.00121
0.05600	0.00359	0.00065	0.00033	0.00001	0.00121
0.05800	0.00359	0.00065	0.00033	0.00001	0.00121
0.06000	0.00359	0.00065	0.00033	0.00001	0.00121
0.06200	0.00359	0.00065	0.00033	0.00001	0.00121
0.06400	0.00374	0.00065	0.00033	0.00001	0.00121
0.06600	0.00374	0.00065	0.00033	0.00001	0.00121
0.06800	0.00374	0.00065	0.00033	0.00001	0.00121
0.07000	0.00374	0.00092	0.00028	0.00020	0.00253
0.07200	0.00374	0.00092	0.00028	0.00020	0.00253
0.07400	0.00390	0.00092	0.00028	0.00020	0.00253
0.07600	0.00390	0.00092	0.00028	0.00020	0.00253
0.07800	0.00390	0.00092	0.00028	0.00020	0.00253
0.08000	0.00390	0.00092	0.00028	0.00020	0.00253
0.08200	0.00390	0.00092	0.00028	0.00020	0.00253
0.08400	0.00406	0.00092	0.00028	0.00020	0.00253
0.08600	0.00406	0.00060	0.00059	-0.00004	0.00585
0.08800	0.00406	0.00060	0.00059	-0.00004	0.00585
0.09000	0.00406	0.00060	0.00059	-0.00004	0.00585
0.09200	0.00406	0.00060	0.00059	-0.00004	0.00585
0.09400	0.00422	0.00060	0.00059	-0.00004	0.00585
0.09600	0.00422	0.00060	0.00059	-0.00004	0.00585
0.09800	0.00422	0.00060	0.00059	-0.00004	0.00585
0.10000	0.00422	0.00060	0.00059	-0.00004	0.00585
0.10200	0.00422	0.00037	0.00097	-0.00003	0.00131
0.10400	0.00439	0.00037	0.00097	-0.00003	0.00131
0.10600	0.00439	0.00037	0.00097	-0.00003	0.00131
