/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_freedecay_column
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms; Kislter force (x,y,z) calibration: 1 V/N; Kislter moment (x,y,z) calibration: 1 V/Nm.
* Date and Time:	Fri 11 Jun 2021 12:39:08 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-1.96465	-1.96050	-0.47320	-0.36784	0.00000	0.00000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.00200	-1.96465	-1.96050	-0.47320	-0.36784	-0.36080	-89.91000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.00400	-1.96465	-1.96050	-0.47320	-0.36784	-0.27060	-89.91000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.00600	-1.96465	-1.96050	-0.47320	-0.36784	-0.18040	-90.00000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.00800	-1.96465	-1.96050	-0.47320	-0.36784	-0.18040	-89.91000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.01000	0.00273	0.00085	0.00125	0.00066	-0.18040	-90.00000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.01200	0.00273	0.00085	0.00125	0.00066	-0.18040	-90.00000	-0.02839	0.05288	0.24717	-0.00638	-0.04226	-0.00021
0.01400	0.00273	0.00085	0.00125	0.00066	-0.27060	-90.00000	-0.02839	0.05288	0.24717	-0.00638	-0.04226	-0.00021
0.01600	0.00273	0.00085	0.00125	0.00066	-0.36080	-89.91000	-0.02839	0.05288	0.24717	-0.00638	-0.04226	-0.00021
0.01800	0.00269	0.00034	0.00123	0.00118	-0.36080	-89.91000	-0.06202	0.05710	0.24018	-0.00679	-0.03958	-0.00031
0.02000	0.00269	0.00034	0.00123	0.00118	-0.45100	-90.00000	-0.06202	0.05710	0.24018	-0.00679	-0.03958	-0.00031
0.02200	0.00269	0.00034	0.00123	0.00118	-0.45100	-89.91000	-0.06202	0.05710	0.24018	-0.00679	-0.03958	-0.00031
0.02400	0.00269	0.00034	0.00123	0.00118	-0.27060	-89.91000	-0.06202	0.05710	0.24018	-0.00679	-0.03958	-0.00031
0.02600	0.00315	0.00054	0.00131	0.00152	-0.36080	-90.00000	-0.08465	0.05226	0.21468	-0.00668	-0.04267	-0.00247
0.02800	0.00315	0.00054	0.00131	0.00152	-0.27060	-90.00000	-0.08465	0.05226	0.21468	-0.00668	-0.04267	-0.00247
0.03000	0.00315	0.00054	0.00131	0.00152	-0.18040	-90.00000	-0.08465	0.05226	0.21468	-0.00668	-0.04267	-0.00247
0.03200	0.00315	0.00054	0.00131	0.00152	-0.27060	-90.00000	-0.08465	0.05226	0.21468	-0.00668	-0.04267	-0.00247
0.03400	0.00199	0.00048	0.00123	0.00201	-0.36080	-90.00000	-0.04937	0.09444	0.21530	-0.00041	-0.03588	0.00195
0.03600	0.00199	0.00048	0.00123	0.00201	-0.36080	-89.91000	-0.04937	0.09444	0.21530	-0.00041	-0.03588	0.00195
0.03800	0.00199	0.00048	0.00123	0.00201	-0.36080	-90.00000	-0.04937	0.09444	0.21530	-0.00041	-0.03588	0.00195
0.04000	0.00199	0.00048	0.00123	0.00201	-0.36080	-89.91000	-0.04937	0.09444	0.21530	-0.00041	-0.03588	0.00195
0.04200	0.00178	0.00093	0.00146	0.00222	-0.36080	-90.00000	-0.06789	0.05494	0.23391	-0.00062	-0.04575	-0.00288
0.04400	0.00178	0.00093	0.00146	0.00222	-0.45100	-89.91000	-0.06789	0.05494	0.23391	-0.00062	-0.04575	-0.00288
0.04600	0.00178	0.00093	0.00146	0.00222	-0.36080	-89.91000	-0.06789	0.05494	0.23391	-0.00062	-0.04575	-0.00288
0.04800	0.00178	0.00093	0.00146	0.00222	-0.27060	-89.82000	-0.06789	0.05494	0.23391	-0.00062	-0.04575	-0.00288
0.05000	0.00315	0.00071	0.00152	0.00167	-0.18040	-89.91000	-0.05091	0.05833	0.22044	-0.00319	-0.04030	0.00185
0.05200	0.00315	0.00071	0.00152	0.00167	-0.27060	-89.91000	-0.05091	0.05833	0.22044	-0.00319	-0.04030	0.00185
0.05400	0.00315	0.00071	0.00152	0.00167	-0.27060	-90.00000	-0.05091	0.05833	0.22044	-0.00319	-0.04030	0.00185
0.05600	0.00315	0.00071	0.00152	0.00167	-0.36080	-90.00000	-0.05091	0.05833	0.22044	-0.00319	-0.04030	0.00185
0.05800	0.00291	0.00129	0.00115	0.00101	-0.27060	-89.91000	-0.05091	0.05833	0.22044	-0.00319	-0.04030	0.00185
0.06000	0.00291	0.00129	0.00115	0.00101	-0.27060	-89.73000	-0.05719	0.04064	0.21406	-0.00586	-0.04472	-0.00648
0.06200	0.00266	-0.00023	0.00136	0.00132	-0.18040	-89.82000	-0.05719	0.04064	0.21406	-0.00586	-0.04472	-0.00648
0.06400	0.00266	-0.00023	0.00136	0.00132	-0.18040	-89.91000	-0.05678	0.02150	0.23586	-0.01265	-0.05058	0.00000
0.06600	0.00266	-0.00023	0.00136	0.00132	-0.18040	-90.00000	-0.05678	0.02150	0.23586	-0.01265	-0.05058	0.00000
0.06800	0.00210	-0.00049	0.00141	0.00190	-0.18040	-90.00000	-0.05678	0.02150	0.23586	-0.01265	-0.05058	0.00000
0.07000	0.00210	-0.00049	0.00141	0.00190	-0.18040	-90.00000	-0.05678	0.02150	0.23586	-0.01265	-0.05058	0.00000
0.07200	0.00210	-0.00049	0.00141	0.00190	-0.27060	-90.00000	-0.03744	0.05638	0.24851	-0.00206	-0.04966	-0.00226
0.07400	0.00204	0.00200	0.00140	0.00200	-0.27060	-90.00000	-0.03744	0.05638	0.24851	-0.00206	-0.04966	-0.00226
0.07600	0.00204	0.00200	0.00140	0.00200	-0.27060	-90.00000	-0.03744	0.05638	0.24851	-0.00206	-0.04966	-0.00226
0.07800	0.00234	-0.00018	0.00146	0.00193	-0.27060	-90.00000	-0.02191	0.05813	0.21098	0.01326	-0.05439	-0.00370
0.08000	0.00234	-0.00018	0.00146	0.00193	-0.18040	-90.00000	-0.02191	0.05813	0.21098	0.01326	-0.05439	-0.00370
0.08200	0.00234	-0.00018	0.00146	0.00193	-0.18040	-89.91000	-0.02191	0.05813	0.21098	0.01326	-0.05439	-0.00370
0.08400	0.00234	-0.00018	0.00146	0.00193	-0.27060	-90.00000	-0.02191	0.05813	0.21098	0.01326	-0.05439	-0.00370
0.08600	0.00375	0.00038	0.00153	0.00225	-0.27060	-90.00000	-0.02191	0.05813	0.21098	0.01326	-0.05439	-0.00370
0.08800	0.00268	0.00150	0.00156	0.00219	-0.36080	-90.00000	-0.08342	0.07634	0.22383	-0.00216	-0.04328	0.00237
0.09000	0.00268	0.00150	0.00156	0.00219	-0.27060	-90.00000	-0.08342	0.07634	0.22383	-0.00216	-0.04328	0.00237
0.09200	0.00268	0.00150	0.00156	0.00219	-0.36080	-89.91000	-0.08342	0.07634	0.22383	-0.00216	-0.04328	0.00237
0.09400	0.00268	0.00150	0.00156	0.00219	-0.27060	-90.00000	-0.08342	0.07634	0.22383	-0.00216	-0.04328	0.00237
0.09600	0.00230	0.00032	0.00127	0.00172	-0.27060	-90.00000	-0.08342	0.07634	0.22383	-0.00216	-0.04328	0.00237
0.09800	0.00224	-0.00122	0.00109	0.00070	-0.27060	-89.91000	-0.02263	0.05031	0.22414	-0.00267	-0.04678	-0.00391
0.10000	0.00224	-0.00122	0.00109	0.00070	-0.18040	-90.00000	-0.02263	0.05031	0.22414	-0.00267	-0.04678	-0.00391
0.10200	0.00224	-0.00122	0.00109	0.00070	-0.27060	-89.91000	-0.02263	0.05031	0.22414	-0.00267	-0.04678	-0.00391
0.10400	0.00224	-0.00122	0.00109	0.00070	-0.27060	-89.91000	-0.02263	0.05031	0.22414	-0.00267	-0.04678	-0.00391
0.10600	0.00232	0.00126	0.00141	0.00080	-0.36080	-89.91000	-0.08764	0.02397	0.22476	-0.00884	-0.04822	-0.00607
0.10800	0.00232	0.00126	0.00141	0.00080	-0.36080	-90.00000	-0.08764	0.02397	0.22476	-0.00884	-0.04822	-0.00607
0.11000	0.00232	0.00126	0.00141	0.00080	-0.36080	-89.91000	-0.08764	0.02397	0.22476	-0.00884	-0.04822	-0.00607
0.11200	0.00232	0.00126	0.00141	0.00080	-0.27060	-90.00000	-0.08764	0.02397	0.22476	-0.00884	-0.04822	-0.00607
0.11400	0.00351	-0.00016	0.00120	0.00116	-0.18040	-90.00000	-0.08764	0.02397	0.22476	-0.00884	-0.04822	-0.00607
0.11600	0.00265	-0.00040	0.00079	0.00205	-0.27060	-89.91000	-0.03158	0.04959	0.22311	-0.00535	-0.03783	-0.01142
