/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_freedecay_column
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms; Kislter force (x,y,z) calibration: 1 V/N; Kislter moment (x,y,z) calibration: 1 V/Nm.
* Date and Time:	Fri 11 Jun 2021 12:28:01 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-1.96465	-1.96050	-0.47320	-0.36784	-0.27060	-90.00000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.00200	-1.96465	-1.96050	-0.47320	-0.36784	-0.27060	-90.00000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.00400	-1.96465	-1.96050	-0.47320	-0.36784	-0.36080	-90.00000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.00600	-1.96465	-1.96050	-0.47320	-0.36784	-0.36080	-90.00000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.00800	-1.96465	-1.96050	0.00135	0.00197	-0.27060	-89.91000	0.00490	-0.00730	0.02584	-0.00438	-0.00398	-0.00140
0.01000	0.00361	0.00145	0.00135	0.00197	-0.18040	-89.91000	-0.38109	-0.08128	-0.12759	-0.00278	-0.01480	0.00339
0.01200	0.00361	0.00145	0.00135	0.00197	-0.27060	-89.91000	-0.38109	-0.08128	-0.12759	-0.00278	-0.01480	0.00339
0.01400	0.00361	0.00145	0.00135	0.00197	-0.27060	-90.09000	-0.38109	-0.08128	-0.12759	-0.00278	-0.01480	0.00339
0.01600	0.00361	0.00145	0.00135	0.00197	-0.27060	-90.09000	-0.38109	-0.08128	-0.12759	-0.00278	-0.01480	0.00339
0.01800	0.00389	0.00187	0.00130	0.00240	-0.27060	-90.09000	-0.40053	-0.09496	-0.12811	-0.00103	-0.02077	0.00442
0.02000	0.00389	0.00187	0.00130	0.00240	-0.27060	-90.09000	-0.40053	-0.09496	-0.12811	-0.00103	-0.02077	0.00442
0.02200	0.00389	0.00187	0.00130	0.00240	-0.09020	-90.00000	-0.40053	-0.09496	-0.12811	-0.00103	-0.02077	0.00442
0.02400	0.00389	0.00187	0.00130	0.00240	-0.18040	-90.00000	-0.40053	-0.09496	-0.12811	-0.00103	-0.02077	0.00442
0.02600	0.00335	0.00199	0.00135	0.00205	-0.18040	-90.09000	-0.40053	-0.09496	-0.12811	-0.00175	-0.01953	0.00514
0.02800	0.00340	0.00299	0.00158	0.00182	-0.18040	-90.09000	-0.40722	-0.08868	-0.12698	-0.00175	-0.01953	0.00514
0.03000	0.00340	0.00299	0.00158	0.00182	-0.27060	-90.00000	-0.40722	-0.08868	-0.12698	-0.00175	-0.01953	0.00514
0.03200	0.00340	0.00299	0.00158	0.00182	-0.27060	-90.00000	-0.40722	-0.08868	-0.12698	-0.00175	-0.01953	0.00514
0.03400	0.00340	0.00299	0.00158	0.00182	-0.36080	-89.91000	-0.40722	-0.08868	-0.12698	-0.00175	-0.01953	0.00514
0.03600	0.00383	0.00138	0.00098	0.00111	-0.36080	-90.00000	-0.40722	-0.08868	-0.12698	-0.00175	-0.01953	0.00514
0.03800	0.00345	0.00034	0.00171	0.00113	-0.36080	-90.00000	-0.40732	-0.08549	-0.12893	0.00051	-0.01727	0.00597
0.04000	0.00345	0.00034	0.00171	0.00113	-0.27060	-89.91000	-0.40732	-0.08549	-0.12893	0.00051	-0.01727	0.00597
0.04200	0.00345	0.00034	0.00171	0.00113	-0.36080	-90.00000	-0.40732	-0.08549	-0.12893	0.00051	-0.01727	0.00597
0.04400	0.00345	0.00034	0.00171	0.00113	-0.36080	-90.00000	-0.40732	-0.08549	-0.12893	0.00051	-0.01727	0.00597
0.04600	0.00463	0.00266	0.00105	0.00136	-0.27060	-90.00000	-0.40650	-0.08724	-0.12831	-0.00329	-0.02416	0.00339
0.04800	0.00463	0.00266	0.00105	0.00136	-0.27060	-90.00000	-0.40650	-0.08724	-0.12831	-0.00329	-0.02416	0.00339
0.05000	0.00463	0.00266	0.00105	0.00136	-0.27060	-89.91000	-0.40650	-0.08724	-0.12831	-0.00329	-0.02416	0.00339
0.05200	0.00463	0.00266	0.00105	0.00136	-0.18040	-89.91000	-0.40650	-0.08724	-0.12831	-0.00329	-0.02416	0.00339
0.05400	0.00375	0.00093	0.00165	0.00178	-0.27060	-90.00000	-0.38500	-0.07984	-0.12358	-0.00103	-0.01768	0.00607
0.05600	0.00375	0.00093	0.00165	0.00178	-0.27060	-90.00000	-0.38500	-0.07984	-0.12358	-0.00103	-0.01768	0.00607
0.05800	0.00375	0.00093	0.00165	0.00178	-0.18040	-90.00000	-0.38500	-0.07984	-0.12358	-0.00103	-0.01768	0.00607
0.06000	0.00375	0.00093	0.00165	0.00178	-0.18040	-90.00000	-0.38500	-0.07984	-0.12358	-0.00103	-0.01768	0.00607
0.06200	0.52199	0.00299	0.00127	0.00227	-0.18040	-90.00000	-0.41719	-0.10041	-0.13603	-0.00267	-0.02385	0.00422
0.06400	0.52199	0.00299	0.00127	0.00227	-0.18040	-90.09000	-0.41719	-0.10041	-0.13603	-0.00267	-0.02385	0.00422
0.06600	0.52199	0.00299	0.00127	0.00227	-0.18040	-90.18000	-0.41719	-0.10041	-0.13603	-0.00267	-0.02385	0.00422
0.06800	0.52199	0.00299	0.00127	0.00227	-0.18040	-90.00000	-0.41719	-0.10041	-0.13603	-0.00267	-0.02385	0.00422
0.07000	0.53259	0.00096	0.00116	0.00270	-0.18040	-90.00000	-0.41719	-0.10041	-0.13603	-0.00267	-0.02385	0.00422
0.07200	0.53259	0.00449	0.00098	0.00125	-0.18040	-90.00000	-0.38922	-0.09187	-0.12801	-0.00031	-0.02200	0.00257
0.07400	0.53259	0.00449	0.00098	0.00125	-0.18040	-90.00000	-0.38922	-0.09187	-0.12801	-0.00031	-0.02200	0.00257
0.07600	0.53259	0.00449	0.00098	0.00125	-0.27060	-90.00000	-0.38922	-0.09187	-0.12801	-0.00031	-0.02200	0.00257
0.07800	0.53259	0.00449	0.00098	0.00125	-0.27060	-89.91000	-0.38922	-0.09187	-0.12801	-0.00031	-0.02200	0.00257
0.08000	0.53259	0.00134	0.00108	0.00117	-0.36080	-90.00000	-0.40866	-0.10021	-0.12585	-0.00483	-0.02920	0.00473
0.08200	0.53259	0.00134	0.00108	0.00117	-0.27060	-90.00000	-0.40866	-0.10021	-0.12585	-0.00483	-0.02920	0.00473
0.08400	0.53259	0.00134	0.00108	0.00117	-0.36080	-90.00000	-0.40866	-0.10021	-0.12585	-0.00483	-0.02920	0.00473
0.08600	0.53259	0.00134	0.00108	0.00117	-0.27060	-89.91000	-0.40866	-0.10021	-0.12585	-0.00483	-0.02920	0.00473
0.08800	0.51150	0.00197	0.00136	0.00071	-0.18040	-89.91000	-0.40866	-0.10021	-0.12585	-0.00483	-0.02920	0.00473
0.09000	0.51150	0.00197	0.00136	0.00071	-0.18040	-90.00000	-0.39724	-0.09455	-0.12955	0.00082	-0.01923	0.00566
0.09200	0.00304	0.00197	0.00164	0.00176	-0.09020	-90.00000	-0.39724	-0.09455	-0.12955	0.00082	-0.01923	0.00566
0.09400	0.00304	0.00197	0.00164	0.00176	-0.09020	-89.91000	-0.37615	-0.08704	-0.14034	-0.00010	-0.02241	0.00535
0.09600	0.00304	0.00197	0.00164	0.00176	-0.18040	-89.91000	-0.37615	-0.08704	-0.14034	-0.00010	-0.02241	0.00535
0.09800	0.00355	0.00110	0.00152	0.00195	-0.18040	-89.91000	-0.37615	-0.08704	-0.14034	-0.00010	-0.02241	0.00535
0.10000	0.00355	0.00110	0.00152	0.00195	-0.27060	-90.00000	-0.40732	-0.10864	-0.13459	0.00442	-0.02735	0.01162
0.10200	0.00423	0.00169	0.00174	0.00242	-0.27060	-89.91000	-0.40732	-0.10864	-0.13459	0.00442	-0.02735	0.01162
0.10400	0.00423	0.00169	0.00174	0.00242	-0.18040	-89.82000	-0.40732	-0.10864	-0.13459	0.00442	-0.02735	0.01162
0.10600	0.00477	0.00208	0.00139	0.00209	-0.27060	-89.91000	-0.41318	-0.11728	-0.11834	-0.00514	-0.02683	0.00432
0.10800	0.00477	0.00208	0.00139	0.00209	-0.27060	-89.91000	-0.41318	-0.11728	-0.11834	-0.00514	-0.02683	0.00432
0.11000	0.00477	0.00208	0.00139	0.00209	-0.27060	-89.91000	-0.41318	-0.11728	-0.11834	-0.00514	-0.02683	0.00432
