/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_column_w_springs
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.
* Date and Time:	Thu 10 Jun 2021 12:25:16 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-1.96669	-1.96122	-0.47447	-0.37239	-3.69820	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00200	-1.96669	-1.96122	-0.47447	-0.37239	-3.69820	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00400	-1.96669	-1.96122	-0.47447	-0.37239	-3.69820	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00600	-0.00035	0.00016	0.00012	-0.00119	-3.69820	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00800	-0.00124	0.00033	0.00045	-0.00115	-3.69820	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.01000	-0.00124	0.00033	0.00045	-0.00115	-3.78840	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.01200	-0.00105	-0.00040	0.00002	-0.00109	-3.78840	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.01400	0.00173	0.00128	-0.00017	-0.00065	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.01600	0.00012	0.00049	-0.00056	-0.00037	-3.78840	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.01800	0.00122	-0.00038	-0.00019	-0.00045	-3.69820	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.02000	-0.00099	0.00029	0.00034	-0.00063	-3.60800	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.02200	-0.00104	-0.00009	-0.00027	-0.00014	-3.78840	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.02400	-0.00048	-0.00010	-0.00022	-0.00024	-3.78840	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.02600	-0.00056	-0.00094	-0.00032	-0.00036	-3.78840	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.02800	0.00083	0.00061	-0.00081	-0.00014	-3.87860	-89.91000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.03000	-0.00045	0.00154	-0.00023	-0.00088	-3.78840	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.03200	-0.00040	0.00009	-0.00010	-0.00032	-3.87860	-89.73000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.03400	-0.00077	-0.00002	-0.00009	0.00015	-3.96880	-89.73000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.03600	-0.00117	-0.00024	-0.00113	-0.00011	-3.78840	-89.73000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.03800	-0.00074	0.00037	0.00000	-0.00067	-3.69820	-89.73000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.04000	-0.00072	-0.00079	-0.00019	-0.00023	-3.60800	-89.64000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.04200	0.00012	-0.00010	-0.00009	-0.00015	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.04400	0.00251	0.00143	-0.00056	-0.00129	-3.51780	-89.64000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.04600	0.00091	0.00128	-0.00016	-0.00147	-3.51780	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.04800	0.00046	0.00013	0.00019	-0.00135	-3.60800	-89.82000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
