/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_column_w_springs
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms.
* Date and Time:	Thu 10 Jun 2021 12:17:55 PM EDT
***********************************************************/

"Time(s)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.01000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.01200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.01400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.01600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.01800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.02000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.02200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.02400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.02600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.02800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.03000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.03200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.03400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.03600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.03800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.04000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.04200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.04400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.04600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.04800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.05000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.05200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.05400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.05600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.05800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.06000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.06200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.06400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.06600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.06800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.07000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.07200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.07400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.07600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.07800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.08000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.08200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.08400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.08600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.08800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.09000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.09200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.09400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.09600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.09800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.10000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.10200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.10400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.10600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.10800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.11000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.11200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.11400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.11600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.11800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.12000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.12200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.12400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.12600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.12800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.13000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.13200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.13400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.13600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.13800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.14000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.14200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.14400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.14600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.14800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.15000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.15200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.15400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.15600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.15800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.16000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.16200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.16400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.16600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.16800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.17000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.17200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.17400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.17600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.17800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.18000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.18200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.18400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.18600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.18800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.19000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.19200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.19400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.19600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.19800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.20000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.20200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.20400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.20600	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
