/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_freedecay
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	model centered in window 2; probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Tue 11 May 2021 01:42:18 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-1.96773	-1.96285	-0.38575	-0.37104	-0.36080	-89.91000	-0.24519	0.76035	0.29234	0.03489	-0.02671	-0.02851
0.00200	-1.96773	-1.96285	-0.38575	-0.37104	-0.36080	-89.91000	-0.24519	0.76035	0.29234	0.03489	-0.02671	-0.02851
0.00400	-1.96773	-1.96285	-0.38575	-0.37104	0.00000	0.00000	-0.24519	0.76035	0.29234	0.03489	-0.02671	-0.02851
0.00600	-1.96773	-1.96285	-0.38575	-0.37104	-0.36080	-89.91000	-0.24519	0.76035	0.29234	0.03489	-0.02671	-0.02851
0.00800	-1.96773	-1.96285	-0.38575	-0.37104	-0.45100	-89.82000	-0.24519	0.76035	0.29234	0.03489	-0.02671	-0.02851
0.01000	-0.00033	-0.00056	-0.00057	-0.00003	-0.45100	-89.82000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.01200	-0.00033	-0.00056	-0.00057	-0.00003	-0.36080	-89.91000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.01400	-0.00033	-0.00056	-0.00057	-0.00003	-0.45100	-89.91000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.01600	-0.00033	-0.00056	-0.00057	-0.00003	-0.45100	-90.00000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.01800	-0.00033	-0.00056	-0.00057	-0.00003	-0.45100	-90.09000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.02000	-0.00033	-0.00056	-0.00057	-0.00003	-0.36080	-90.00000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.02200	-0.00033	-0.00056	-0.00057	-0.00003	-0.27060	-90.00000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.02400	-0.00033	-0.00056	-0.00057	-0.00003	-0.54120	-90.00000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.02600	-0.00033	-0.00056	-0.00057	-0.00003	0.00000	0.00000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.02800	-0.00033	-0.00056	-0.00057	-0.00003	-0.36080	-90.09000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.03000	-0.00033	-0.00056	-0.00057	-0.00003	-0.36080	-90.00000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.03200	-0.00033	-0.00056	-0.00057	-0.00003	-0.45100	-90.18000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.03400	-0.00033	-0.00056	-0.00057	-0.00003	-0.45100	-90.18000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.03600	-0.00033	-0.00056	-0.00057	-0.00003	-0.36080	-90.00000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.03800	-0.00033	-0.00056	-0.00057	-0.00003	-0.36080	-90.00000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.04000	-0.00033	-0.00056	-0.00057	-0.00003	0.00000	0.00000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.04200	-0.00033	-0.00056	-0.00057	-0.00003	-0.54120	-89.91000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.04400	-0.00033	-0.00056	-0.00057	-0.00003	-0.54120	-89.82000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.04600	-0.00033	-0.00056	-0.00057	-0.00003	-0.54120	-89.91000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.04800	-0.00033	-0.00056	-0.00057	-0.00003	-0.63140	-90.00000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.05000	-0.00033	-0.00056	-0.00057	-0.00003	-0.63140	-90.09000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.05200	-0.00033	-0.00056	-0.00057	-0.00003	-0.54120	-90.09000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.05400	-0.00033	-0.00056	-0.00057	-0.00003	-0.54120	-90.09000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.05600	-0.00033	-0.00056	-0.00057	-0.00003	-0.54120	-90.00000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.05800	-0.00033	-0.00056	-0.00057	-0.00003	-0.54120	-90.09000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.06000	-0.00033	-0.00056	-0.00057	-0.00003	0.00000	0.00000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.06200	-0.00033	-0.00056	-0.00057	-0.00003	0.00000	0.00000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.06400	-0.00033	-0.00056	-0.00057	-0.00003	-0.45100	-89.91000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.06600	-0.00033	-0.00056	-0.00057	-0.00003	-0.45100	-89.82000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.06800	-0.00033	-0.00056	-0.00057	-0.00003	-0.45100	-89.91000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.07000	-0.00033	-0.00056	-0.00057	-0.00003	-0.45100	-89.91000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.07200	-0.00033	-0.00056	-0.00057	-0.00003	-0.54120	-90.09000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.07400	-0.00033	-0.00056	-0.00057	-0.00003	-0.54120	-90.09000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.07600	-0.00033	-0.00056	-0.00057	-0.00003	0.00000	0.00000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.07800	-0.00033	-0.00056	-0.00057	-0.00003	-0.45100	-89.91000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.08000	-0.00033	-0.00056	-0.00057	-0.00003	-0.54120	-89.91000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.08200	0.00037	-0.00045	-0.00026	0.00020	-0.45100	-89.91000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.08400	0.00037	-0.00045	-0.00026	0.00020	-0.45100	-89.91000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.08600	0.00037	-0.00045	-0.00026	0.00020	-0.45100	-89.91000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.08800	0.00037	-0.00045	-0.00026	0.00020	-0.36080	-89.91000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.09000	0.00037	-0.00045	-0.00026	0.00020	-0.54120	-89.82000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.09200	0.00037	-0.00045	-0.00026	0.00020	-0.54120	-89.82000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.09400	0.00037	-0.00045	-0.00026	0.00020	-0.45100	-89.73000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.09600	0.00037	-0.00045	-0.00026	0.00020	-0.36080	-89.82000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.09800	0.00037	-0.00045	-0.00026	0.00020	0.00000	0.00000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.10000	0.00037	-0.00045	-0.00026	0.00020	-0.45100	-89.91000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.10200	0.00037	-0.00045	-0.00026	0.00020	-0.45100	-89.91000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.10400	0.00037	-0.00045	-0.00026	0.00020	-0.45100	-89.91000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.10600	0.00037	-0.00045	-0.00026	0.00020	-0.54120	-89.82000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.10800	0.00037	-0.00045	-0.00026	0.00020	-0.54120	-89.82000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.11000	0.00037	-0.00045	-0.00026	0.00020	-0.36080	-89.82000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.11200	0.00037	-0.00045	-0.00026	0.00020	-0.36080	-89.82000	0.08640	0.03395	-0.07814	0.08978	-0.02545	-0.00463
0.11400	0.00037	-0.00045	-0.00026	0.00020	-0.54120	-89.82000	0.08661	0.09383	-0.07927	0.07053	-0.03641	-0.01907
0.11600	0.00037	-0.00045	-0.00026	0.00020	-0.54120	-90.00000	0.08661	0.09383	-0.07927	0.07053	-0.03641	-0.01907
