/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_freedecay
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	model centered in window 2; probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Tue 11 May 2021 02:22:48 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-1.96821	-1.96216	-0.38335	-0.37157	0.00000	0.00000	-0.03947	0.06384	-0.14154	-0.08312	0.00891	-0.02296
0.00200	-1.96821	-1.96216	-0.38335	-0.37157	9.83180	-89.64000	-0.03947	0.06384	-0.14154	-0.08312	0.00891	-0.02296
0.00400	-1.96821	-1.96216	-0.38335	-0.37157	0.00000	0.00000	-0.03947	0.06384	-0.14154	-0.08312	0.00891	-0.02296
0.00600	-1.96821	-1.96216	-0.38335	-0.37157	9.83180	-89.64000	-0.03947	0.06384	-0.14154	-0.08312	0.00891	-0.02296
0.00800	-0.00058	-0.00020	0.00196	0.00064	9.74160	-89.46000	-0.03947	0.06384	-0.14154	-0.08312	0.00891	-0.02296
0.01000	-0.00058	-0.00020	0.00196	0.00064	9.74160	-89.55000	-0.03947	0.06384	-0.14154	-0.08312	0.00891	-0.02296
0.01200	-0.00058	-0.00020	0.00196	0.00064	0.00000	0.00000	-0.03947	0.06384	-0.14154	-0.08312	0.00891	-0.02296
0.01400	-0.00058	-0.00020	0.00196	0.00064	9.74160	-89.64000	-2.05305	-1.82408	-0.80402	-0.81958	0.67368	-0.44441
0.01600	-0.00058	-0.00020	0.00196	0.00064	9.65140	-89.55000	-2.05305	-1.82408	-0.80402	-0.81958	0.67368	-0.44441
0.01800	-0.00058	-0.00020	0.00196	0.00064	9.65140	-89.55000	-2.05305	-1.82408	-0.80402	-0.81958	0.67368	-0.44441
0.02000	-0.00058	-0.00020	0.00196	0.00064	0.00000	0.00000	-2.05305	-1.82408	-0.80402	-0.81958	0.67368	-0.44441
0.02200	-0.00058	-0.00020	0.00196	0.00064	9.47100	-89.64000	-2.05305	-1.82408	-0.80402	-0.81958	0.67368	-0.44441
0.02400	-0.00058	-0.00020	0.00196	0.00064	9.47100	-89.64000	-2.05305	-1.82408	-0.80402	-0.81958	0.67368	-0.44441
0.02600	-0.00058	-0.00020	0.00196	0.00064	0.00000	0.00000	-2.05305	-1.82408	-0.80402	-0.81958	0.67368	-0.44441
0.02800	-0.00058	-0.00020	0.00196	0.00064	9.47100	-89.64000	-2.05305	-1.82408	-0.80402	-0.81958	0.67368	-0.44441
0.03000	-0.00058	-0.00020	0.00196	0.00064	9.38080	-89.64000	-2.05305	-1.82408	-0.80402	-0.81958	0.67368	-0.44441
0.03200	-0.00058	-0.00020	0.00196	0.00064	9.38080	-89.64000	-2.05305	-1.82408	-0.80402	-0.81958	0.67368	-0.44441
0.03400	-0.00058	-0.00020	0.00196	0.00064	0.00000	0.00000	-2.05305	-1.82408	-0.80402	-0.81958	0.67368	-0.44441
0.03600	-0.00058	-0.00020	0.00196	0.00064	9.29060	-89.46000	-2.05305	-1.82408	-0.80402	-0.81958	0.67368	-0.44441
0.03800	-0.00058	-0.00020	0.00196	0.00064	9.29060	0.00000	-2.05305	-1.82408	-0.80402	-0.81958	0.67368	-0.44441
0.04000	-0.00058	-0.00020	0.00196	0.00064	0.00000	0.00000	-2.05305	-1.82408	-0.80402	-0.81958	0.67368	-0.44441
0.04200	-0.00058	-0.00020	0.00196	0.00064	9.20040	-89.46000	-2.05305	-1.82408	-0.80402	-0.81958	0.67368	-0.44441
0.04400	-0.00058	-0.00020	0.00196	0.00064	9.29060	-89.55000	-2.05305	-1.82408	-0.80402	-0.81958	0.67368	-0.44441
0.04600	-0.00058	-0.00020	0.00196	0.00064	9.38080	-89.46000	-2.05305	-1.82408	-0.80402	-0.81958	0.67368	-0.44441
0.04800	-0.00058	-0.00020	0.00196	0.00064	0.00000	0.00000	-2.05305	-1.82408	-0.80402	-0.81958	0.67368	-0.44441
0.05000	-0.00058	-0.00020	0.00196	0.00064	9.20040	-89.37000	-2.05305	-1.82408	-0.80402	-0.81958	0.67368	-0.44441
0.05200	-0.00058	-0.00020	0.00196	0.00064	9.20040	-89.37000	-2.05305	-1.82408	-0.80402	-0.81958	0.67368	-0.44441
