/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	OSWEC_inertia_w_ballast
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	Dry swing test to determine moment of inertia of OSWEC (6.446 kg) with ballast (7.044 kg)
* Date and Time:	Fri 30 Apr 2021 02:23:24 PM EDT
***********************************************************/

"Time(s)"	"Roll(deg)"	"Pitch(deg)"	
0.00000	0.00000	0.00000
0.00200	1.62360	89.91000
0.00400	1.53340	89.91000
0.00600	1.53340	89.82000
0.00800	1.71380	89.82000
0.01000	1.62360	89.91000
0.01200	1.71380	89.91000
0.01400	1.80400	89.82000
0.01600	1.80400	89.82000
0.01800	1.80400	89.82000
0.02000	1.80400	89.82000
0.02200	1.71380	89.82000
0.02400	1.80400	89.91000
0.02600	1.62360	89.82000
0.02800	1.71380	89.91000
0.03000	1.71380	89.91000
0.03200	1.80400	89.91000
0.03400	1.71380	89.91000
0.03600	1.80400	89.91000
0.03800	1.71380	89.91000
0.04000	1.62360	89.91000
0.04200	1.71380	89.91000
0.04400	1.80400	90.00000
0.04600	1.80400	89.91000
0.04800	0.00000	0.00000
0.05000	1.80400	89.82000
0.05200	1.89420	89.82000
0.05400	1.80400	89.91000
0.05600	1.62360	89.82000
0.05800	1.71380	89.82000
0.06000	1.80400	89.91000
0.06200	1.80400	89.91000
0.06400	1.71380	89.91000
0.06600	1.89420	89.91000
0.06800	1.80400	89.91000
0.07000	1.71380	89.91000
0.07200	1.80400	89.91000
0.07400	1.80400	89.91000
0.07600	1.71380	90.00000
0.07800	1.62360	90.00000
0.08000	1.71380	90.00000
0.08200	1.71380	90.00000
0.08400	0.00000	0.00000
0.08600	1.89420	89.91000
0.08800	1.89420	89.91000
0.09000	1.89420	90.00000
0.09200	1.71380	90.00000
0.09400	1.62360	89.91000
0.09600	1.62360	90.00000
0.09800	1.71380	89.91000
0.10000	1.71380	89.82000
0.10200	1.80400	89.91000
0.10400	1.80400	89.91000
0.10600	1.71380	89.91000
0.10800	1.71380	89.91000
0.11000	1.62360	90.00000
0.11200	1.62360	90.00000
0.11400	1.71380	90.09000
0.11600	1.71380	90.09000
0.11800	1.71380	90.00000
