/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves_column
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms; Kislter force (x,y,z) calibration: 1 V/N; Kislter moment (x,y,z) calibration: 1 V/Nm.
* Date and Time:	Fri 11 Jun 2021 01:13:39 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00002	-1.96596	-1.95944	-0.47515	-0.36953	-0.18040	-90.00000	0.00449	0.00813	-0.01508	-0.00500	0.00054	-0.00880
0.00200	0.00000	-1.96596	-1.95944	-0.47515	-0.36953	-0.18040	-90.00000	0.00449	0.00813	-0.01508	-0.00500	0.00054	-0.00880
0.00400	0.00000	-1.96596	-1.95944	-0.47515	-0.36953	-0.18040	-89.91000	0.00449	0.00813	-0.01508	-0.00500	0.00054	-0.00880
0.00600	0.00000	-1.96596	-1.95944	-0.47515	-0.36953	-0.27060	-89.91000	0.00449	0.00813	-0.01508	-0.00500	0.00054	-0.00880
0.00800	0.00000	-0.00032	0.00202	-0.00083	0.00183	-0.36080	-89.82000	0.00449	0.00813	-0.01508	-0.00500	0.00054	-0.00880
0.01000	0.00129	-0.00032	0.00202	-0.00083	0.00183	-0.36080	-89.82000	0.00449	0.00813	-0.01508	-0.00500	0.00054	-0.00880
0.01200	0.00129	-0.00032	0.00202	-0.00083	0.00183	-0.45100	-89.82000	0.00449	0.00813	-0.01508	-0.00500	0.00054	-0.00880
0.01400	0.00129	-0.00032	0.00202	-0.00083	0.00183	-0.45100	-89.73000	-0.20448	-0.10854	-0.01162	-0.01193	0.07762	-0.01070
0.01600	0.00129	0.00085	-0.00004	-0.00115	0.00210	-0.63140	-89.82000	-0.20448	-0.10854	-0.01162	-0.01193	0.07762	-0.01070
0.01800	0.00129	0.00085	-0.00004	-0.00115	0.00210	-0.63140	-89.91000	-0.20448	-0.10854	-0.01162	-0.01193	0.07762	-0.01070
0.02000	0.00120	0.00085	-0.00004	-0.00115	0.00210	-0.54120	-89.91000	-0.17517	-0.16111	0.01398	-0.00350	0.11217	-0.01368
