/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves_column
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms; Kistler force (x,y,z) calibration: 1 V/N; Kistler moment (x,y,z) calibration: 1 V/Nm.
* Date and Time:	Fri 11 Jun 2021 02:59:23 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00003	-1.96852	-1.96163	-0.47494	-0.36872	-0.18040	-89.91000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.00200	0.00000	-1.96852	-1.96163	-0.47494	-0.36872	-0.18040	-89.91000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.00400	0.00000	-1.96852	-1.96163	-0.47494	-0.36872	-0.27060	-89.91000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.00600	0.00000	-1.96852	-1.96163	-0.47494	-0.36872	0.00000	0.00000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.00800	0.00041	-1.96852	-1.96163	-0.47494	-0.36872	-0.54120	-89.91000	-0.03141	-0.04609	0.00888	-0.00634	0.01247	-0.00243
0.01000	0.00041	-0.00028	0.00124	-0.00006	0.00454	-0.45100	-89.82000	-0.15357	-0.29013	0.05100	-0.08124	0.07772	-0.00483
0.01200	0.00041	-0.00028	0.00124	-0.00006	0.00454	-0.45100	-89.73000	-0.15357	-0.29013	0.05100	-0.08124	0.07772	-0.00483
0.01400	0.00041	-0.00028	0.00124	-0.00006	0.00454	-0.45100	-89.73000	-0.15357	-0.29013	0.05100	-0.08124	0.07772	-0.00483
0.01600	0.00041	-0.00028	0.00124	-0.00006	0.00454	-0.36080	-89.82000	-0.15357	-0.29013	0.05100	-0.08124	0.07772	-0.00483
0.01800	0.00034	0.00122	-0.00015	-0.00105	0.00418	-0.27060	-89.82000	-0.19234	-0.25525	0.02303	-0.06149	0.07844	0.00638
