/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_regularwaves_column
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms; Kistler force (x,y,z) calibration: 2 V/N; Kistler moment (x,y,z) calibration: 2 V/Nm.
* Date and Time:	Fri 11 Jun 2021 02:24:13 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-0.00002	-1.96852	-1.96163	-0.47494	-0.36872	0.00000	0.00000	-0.01571	-0.02304	0.00444	-0.00317	0.00623	-0.00121
0.00200	0.00000	-1.96852	-1.96163	-0.47494	-0.36872	-0.45100	-89.91000	-0.01571	-0.02304	0.00444	-0.00317	0.00623	-0.00121
0.00400	0.00000	-1.96852	-1.96163	-0.47494	-0.36872	0.00000	0.00000	-0.01571	-0.02304	0.00444	-0.00317	0.00623	-0.00121
0.00600	0.00000	-1.96852	-1.96163	-0.47494	-0.36872	-0.45100	-89.91000	-0.01571	-0.02304	0.00444	-0.00317	0.00623	-0.00121
0.00800	0.00000	-1.96852	-1.96163	-0.47494	-0.36872	-0.36080	-90.09000	-0.01571	-0.02304	0.00444	-0.00317	0.00623	-0.00121
0.01000	0.00000	-0.00000	0.00133	-0.00029	0.00282	-0.45100	-90.09000	-0.07858	-0.00952	0.02668	0.00499	0.02113	-0.00982
0.01200	0.00646	-0.00000	0.00133	-0.00029	0.00282	-0.45100	-90.09000	-0.07858	-0.00952	0.02668	0.00499	0.02113	-0.00982
0.01400	0.00646	-0.00000	0.00133	-0.00029	0.00282	-0.36080	-90.18000	-0.07858	-0.00952	0.02668	0.00499	0.02113	-0.00982
0.01600	0.00646	-0.00000	0.00133	-0.00029	0.00282	-0.36080	-90.18000	-0.07858	-0.00952	0.02668	0.00499	0.02113	-0.00982
0.01800	0.00646	0.00126	0.00193	-0.00087	0.00249	-0.45100	-90.09000	-0.05241	-0.00766	0.02113	-0.00247	0.00992	-0.00211
